dll,name,address
ntoskrnl.exe,ZwSetSecurityObject,0x26028
ntoskrnl.exe,RtlSetDaclSecurityDescriptor,0x26030
ntoskrnl.exe,RtlCreateSecurityDescriptor,0x26038
ntoskrnl.exe,RtlAddAccessAllowedAce,0x26040
ntoskrnl.exe,RtlCreateAcl,0x26048
ntoskrnl.exe,ExAllocatePoolWithTag,0x26050
ntoskrnl.exe,RtlLengthSid,0x26058
ntoskrnl.exe,SeExports,0x26060
ntoskrnl.exe,ZwClose,0x26068
ntoskrnl.exe,wcsrchr,0x26070
ntoskrnl.exe,ZwSetValueKey,0x26078
ntoskrnl.exe,ZwDeleteValueKey,0x26080
ntoskrnl.exe,ZwCreateKey,0x26088
ntoskrnl.exe,ExAllocatePool,0x26090
ntoskrnl.exe,ZwQueryValueKey,0x26098
ntoskrnl.exe,ZwOpenKey,0x260a0
ntoskrnl.exe,wcsncpy,0x260a8
ntoskrnl.exe,_wcsnicmp,0x260b0
ntoskrnl.exe,ZwReadFile,0x260b8
ntoskrnl.exe,ZwQueryInformationFile,0x260c0
ntoskrnl.exe,ZwCreateFile,0x260c8
ntoskrnl.exe,ZwWriteFile,0x260d0
ntoskrnl.exe,PsGetCurrentProcessId,0x260d8
ntoskrnl.exe,ZwDuplicateObject,0x260e0
ntoskrnl.exe,ZwOpenProcess,0x260e8
ntoskrnl.exe,ObfDereferenceObject,0x260f0
ntoskrnl.exe,_strnicmp,0x260f8
ntoskrnl.exe,ObReferenceObjectByHandle,0x26100
ntoskrnl.exe,RtlFreeAnsiString,0x26108
ntoskrnl.exe,RtlUnicodeStringToAnsiString,0x26110
ntoskrnl.exe,IoGetRelatedDeviceObject,0x26118
ntoskrnl.exe,RtlAppendUnicodeToString,0x26120
ntoskrnl.exe,ZwDeleteKey,0x26128
ntoskrnl.exe,ZwEnumerateKey,0x26130
ntoskrnl.exe,ZwQueryKey,0x26138
ntoskrnl.exe,RtlFreeUnicodeString,0x26140
ntoskrnl.exe,RtlAppendUnicodeStringToString,0x26148
ntoskrnl.exe,RtlAnsiStringToUnicodeString,0x26150
ntoskrnl.exe,strrchr,0x26158
ntoskrnl.exe,RtlInitAnsiString,0x26160
ntoskrnl.exe,PsGetCurrentThreadPreviousMode,0x26168
ntoskrnl.exe,__C_specific_handler,0x26170
ntoskrnl.exe,ProbeForWrite,0x26178
ntoskrnl.exe,KeUnstackDetachProcess,0x26180
ntoskrnl.exe,ProbeForRead,0x26188
ntoskrnl.exe,KeStackAttachProcess,0x26190
ntoskrnl.exe,PsProcessType,0x26198
ntoskrnl.exe,RtlCopyUnicodeString,0x261a0
ntoskrnl.exe,IoFreeIrp,0x261a8
ntoskrnl.exe,IoFreeMdl,0x261b0
ntoskrnl.exe,KeSetEvent,0x261b8
ntoskrnl.exe,KeWaitForSingleObject,0x261c0
ntoskrnl.exe,IofCallDriver,0x261c8
ntoskrnl.exe,SeCreateAccessState,0x261d0
ntoskrnl.exe,IoGetFileObjectGenericMapping,0x261d8
ntoskrnl.exe,KeInitializeEvent,0x261e0
ntoskrnl.exe,IoAllocateIrp,0x261e8
ntoskrnl.exe,ObCreateObject,0x261f0
ntoskrnl.exe,IoFileObjectType,0x261f8
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x26200
ntoskrnl.exe,IoAllocateMdl,0x26208
ntoskrnl.exe,IoCreateFile,0x26210
ntoskrnl.exe,IoDeleteDevice,0x26218
ntoskrnl.exe,IoDeleteSymbolicLink,0x26220
ntoskrnl.exe,IoUnregisterShutdownNotification,0x26228
ntoskrnl.exe,ExFreePoolWithTag,0x26230
ntoskrnl.exe,IofCompleteRequest,0x26238
ntoskrnl.exe,IoStopTimer,0x26240
ntoskrnl.exe,CmUnRegisterCallback,0x26248
ntoskrnl.exe,PsSetLoadImageNotifyRoutine,0x26250
ntoskrnl.exe,IoRegisterShutdownNotification,0x26258
ntoskrnl.exe,IoCreateSymbolicLink,0x26260
ntoskrnl.exe,IoCreateDevice,0x26268
ntoskrnl.exe,ExpInterlockedPushEntrySList,0x26270
ntoskrnl.exe,ExQueryDepthSList,0x26278
ntoskrnl.exe,ZwLoadDriver,0x26280
ntoskrnl.exe,strstr,0x26288
ntoskrnl.exe,RtlUnicodeStringToInteger,0x26290
ntoskrnl.exe,_snprintf,0x26298
ntoskrnl.exe,PsTerminateSystemThread,0x262a0
ntoskrnl.exe,KeCancelTimer,0x262a8
ntoskrnl.exe,ExInterlockedRemoveHeadList,0x262b0
ntoskrnl.exe,KeWaitForMultipleObjects,0x262b8
ntoskrnl.exe,KeSetTimerEx,0x262c0
ntoskrnl.exe,KeInitializeTimerEx,0x262c8
ntoskrnl.exe,KeSetPriorityThread,0x262d0
ntoskrnl.exe,rand,0x262d8
ntoskrnl.exe,KeReleaseSpinLock,0x262e0
ntoskrnl.exe,KeAcquireSpinLockRaiseToDpc,0x262e8
ntoskrnl.exe,PsCreateSystemThread,0x262f0
ntoskrnl.exe,MmUnmapLockedPages,0x262f8
ntoskrnl.exe,MmMapLockedPages,0x26300
ntoskrnl.exe,ZwQuerySystemInformation,0x26308
ntoskrnl.exe,strncpy,0x26310
ntoskrnl.exe,_strlwr,0x26318
ntoskrnl.exe,PsGetProcessImageFileName,0x26320
ntoskrnl.exe,IoGetCurrentProcess,0x26328
ntoskrnl.exe,ZwQueryDirectoryFile,0x26330
ntoskrnl.exe,ExpInterlockedPopEntrySList,0x26338
ntoskrnl.exe,ExInterlockedInsertHeadList,0x26340
ntoskrnl.exe,ExInterlockedInsertTailList,0x26348
ntoskrnl.exe,ExInitializeNPagedLookasideList,0x26350
ntoskrnl.exe,ExDeleteNPagedLookasideList,0x26358
ntoskrnl.exe,IoStartTimer,0x26360
ntoskrnl.exe,IoInitializeTimer,0x26368
ntoskrnl.exe,ObQueryNameString,0x26370
ntoskrnl.exe,CmRegisterCallback,0x26378
ntoskrnl.exe,strchr,0x26380
ntoskrnl.exe,ObOpenObjectByPointer,0x26388
ntoskrnl.exe,ObReferenceObjectByPointer,0x26390
ntoskrnl.exe,ZwQueryInformationProcess,0x26398
ntoskrnl.exe,PsLookupProcessByProcessId,0x263a0
ntoskrnl.exe,PsSetCreateProcessNotifyRoutine,0x263a8
ntoskrnl.exe,IoBuildDeviceIoControlRequest,0x263b0
ntoskrnl.exe,MmUnlockPages,0x263b8
ntoskrnl.exe,MmProbeAndLockPages,0x263c0
ntoskrnl.exe,IoCancelIrp,0x263c8
ntoskrnl.exe,KeQueryTimeIncrement,0x263d0
ntoskrnl.exe,ZwQuerySymbolicLinkObject,0x263d8
ntoskrnl.exe,ZwOpenSymbolicLinkObject,0x263e0
ntoskrnl.exe,RtlEqualUnicodeString,0x263e8
ntoskrnl.exe,strncmp,0x263f0
ntoskrnl.exe,MmSectionObjectType,0x263f8
ntoskrnl.exe,srand,0x26400
ntoskrnl.exe,RtlInitUnicodeString,0x26408
ntoskrnl.exe,MmGetSystemRoutineAddress,0x26410
ntoskrnl.exe,MmIsAddressValid,0x26418
ntoskrnl.exe,NtBuildNumber,0x26420
