dll,name,address
kernel32.dll,DeleteCriticalSection,0x475140
kernel32.dll,LeaveCriticalSection,0x475144
kernel32.dll,EnterCriticalSection,0x475148
kernel32.dll,InitializeCriticalSection,0x47514c
kernel32.dll,VirtualFree,0x475150
kernel32.dll,VirtualAlloc,0x475154
kernel32.dll,LocalFree,0x475158
kernel32.dll,LocalAlloc,0x47515c
kernel32.dll,GetVersion,0x475160
kernel32.dll,GetCurrentThreadId,0x475164
kernel32.dll,InterlockedDecrement,0x475168
kernel32.dll,InterlockedIncrement,0x47516c
kernel32.dll,VirtualQuery,0x475170
kernel32.dll,WideCharToMultiByte,0x475174
kernel32.dll,MultiByteToWideChar,0x475178
kernel32.dll,lstrlenA,0x47517c
kernel32.dll,lstrcpynA,0x475180
kernel32.dll,LoadLibraryExA,0x475184
kernel32.dll,GetThreadLocale,0x475188
kernel32.dll,GetStartupInfoA,0x47518c
kernel32.dll,GetProcAddress,0x475190
kernel32.dll,GetModuleHandleA,0x475194
kernel32.dll,GetModuleFileNameA,0x475198
kernel32.dll,GetLocaleInfoA,0x47519c
kernel32.dll,GetCommandLineA,0x4751a0
kernel32.dll,FreeLibrary,0x4751a4
kernel32.dll,FindFirstFileA,0x4751a8
kernel32.dll,FindClose,0x4751ac
kernel32.dll,ExitProcess,0x4751b0
kernel32.dll,WriteFile,0x4751b4
kernel32.dll,UnhandledExceptionFilter,0x4751b8
kernel32.dll,RtlUnwind,0x4751bc
kernel32.dll,RaiseException,0x4751c0
kernel32.dll,GetStdHandle,0x4751c4
user32.dll,GetKeyboardType,0x4751cc
user32.dll,LoadStringA,0x4751d0
user32.dll,MessageBoxA,0x4751d4
user32.dll,CharNextA,0x4751d8
advapi32.dll,RegQueryValueExA,0x4751e0
advapi32.dll,RegOpenKeyExA,0x4751e4
advapi32.dll,RegCloseKey,0x4751e8
oleaut32.dll,SysFreeString,0x4751f0
oleaut32.dll,SysReAllocStringLen,0x4751f4
oleaut32.dll,SysAllocStringLen,0x4751f8
kernel32.dll,TlsSetValue,0x475200
kernel32.dll,TlsGetValue,0x475204
kernel32.dll,LocalAlloc,0x475208
kernel32.dll,GetModuleHandleA,0x47520c
advapi32.dll,RegQueryValueExA,0x475214
advapi32.dll,RegOpenKeyExA,0x475218
advapi32.dll,RegCloseKey,0x47521c
kernel32.dll,lstrcpyA,0x475224
kernel32.dll,lstrcmpA,0x475228
kernel32.dll,WriteFile,0x47522c
kernel32.dll,WaitForSingleObject,0x475230
kernel32.dll,VirtualQuery,0x475234
kernel32.dll,VirtualFree,0x475238
kernel32.dll,VirtualAlloc,0x47523c
kernel32.dll,Sleep,0x475240
kernel32.dll,SizeofResource,0x475244
kernel32.dll,SetThreadLocale,0x475248
kernel32.dll,SetFilePointer,0x47524c
kernel32.dll,SetEvent,0x475250
kernel32.dll,SetErrorMode,0x475254
kernel32.dll,SetEndOfFile,0x475258
kernel32.dll,ResetEvent,0x47525c
kernel32.dll,ReadFile,0x475260
kernel32.dll,MulDiv,0x475264
kernel32.dll,LockResource,0x475268
kernel32.dll,LoadResource,0x47526c
kernel32.dll,LoadLibraryA,0x475270
kernel32.dll,LeaveCriticalSection,0x475274
kernel32.dll,InitializeCriticalSection,0x475278
kernel32.dll,GlobalUnlock,0x47527c
kernel32.dll,GlobalSize,0x475280
kernel32.dll,GlobalReAlloc,0x475284
kernel32.dll,GlobalHandle,0x475288
kernel32.dll,GlobalLock,0x47528c
kernel32.dll,GlobalFree,0x475290
kernel32.dll,GlobalFindAtomA,0x475294
kernel32.dll,GlobalDeleteAtom,0x475298
kernel32.dll,GlobalAlloc,0x47529c
kernel32.dll,GlobalAddAtomA,0x4752a0
kernel32.dll,GetVersionExA,0x4752a4
kernel32.dll,GetVersion,0x4752a8
kernel32.dll,GetTickCount,0x4752ac
kernel32.dll,GetThreadLocale,0x4752b0
kernel32.dll,GetSystemInfo,0x4752b4
kernel32.dll,GetStringTypeExA,0x4752b8
kernel32.dll,GetStdHandle,0x4752bc
kernel32.dll,GetProfileStringA,0x4752c0
kernel32.dll,GetProcAddress,0x4752c4
kernel32.dll,GetModuleHandleA,0x4752c8
kernel32.dll,GetModuleFileNameA,0x4752cc
kernel32.dll,GetLocaleInfoA,0x4752d0
kernel32.dll,GetLocalTime,0x4752d4
kernel32.dll,GetLastError,0x4752d8
kernel32.dll,GetFullPathNameA,0x4752dc
kernel32.dll,GetFileAttributesA,0x4752e0
kernel32.dll,GetDiskFreeSpaceA,0x4752e4
kernel32.dll,GetDateFormatA,0x4752e8
kernel32.dll,GetCurrentThreadId,0x4752ec
kernel32.dll,GetCurrentProcessId,0x4752f0
kernel32.dll,GetCPInfo,0x4752f4
kernel32.dll,GetACP,0x4752f8
kernel32.dll,FreeResource,0x4752fc
kernel32.dll,InterlockedExchange,0x475300
kernel32.dll,FreeLibrary,0x475304
kernel32.dll,FormatMessageA,0x475308
kernel32.dll,FindResourceA,0x47530c
kernel32.dll,FindFirstFileA,0x475310
kernel32.dll,FindClose,0x475314
kernel32.dll,FileTimeToLocalFileTime,0x475318
kernel32.dll,FileTimeToDosDateTime,0x47531c
kernel32.dll,EnumCalendarInfoA,0x475320
kernel32.dll,EnterCriticalSection,0x475324
kernel32.dll,DeleteCriticalSection,0x475328
kernel32.dll,CreateThread,0x47532c
kernel32.dll,CreateFileA,0x475330
kernel32.dll,CreateEventA,0x475334
kernel32.dll,CompareStringA,0x475338
kernel32.dll,CloseHandle,0x47533c
version.dll,VerQueryValueA,0x475344
version.dll,GetFileVersionInfoSizeA,0x475348
