dll,name,address
COMCTL32.dll,InitCommonControlsEx,0x41402c
SHLWAPI.dll,SHAutoComplete,0x4141c4
KERNEL32.dll,DeleteFileW,0x414068
KERNEL32.dll,DeleteFileA,0x41406c
KERNEL32.dll,CreateDirectoryA,0x414070
KERNEL32.dll,CreateDirectoryW,0x414074
KERNEL32.dll,FindClose,0x414078
KERNEL32.dll,FindNextFileA,0x41407c
KERNEL32.dll,FindFirstFileA,0x414080
KERNEL32.dll,FindNextFileW,0x414084
KERNEL32.dll,FindFirstFileW,0x414088
KERNEL32.dll,GetVersionExW,0x41408c
KERNEL32.dll,GetFullPathNameA,0x414090
KERNEL32.dll,GetFullPathNameW,0x414094
KERNEL32.dll,MultiByteToWideChar,0x414098
KERNEL32.dll,GetModuleFileNameW,0x41409c
KERNEL32.dll,FindResourceW,0x4140a0
KERNEL32.dll,GetModuleHandleW,0x4140a4
KERNEL32.dll,HeapAlloc,0x4140a8
KERNEL32.dll,GetProcessHeap,0x4140ac
KERNEL32.dll,HeapFree,0x4140b0
KERNEL32.dll,HeapReAlloc,0x4140b4
KERNEL32.dll,CompareStringA,0x4140b8
KERNEL32.dll,ExitProcess,0x4140bc
KERNEL32.dll,GetTickCount,0x4140c0
KERNEL32.dll,FreeLibrary,0x4140c4
KERNEL32.dll,GetProcAddress,0x4140c8
KERNEL32.dll,LoadLibraryW,0x4140cc
KERNEL32.dll,GetCurrentProcessId,0x4140d0
KERNEL32.dll,SetFileAttributesW,0x4140d4
KERNEL32.dll,GetNumberFormatW,0x4140d8
KERNEL32.dll,DosDateTimeToFileTime,0x4140dc
KERNEL32.dll,GetDateFormatW,0x4140e0
KERNEL32.dll,GetTimeFormatW,0x4140e4
KERNEL32.dll,FileTimeToSystemTime,0x4140e8
KERNEL32.dll,FileTimeToLocalFileTime,0x4140ec
KERNEL32.dll,ExpandEnvironmentStringsW,0x4140f0
KERNEL32.dll,WaitForSingleObject,0x4140f4
KERNEL32.dll,Sleep,0x4140f8
KERNEL32.dll,GetExitCodeProcess,0x4140fc
KERNEL32.dll,GetTempPathW,0x414100
KERNEL32.dll,MoveFileExW,0x414104
KERNEL32.dll,UnmapViewOfFile,0x414108
KERNEL32.dll,MapViewOfFile,0x41410c
KERNEL32.dll,GetCommandLineW,0x414110
KERNEL32.dll,CreateFileMappingW,0x414114
KERNEL32.dll,SetEnvironmentVariableW,0x414118
KERNEL32.dll,OpenFileMappingW,0x41411c
KERNEL32.dll,LocalFileTimeToFileTime,0x414120
KERNEL32.dll,SystemTimeToFileTime,0x414124
KERNEL32.dll,GetSystemTime,0x414128
KERNEL32.dll,WideCharToMultiByte,0x41412c
KERNEL32.dll,CompareStringW,0x414130
KERNEL32.dll,IsDBCSLeadByte,0x414134
KERNEL32.dll,GetCPInfo,0x414138
KERNEL32.dll,GlobalAlloc,0x41413c
KERNEL32.dll,SetCurrentDirectoryW,0x414140
KERNEL32.dll,SetFileAttributesA,0x414144
KERNEL32.dll,GetFileAttributesW,0x414148
KERNEL32.dll,GetFileAttributesA,0x41414c
KERNEL32.dll,WriteFile,0x414150
KERNEL32.dll,GetStdHandle,0x414154
KERNEL32.dll,ReadFile,0x414158
KERNEL32.dll,GetCurrentDirectoryW,0x41415c
KERNEL32.dll,CreateFileW,0x414160
KERNEL32.dll,CreateFileA,0x414164
KERNEL32.dll,GetFileType,0x414168
KERNEL32.dll,SetEndOfFile,0x41416c
KERNEL32.dll,SetFilePointer,0x414170
KERNEL32.dll,FlushFileBuffers,0x414174
KERNEL32.dll,MoveFileW,0x414178
KERNEL32.dll,SetFileTime,0x41417c
KERNEL32.dll,GetCurrentProcess,0x414180
KERNEL32.dll,CloseHandle,0x414184
KERNEL32.dll,SetLastError,0x414188
KERNEL32.dll,GetLastError,0x41418c
KERNEL32.dll,GetLocaleInfoW,0x414190
USER32.dll,GetClassNameW,0x4141cc
USER32.dll,DialogBoxParamW,0x4141d0
USER32.dll,IsWindowVisible,0x4141d4
USER32.dll,WaitForInputIdle,0x4141d8
USER32.dll,SetForegroundWindow,0x4141dc
USER32.dll,GetSysColor,0x4141e0
USER32.dll,PostMessageW,0x4141e4
USER32.dll,LoadBitmapW,0x4141e8
USER32.dll,LoadIconW,0x4141ec
USER32.dll,CharToOemA,0x4141f0
USER32.dll,OemToCharA,0x4141f4
USER32.dll,IsWindow,0x4141f8
USER32.dll,CopyRect,0x4141fc
USER32.dll,DestroyWindow,0x414200
USER32.dll,DefWindowProcW,0x414204
USER32.dll,RegisterClassExW,0x414208
USER32.dll,LoadCursorW,0x41420c
USER32.dll,UpdateWindow,0x414210
USER32.dll,CreateWindowExW,0x414214
USER32.dll,MapWindowPoints,0x414218
USER32.dll,GetParent,0x41421c
USER32.dll,GetDlgItemTextW,0x414220
USER32.dll,TranslateMessage,0x414224
USER32.dll,DispatchMessageW,0x414228
USER32.dll,wvsprintfW,0x41422c
USER32.dll,wvsprintfA,0x414230
USER32.dll,CharUpperA,0x414234
USER32.dll,CharToOemBuffA,0x414238
