dll,name,address
KERNEL32.dll,GetCurrentThreadId,0x4220dc
KERNEL32.dll,GetCurrentProcessId,0x4220e0
KERNEL32.dll,HeapReAlloc,0x4220e4
KERNEL32.dll,HeapAlloc,0x4220e8
KERNEL32.dll,HeapFree,0x4220ec
KERNEL32.dll,HeapCreate,0x4220f0
KERNEL32.dll,SetLastError,0x4220f4
KERNEL32.dll,InitializeCriticalSection,0x4220f8
KERNEL32.dll,LeaveCriticalSection,0x4220fc
KERNEL32.dll,EnterCriticalSection,0x422100
KERNEL32.dll,DeleteCriticalSection,0x422104
KERNEL32.dll,GetDiskFreeSpaceExW,0x422108
KERNEL32.dll,FindFirstVolumeW,0x42210c
KERNEL32.dll,FindVolumeClose,0x422110
KERNEL32.dll,GetVersionExW,0x422114
KERNEL32.dll,FindNextVolumeW,0x422118
KERNEL32.dll,OpenMutexW,0x42211c
KERNEL32.dll,CreateMutexW,0x422120
KERNEL32.dll,ReleaseMutex,0x422124
KERNEL32.dll,GetCommandLineW,0x422128
KERNEL32.dll,lstrcmpA,0x42212c
KERNEL32.dll,lstrlenA,0x422130
KERNEL32.dll,FileTimeToLocalFileTime,0x422134
KERNEL32.dll,GetVolumeNameForVolumeMountPointW,0x422138
KERNEL32.dll,GetVolumePathNamesForVolumeNameW,0x42213c
KERNEL32.dll,FileTimeToSystemTime,0x422140
KERNEL32.dll,FindNextVolumeMountPointW,0x422144
KERNEL32.dll,GetCurrentDirectoryW,0x422148
KERNEL32.dll,FindVolumeMountPointClose,0x42214c
KERNEL32.dll,GetLocalTime,0x422150
KERNEL32.dll,OpenProcess,0x422154
KERNEL32.dll,GetDriveTypeW,0x422158
KERNEL32.dll,GetOEMCP,0x42215c
KERNEL32.dll,GlobalLock,0x422160
KERNEL32.dll,GlobalUnlock,0x422164
KERNEL32.dll,CreateDirectoryW,0x422168
KERNEL32.dll,RaiseException,0x42216c
KERNEL32.dll,FlushFileBuffers,0x422170
KERNEL32.dll,CreateFileA,0x422174
KERNEL32.dll,WriteConsoleW,0x422178
KERNEL32.dll,GetConsoleOutputCP,0x42217c
KERNEL32.dll,WriteConsoleA,0x422180
KERNEL32.dll,SetStdHandle,0x422184
KERNEL32.dll,GetFileSizeEx,0x422188
KERNEL32.dll,GetConsoleMode,0x42218c
KERNEL32.dll,GetConsoleCP,0x422190
KERNEL32.dll,GetLocaleInfoA,0x422194
KERNEL32.dll,GetStringTypeW,0x422198
KERNEL32.dll,GetStringTypeA,0x42219c
KERNEL32.dll,RtlUnwind,0x4221a0
KERNEL32.dll,LoadLibraryA,0x4221a4
KERNEL32.dll,GetVolumeInformationW,0x4221a8
KERNEL32.dll,SetFileAttributesW,0x4221ac
KERNEL32.dll,DeleteFileW,0x4221b0
KERNEL32.dll,SetFileTime,0x4221b4
KERNEL32.dll,FindNextFileW,0x4221b8
KERNEL32.dll,FindFirstFileW,0x4221bc
KERNEL32.dll,FindFirstVolumeMountPointW,0x4221c0
KERNEL32.dll,FindClose,0x4221c4
KERNEL32.dll,lstrcmpW,0x4221c8
KERNEL32.dll,CreateToolhelp32Snapshot,0x4221cc
KERNEL32.dll,Process32NextW,0x4221d0
KERNEL32.dll,Process32FirstW,0x4221d4
KERNEL32.dll,CreateProcessW,0x4221d8
KERNEL32.dll,FreeConsole,0x4221dc
KERNEL32.dll,SetErrorMode,0x4221e0
KERNEL32.dll,CopyFileW,0x4221e4
KERNEL32.dll,LoadLibraryW,0x4221e8
KERNEL32.dll,WriteFile,0x4221ec
KERNEL32.dll,MoveFileW,0x4221f0
KERNEL32.dll,GetProcAddress,0x4221f4
KERNEL32.dll,GetSystemTime,0x4221f8
KERNEL32.dll,GetCurrentThread,0x4221fc
KERNEL32.dll,GetTickCount,0x422200
KERNEL32.dll,GetModuleHandleW,0x422204
KERNEL32.dll,SetThreadPriority,0x422208
KERNEL32.dll,SleepEx,0x42220c
KERNEL32.dll,MultiByteToWideChar,0x422210
KERNEL32.dll,GetACP,0x422214
KERNEL32.dll,lstrcmpiW,0x422218
KERNEL32.dll,ExitProcess,0x42221c
KERNEL32.dll,TerminateProcess,0x422220
KERNEL32.dll,SystemTimeToFileTime,0x422224
KERNEL32.dll,SetUnhandledExceptionFilter,0x422228
KERNEL32.dll,GetLastError,0x42222c
KERNEL32.dll,GetCurrentProcess,0x422230
KERNEL32.dll,GetExitCodeThread,0x422234
KERNEL32.dll,ExitThread,0x422238
KERNEL32.dll,Sleep,0x42223c
KERNEL32.dll,TerminateThread,0x422240
KERNEL32.dll,CreateThread,0x422244
KERNEL32.dll,WaitForSingleObject,0x422248
KERNEL32.dll,GetModuleFileNameW,0x42224c
KERNEL32.dll,lstrcpynW,0x422250
KERNEL32.dll,GetWindowsDirectoryW,0x422254
KERNEL32.dll,GetComputerNameW,0x422258
KERNEL32.dll,OutputDebugStringW,0x42225c
KERNEL32.dll,SetFilePointer,0x422260
KERNEL32.dll,GetTempPathW,0x422264
KERNEL32.dll,lstrlenW,0x422268
KERNEL32.dll,lstrcpyW,0x42226c
KERNEL32.dll,LocalFree,0x422270
KERNEL32.dll,VirtualAlloc,0x422274
KERNEL32.dll,GetSystemTimeAsFileTime,0x422278
KERNEL32.dll,QueryPerformanceCounter,0x42227c
KERNEL32.dll,VirtualFree,0x422280
KERNEL32.dll,HeapDestroy,0x422284
KERNEL32.dll,GetFileType,0x422288
KERNEL32.dll,SetHandleCount,0x42228c
KERNEL32.dll,GetEnvironmentStringsW,0x422290
KERNEL32.dll,FreeEnvironmentStringsW,0x422294
KERNEL32.dll,GetEnvironmentStrings,0x422298
KERNEL32.dll,FreeEnvironmentStringsA,0x42229c
KERNEL32.dll,GetModuleFileNameA,0x4222a0
KERNEL32.dll,GetStdHandle,0x4222a4
KERNEL32.dll,IsDebuggerPresent,0x4222a8
KERNEL32.dll,UnhandledExceptionFilter,0x4222ac
KERNEL32.dll,LCMapStringW,0x4222b0
KERNEL32.dll,WideCharToMultiByte,0x4222b4
KERNEL32.dll,LCMapStringA,0x4222b8
KERNEL32.dll,IsValidCodePage,0x4222bc
KERNEL32.dll,GetCPInfo,0x4222c0
KERNEL32.dll,HeapSize,0x4222c4
KERNEL32.dll,InterlockedDecrement,0x4222c8
KERNEL32.dll,InterlockedIncrement,0x4222cc
KERNEL32.dll,TlsFree,0x4222d0
KERNEL32.dll,TlsSetValue,0x4222d4
KERNEL32.dll,TlsAlloc,0x4222d8
KERNEL32.dll,TlsGetValue,0x4222dc
KERNEL32.dll,GetModuleHandleA,0x4222e0
KERNEL32.dll,GetStartupInfoA,0x4222e4
KERNEL32.dll,GetProcessHeap,0x4222e8
KERNEL32.dll,GetVersionExA,0x4222ec
KERNEL32.dll,GetCommandLineA,0x4222f0
KERNEL32.dll,CreateFileW,0x4222f4
KERNEL32.dll,ReadFile,0x4222f8
KERNEL32.dll,CloseHandle,0x4222fc
KERNEL32.dll,lstrcatW,0x422300
KERNEL32.dll,VirtualQuery,0x422304
USER32.dll,wsprintfA,0x42232c
USER32.dll,SendMessageW,0x422330
USER32.dll,DestroyWindow,0x422334
USER32.dll,CloseClipboard,0x422338
USER32.dll,OpenClipboard,0x42233c
USER32.dll,GetClipboardData,0x422340
USER32.dll,GetForegroundWindow,0x422344
USER32.dll,SetProcessWindowStation,0x422348
USER32.dll,ReleaseDC,0x42234c
USER32.dll,wsprintfW,0x422350
USER32.dll,GetKeyboardLayoutNameW,0x422354
USER32.dll,GetDC,0x422358
USER32.dll,IsGUIThread,0x42235c
USER32.dll,CloseDesktop,0x422360
USER32.dll,GetWindowRect,0x422364
USER32.dll,GetDesktopWindow,0x422368
USER32.dll,GetThreadDesktop,0x42236c
USER32.dll,OpenInputDesktop,0x422370
USER32.dll,OpenWindowStationW,0x422374
USER32.dll,GetUserObjectInformationW,0x422378
USER32.dll,SetThreadDesktop,0x42237c
USER32.dll,GetProcessWindowStation,0x422380
USER32.dll,CloseWindowStation,0x422384
GDI32.dll,BitBlt,0x4220bc
GDI32.dll,DeleteDC,0x4220c0
GDI32.dll,GetDIBits,0x4220c4
GDI32.dll,DeleteObject,0x4220c8
GDI32.dll,SelectObject,0x4220cc
GDI32.dll,CreateCompatibleDC,0x4220d0
GDI32.dll,CreateCompatibleBitmap,0x4220d4
ADVAPI32.dll,FreeSid,0x422000
