dll,name,address
MSVCRT.dll,_stricmp,0x100390e0
MSVCRT.dll,_strlwr,0x100390e4
MSVCRT.dll,__CxxFrameHandler,0x100390e8
MSVCRT.dll,??2@YAPAXI@Z,0x100390ec
MSVCRT.dll,realloc,0x100390f0
MSVCRT.dll,free,0x100390f4
MSVCRT.dll,??3@YAXPAX@Z,0x100390f8
MSVCRT.dll,rename,0x100390fc
MSVCRT.dll,strrchr,0x10039100
MSVCRT.dll,_snprintf,0x10039104
MSVCRT.dll,strstr,0x10039108
MSVCRT.dll,_initterm,0x1003910c
MSVCRT.dll,malloc,0x10039110
MSVCRT.dll,_adjust_fdiv,0x10039114
MSVCRT.dll,__dllonexit,0x10039118
MSVCRT.dll,_onexit,0x1003911c
MSVCRT.dll,calloc,0x10039120
MSVCRT.dll,strncpy,0x10039124
MFC42.DLL,,0x100390cc
MFC42.DLL,,0x100390d0
MFC42.DLL,,0x100390d4
MFC42.DLL,,0x100390d8
KERNEL32.dll,CloseHandle,0x1003900c
KERNEL32.dll,UnmapViewOfFile,0x10039010
KERNEL32.dll,WriteFile,0x10039014
KERNEL32.dll,DeleteFileA,0x10039018
KERNEL32.dll,GetFileAttributesA,0x1003901c
KERNEL32.dll,HeapAlloc,0x10039020
KERNEL32.dll,GetProcessHeap,0x10039024
KERNEL32.dll,VirtualAlloc,0x10039028
KERNEL32.dll,VirtualProtect,0x1003902c
KERNEL32.dll,VirtualFree,0x10039030
KERNEL32.dll,IsBadReadPtr,0x10039034
KERNEL32.dll,HeapFree,0x10039038
KERNEL32.dll,FreeLibrary,0x1003903c
KERNEL32.dll,GetModuleFileNameA,0x10039040
KERNEL32.dll,GetCurrentProcess,0x10039044
KERNEL32.dll,SetFileAttributesA,0x10039048
KERNEL32.dll,GetTempFileNameA,0x1003904c
KERNEL32.dll,GetTempPathA,0x10039050
KERNEL32.dll,SetFileTime,0x10039054
KERNEL32.dll,LocalFileTimeToFileTime,0x10039058
KERNEL32.dll,SystemTimeToFileTime,0x1003905c
KERNEL32.dll,GetFileTime,0x10039060
KERNEL32.dll,GetSystemDirectoryA,0x10039064
KERNEL32.dll,CreateProcessA,0x10039068
KERNEL32.dll,CopyFileA,0x1003906c
KERNEL32.dll,GetWindowsDirectoryA,0x10039070
KERNEL32.dll,GetVersionExA,0x10039074
KERNEL32.dll,ExitProcess,0x10039078
KERNEL32.dll,lstrcatA,0x1003907c
KERNEL32.dll,DisableThreadLibraryCalls,0x10039080
KERNEL32.dll,WaitForSingleObject,0x10039084
KERNEL32.dll,LoadLibraryW,0x10039088
KERNEL32.dll,GetModuleFileNameW,0x1003908c
KERNEL32.dll,CreateFileA,0x10039090
KERNEL32.dll,CreateFileMappingA,0x10039094
KERNEL32.dll,MapViewOfFile,0x10039098
KERNEL32.dll,GetProcAddress,0x1003909c
KERNEL32.dll,GetModuleHandleA,0x100390a0
KERNEL32.dll,LoadLibraryA,0x100390a4
KERNEL32.dll,GetCurrentThread,0x100390a8
KERNEL32.dll,VirtualAllocEx,0x100390ac
KERNEL32.dll,CreateToolhelp32Snapshot,0x100390b0
KERNEL32.dll,GetCurrentProcessId,0x100390b4
KERNEL32.dll,ProcessIdToSessionId,0x100390b8
KERNEL32.dll,Process32First,0x100390bc
KERNEL32.dll,Process32Next,0x100390c0
KERNEL32.dll,GetFileSizeEx,0x100390c4
USER32.dll,wsprintfA,0x1003912c
ADVAPI32.dll,OpenProcessToken,0x10039000
ADVAPI32.dll,GetTokenInformation,0x10039004
ole32.dll,CoCreateInstance,0x10039134
ole32.dll,CoUninitialize,0x10039138
ole32.dll,CoInitialize,0x1003913c
