dll,name,address
KERNEL32.dll,Sleep,0x406000
KERNEL32.dll,CloseHandle,0x406004
KERNEL32.dll,WriteFile,0x406008
KERNEL32.dll,CreateFileA,0x40600c
KERNEL32.dll,GetLongPathNameA,0x406010
KERNEL32.dll,GetTempPathA,0x406014
KERNEL32.dll,SetProcessPriorityBoost,0x406018
KERNEL32.dll,SetThreadPriority,0x40601c
KERNEL32.dll,GetCurrentThread,0x406020
KERNEL32.dll,SetPriorityClass,0x406024
KERNEL32.dll,GetCurrentProcess,0x406028
KERNEL32.dll,lstrcatA,0x40602c
KERNEL32.dll,lstrcpyA,0x406030
KERNEL32.dll,GetEnvironmentVariableA,0x406034
KERNEL32.dll,GetShortPathNameA,0x406038
KERNEL32.dll,GetModuleFileNameA,0x40603c
KERNEL32.dll,GetProcAddress,0x406040
KERNEL32.dll,LoadLibraryA,0x406044
KERNEL32.dll,GetStartupInfoA,0x406048
KERNEL32.dll,GetModuleHandleA,0x40604c
WS2_32.dll,gethostname,0x406100
WS2_32.dll,WSACleanup,0x406104
WS2_32.dll,WSAStartup,0x406108
WININET.dll,HttpQueryInfoA,0x4060dc
WININET.dll,HttpAddRequestHeadersA,0x4060e0
WININET.dll,InternetOpenA,0x4060e4
WININET.dll,InternetConnectA,0x4060e8
WININET.dll,InternetCloseHandle,0x4060ec
WININET.dll,HttpSendRequestA,0x4060f0
WININET.dll,InternetReadFile,0x4060f4
WININET.dll,HttpOpenRequestA,0x4060f8
SHELL32.dll,ShellExecuteExA,0x4060d4
MSVCRT.dll,_controlfp,0x406054
MSVCRT.dll,_except_handler3,0x406058
MSVCRT.dll,__set_app_type,0x40605c
MSVCRT.dll,__p__fmode,0x406060
MSVCRT.dll,__p__commode,0x406064
MSVCRT.dll,_adjust_fdiv,0x406068
MSVCRT.dll,__setusermatherr,0x40606c
MSVCRT.dll,_initterm,0x406070
MSVCRT.dll,__getmainargs,0x406074
MSVCRT.dll,_acmdln,0x406078
MSVCRT.dll,atoi,0x40607c
MSVCRT.dll,strcat,0x406080
MSVCRT.dll,strncpy,0x406084
MSVCRT.dll,strlen,0x406088
MSVCRT.dll,srand,0x40608c
MSVCRT.dll,time,0x406090
MSVCRT.dll,strcpy,0x406094
MSVCRT.dll,memset,0x406098
MSVCRT.dll,printf,0x40609c
MSVCRT.dll,strstr,0x4060a0
MSVCRT.dll,??3@YAXPAX@Z,0x4060a4
MSVCRT.dll,strrchr,0x4060a8
MSVCRT.dll,??2@YAPAXI@Z,0x4060ac
MSVCRT.dll,atol,0x4060b0
MSVCRT.dll,sscanf,0x4060b4
MSVCRT.dll,rand,0x4060b8
MSVCRT.dll,_purecall,0x4060bc
MSVCRT.dll,_exit,0x4060c0
MSVCRT.dll,_XcptFilter,0x4060c4
MSVCRT.dll,exit,0x4060c8
MSVCRT.dll,_stricmp,0x4060cc
