dll,name,address
MSVCRT.dll,_controlfp,0x4031a8
MSVCRT.dll,_except_handler3,0x4031ac
MSVCRT.dll,__set_app_type,0x4031b0
MSVCRT.dll,__p__fmode,0x4031b4
MSVCRT.dll,__p__commode,0x4031b8
MSVCRT.dll,_adjust_fdiv,0x4031bc
MSVCRT.dll,__setusermatherr,0x4031c0
MSVCRT.dll,_initterm,0x4031c4
MSVCRT.dll,__getmainargs,0x4031c8
MSVCRT.dll,_acmdln,0x4031cc
MSVCRT.dll,exit,0x4031d0
MSVCRT.dll,_XcptFilter,0x4031d4
MSVCRT.dll,_exit,0x4031d8
MSVCRT.dll,_onexit,0x4031dc
MSVCRT.dll,__dllonexit,0x4031e0
MSVCRT.dll,fopen,0x4031e4
MSVCRT.dll,fseek,0x4031e8
MSVCRT.dll,fread,0x4031ec
MSVCRT.dll,ftell,0x4031f0
MSVCRT.dll,fclose,0x4031f4
MSVCRT.dll,__CxxFrameHandler,0x4031f8
MSVCRT.dll,malloc,0x4031fc
MSVCRT.dll,free,0x403200
MSVCRT.dll,strstr,0x403204
MSVCRT.dll,strchr,0x403208
MSVCRT.dll,??2@YAPAXI@Z,0x40320c
MSVCRT.dll,_setmbcp,0x403210
MSVCRT.dll,??3@YAXPAX@Z,0x403214
MFC42.DLL,,0x40300c
MFC42.DLL,,0x403010
MFC42.DLL,,0x403014
MFC42.DLL,,0x403018
MFC42.DLL,,0x40301c
MFC42.DLL,,0x403020
MFC42.DLL,,0x403024
MFC42.DLL,,0x403028
MFC42.DLL,,0x40302c
MFC42.DLL,,0x403030
MFC42.DLL,,0x403034
MFC42.DLL,,0x403038
MFC42.DLL,,0x40303c
MFC42.DLL,,0x403040
MFC42.DLL,,0x403044
MFC42.DLL,,0x403048
MFC42.DLL,,0x40304c
MFC42.DLL,,0x403050
MFC42.DLL,,0x403054
MFC42.DLL,,0x403058
MFC42.DLL,,0x40305c
MFC42.DLL,,0x403060
MFC42.DLL,,0x403064
MFC42.DLL,,0x403068
MFC42.DLL,,0x40306c
MFC42.DLL,,0x403070
MFC42.DLL,,0x403074
MFC42.DLL,,0x403078
MFC42.DLL,,0x40307c
MFC42.DLL,,0x403080
MFC42.DLL,,0x403084
MFC42.DLL,,0x403088
MFC42.DLL,,0x40308c
MFC42.DLL,,0x403090
MFC42.DLL,,0x403094
MFC42.DLL,,0x403098
MFC42.DLL,,0x40309c
MFC42.DLL,,0x4030a0
MFC42.DLL,,0x4030a4
MFC42.DLL,,0x4030a8
MFC42.DLL,,0x4030ac
MFC42.DLL,,0x4030b0
MFC42.DLL,,0x4030b4
MFC42.DLL,,0x4030b8
MFC42.DLL,,0x4030bc
MFC42.DLL,,0x4030c0
MFC42.DLL,,0x4030c4
MFC42.DLL,,0x4030c8
MFC42.DLL,,0x4030cc
MFC42.DLL,,0x4030d0
MFC42.DLL,,0x4030d4
MFC42.DLL,,0x4030d8
MFC42.DLL,,0x4030dc
MFC42.DLL,,0x4030e0
MFC42.DLL,,0x4030e4
MFC42.DLL,,0x4030e8
MFC42.DLL,,0x4030ec
MFC42.DLL,,0x4030f0
MFC42.DLL,,0x4030f4
MFC42.DLL,,0x4030f8
MFC42.DLL,,0x4030fc
MFC42.DLL,,0x403100
MFC42.DLL,,0x403104
MFC42.DLL,,0x403108
MFC42.DLL,,0x40310c
MFC42.DLL,,0x403110
MFC42.DLL,,0x403114
MFC42.DLL,,0x403118
MFC42.DLL,,0x40311c
MFC42.DLL,,0x403120
MFC42.DLL,,0x403124
MFC42.DLL,,0x403128
MFC42.DLL,,0x40312c
MFC42.DLL,,0x403130
MFC42.DLL,,0x403134
MFC42.DLL,,0x403138
MFC42.DLL,,0x40313c
MFC42.DLL,,0x403140
MFC42.DLL,,0x403144
MFC42.DLL,,0x403148
MFC42.DLL,,0x40314c
MFC42.DLL,,0x403150
MFC42.DLL,,0x403154
MFC42.DLL,,0x403158
MFC42.DLL,,0x40315c
MFC42.DLL,,0x403160
MFC42.DLL,,0x403164
MFC42.DLL,,0x403168
MFC42.DLL,,0x40316c
MFC42.DLL,,0x403170
MFC42.DLL,,0x403174
MFC42.DLL,,0x403178
MFC42.DLL,,0x40317c
MFC42.DLL,,0x403180
MFC42.DLL,,0x403184
MFC42.DLL,,0x403188
MFC42.DLL,,0x40318c
MFC42.DLL,,0x403190
MFC42.DLL,,0x403194
MFC42.DLL,,0x403198
MFC42.DLL,,0x40319c
MFC42.DLL,,0x4031a0
KERNEL32.dll,GetStartupInfoA,0x403000
KERNEL32.dll,GetModuleHandleA,0x403004
USER32.dll,SendMessageA,0x40321c
USER32.dll,DrawIcon,0x403220
USER32.dll,GetClientRect,0x403224
USER32.dll,GetSystemMetrics,0x403228
USER32.dll,IsIconic,0x40322c
USER32.dll,LoadIconA,0x403230
USER32.dll,EnableWindow,0x403234
