dll,name,address
KERNEL32.dll,GetTempPathA,0x402010
KERNEL32.dll,GetTempFileNameA,0x402014
KERNEL32.dll,CreateProcessA,0x402018
KERNEL32.dll,GetModuleFileNameA,0x40201c
KERNEL32.dll,Sleep,0x402020
KERNEL32.dll,CloseHandle,0x402024
KERNEL32.dll,GetModuleHandleA,0x402028
KERNEL32.dll,GetStartupInfoA,0x40202c
ADVAPI32.dll,RegSetValueExA,0x402000
ADVAPI32.dll,RegCloseKey,0x402004
ADVAPI32.dll,RegOpenKeyExA,0x402008
WININET.dll,InternetOpenA,0x402078
WININET.dll,InternetOpenUrlA,0x40207c
WININET.dll,InternetCloseHandle,0x402080
WININET.dll,InternetReadFile,0x402084
MSVCRT.dll,_adjust_fdiv,0x402034
MSVCRT.dll,sprintf,0x402038
MSVCRT.dll,atoi,0x40203c
MSVCRT.dll,strstr,0x402040
MSVCRT.dll,_controlfp,0x402044
MSVCRT.dll,_XcptFilter,0x402048
MSVCRT.dll,exit,0x40204c
MSVCRT.dll,_acmdln,0x402050
MSVCRT.dll,__getmainargs,0x402054
MSVCRT.dll,_initterm,0x402058
MSVCRT.dll,__setusermatherr,0x40205c
MSVCRT.dll,_exit,0x402060
MSVCRT.dll,__p__commode,0x402064
MSVCRT.dll,__p__fmode,0x402068
MSVCRT.dll,__set_app_type,0x40206c
MSVCRT.dll,_except_handler3,0x402070
urlmon.dll,URLDownloadToFileA,0x40208c
