dll,name,address
KERNEL32.dll,LoadLibraryA,0x180009000
KERNEL32.dll,GetModuleHandleA,0x180009008
KERNEL32.dll,GetProcAddress,0x180009010
KERNEL32.dll,GetCurrentProcessId,0x180009018
KERNEL32.dll,IsBadReadPtr,0x180009020
KERNEL32.dll,GetCurrentProcess,0x180009028
KERNEL32.dll,GetLastError,0x180009030
KERNEL32.dll,VirtualAlloc,0x180009038
KERNEL32.dll,VirtualProtect,0x180009040
KERNEL32.dll,VirtualFree,0x180009048
KERNEL32.dll,HeapFree,0x180009050
KERNEL32.dll,GetProcessHeap,0x180009058
KERNEL32.dll,FreeLibrary,0x180009060
KERNEL32.dll,HeapAlloc,0x180009068
KERNEL32.dll,SetFileAttributesA,0x180009070
KERNEL32.dll,MultiByteToWideChar,0x180009078
KERNEL32.dll,GetFileAttributesA,0x180009080
KERNEL32.dll,lstrcatA,0x180009088
KERNEL32.dll,GetSystemDirectoryA,0x180009090
KERNEL32.dll,ExitProcess,0x180009098
KERNEL32.dll,OutputDebugStringA,0x1800090a0
KERNEL32.dll,SetFileTime,0x1800090a8
KERNEL32.dll,LocalFileTimeToFileTime,0x1800090b0
KERNEL32.dll,SystemTimeToFileTime,0x1800090b8
KERNEL32.dll,GetFileTime,0x1800090c0
KERNEL32.dll,DisableThreadLibraryCalls,0x1800090c8
KERNEL32.dll,CopyFileA,0x1800090d0
KERNEL32.dll,WaitForSingleObject,0x1800090d8
KERNEL32.dll,LoadLibraryW,0x1800090e0
KERNEL32.dll,GetModuleFileNameW,0x1800090e8
KERNEL32.dll,GetWindowsDirectoryA,0x1800090f0
KERNEL32.dll,GetModuleFileNameA,0x1800090f8
KERNEL32.dll,DeleteFileA,0x180009100
KERNEL32.dll,WriteFile,0x180009108
KERNEL32.dll,CloseHandle,0x180009110
KERNEL32.dll,CreateFileA,0x180009118
KERNEL32.dll,WideCharToMultiByte,0x180009120
KERNEL32.dll,HeapSize,0x180009128
KERNEL32.dll,GetStringTypeW,0x180009130
KERNEL32.dll,LCMapStringW,0x180009138
KERNEL32.dll,HeapReAlloc,0x180009140
KERNEL32.dll,MoveFileA,0x180009148
KERNEL32.dll,GetCurrentThreadId,0x180009150
KERNEL32.dll,FlsSetValue,0x180009158
KERNEL32.dll,GetCommandLineA,0x180009160
KERNEL32.dll,TerminateProcess,0x180009168
KERNEL32.dll,UnhandledExceptionFilter,0x180009170
KERNEL32.dll,SetUnhandledExceptionFilter,0x180009178
KERNEL32.dll,IsDebuggerPresent,0x180009180
KERNEL32.dll,RtlVirtualUnwind,0x180009188
KERNEL32.dll,RtlLookupFunctionEntry,0x180009190
KERNEL32.dll,RtlCaptureContext,0x180009198
KERNEL32.dll,EncodePointer,0x1800091a0
KERNEL32.dll,DecodePointer,0x1800091a8
KERNEL32.dll,HeapSetInformation,0x1800091b0
KERNEL32.dll,GetVersion,0x1800091b8
KERNEL32.dll,HeapCreate,0x1800091c0
KERNEL32.dll,HeapDestroy,0x1800091c8
KERNEL32.dll,RtlUnwindEx,0x1800091d0
KERNEL32.dll,FlsGetValue,0x1800091d8
KERNEL32.dll,FlsFree,0x1800091e0
KERNEL32.dll,SetLastError,0x1800091e8
KERNEL32.dll,FlsAlloc,0x1800091f0
KERNEL32.dll,Sleep,0x1800091f8
KERNEL32.dll,GetModuleHandleW,0x180009200
KERNEL32.dll,SetHandleCount,0x180009208
KERNEL32.dll,GetStdHandle,0x180009210
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x180009218
KERNEL32.dll,GetFileType,0x180009220
KERNEL32.dll,GetStartupInfoW,0x180009228
KERNEL32.dll,DeleteCriticalSection,0x180009230
KERNEL32.dll,FreeEnvironmentStringsW,0x180009238
KERNEL32.dll,GetEnvironmentStringsW,0x180009240
KERNEL32.dll,QueryPerformanceCounter,0x180009248
KERNEL32.dll,GetTickCount,0x180009250
KERNEL32.dll,GetSystemTimeAsFileTime,0x180009258
KERNEL32.dll,LeaveCriticalSection,0x180009260
KERNEL32.dll,EnterCriticalSection,0x180009268
KERNEL32.dll,GetCPInfo,0x180009270
KERNEL32.dll,GetACP,0x180009278
KERNEL32.dll,GetOEMCP,0x180009280
KERNEL32.dll,IsValidCodePage,0x180009288
USER32.dll,wsprintfA,0x180009298
USER32.dll,MessageBoxA,0x1800092a0
ole32.dll,CoUninitialize,0x1800092b0
ole32.dll,CoCreateInstance,0x1800092b8
ole32.dll,CoInitialize,0x1800092c0
