dll,name,address
WININET.dll,InternetCloseHandle,0x4010cc
WININET.dll,InternetOpenUrlA,0x4010d0
WININET.dll,InternetOpenA,0x4010d4
WININET.dll,InternetReadFile,0x4010d8
MFC42.DLL,,0x401040
MFC42.DLL,,0x401044
MFC42.DLL,,0x401048
MFC42.DLL,,0x40104c
MSVCRT.dll,__p__commode,0x401068
MSVCRT.dll,__p__fmode,0x40106c
MSVCRT.dll,__set_app_type,0x401070
MSVCRT.dll,_except_handler3,0x401074
MSVCRT.dll,_controlfp,0x401078
MSVCRT.dll,_adjust_fdiv,0x40107c
MSVCRT.dll,_initterm,0x401080
MSVCRT.dll,__getmainargs,0x401084
MSVCRT.dll,_acmdln,0x401088
MSVCRT.dll,exit,0x40108c
MSVCRT.dll,_XcptFilter,0x401090
MSVCRT.dll,_exit,0x401094
MSVCRT.dll,_onexit,0x401098
MSVCRT.dll,__dllonexit,0x40109c
MSVCRT.dll,strchr,0x4010a0
MSVCRT.dll,time,0x4010a4
MSVCRT.dll,srand,0x4010a8
MSVCRT.dll,rand,0x4010ac
MSVCRT.dll,atoi,0x4010b0
MSVCRT.dll,strrchr,0x4010b4
MSVCRT.dll,__setusermatherr,0x4010b8
KERNEL32.dll,GetComputerNameA,0x401010
KERNEL32.dll,DeleteFileA,0x401014
KERNEL32.dll,GetModuleFileNameA,0x401018
KERNEL32.dll,GetTempPathA,0x40101c
KERNEL32.dll,Sleep,0x401020
KERNEL32.dll,GetModuleHandleA,0x401024
KERNEL32.dll,CopyFileA,0x401028
KERNEL32.dll,CreateProcessA,0x40102c
KERNEL32.dll,GetTempFileNameA,0x401030
KERNEL32.dll,GetStartupInfoA,0x401034
KERNEL32.dll,CloseHandle,0x401038
ADVAPI32.dll,RegSetValueExA,0x401000
ADVAPI32.dll,RegOpenKeyExA,0x401004
ADVAPI32.dll,RegCloseKey,0x401008
SHELL32.dll,SHGetSpecialFolderLocation,0x4010c0
SHELL32.dll,SHGetPathFromIDListA,0x4010c4
urlmon.dll,URLDownloadToFileA,0x4010e0
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x401054
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x401058
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x40105c
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x401060
