dll,name,address
WS2_32.dll,getaddrinfo,0x415028
WS2_32.dll,freeaddrinfo,0x41502c
WS2_32.dll,closesocket,0x415030
WS2_32.dll,WSAStartup,0x415034
WS2_32.dll,socket,0x415038
WS2_32.dll,send,0x41503c
WS2_32.dll,recv,0x415040
WS2_32.dll,connect,0x415044
KERNEL32.dll,GetProcessHeap,0x415000
KERNEL32.dll,HeapFree,0x415004
KERNEL32.dll,HeapAlloc,0x415008
KERNEL32.dll,SetLastError,0x41500c
KERNEL32.dll,GetLastError,0x415010
ole32.dll,CoCreateInstance,0x41504c
ole32.dll,CoInitialize,0x415050
ole32.dll,CoUninitialize,0x415054
OLEAUT32.dll,VariantInit,0x415018
OLEAUT32.dll,SysFreeString,0x41501c
OLEAUT32.dll,SysAllocString,0x415020
