dll,name,address
KERNEL32.dll,FlushFileBuffers,0x1001b0a8
KERNEL32.dll,LockFile,0x1001b0ac
KERNEL32.dll,UnlockFile,0x1001b0b0
KERNEL32.dll,SetEndOfFile,0x1001b0b4
KERNEL32.dll,GetVolumeInformationA,0x1001b0b8
KERNEL32.dll,lstrcpynA,0x1001b0bc
KERNEL32.dll,GetFullPathNameA,0x1001b0c0
KERNEL32.dll,lstrcmpiA,0x1001b0c4
KERNEL32.dll,FileTimeToSystemTime,0x1001b0c8
KERNEL32.dll,FileTimeToLocalFileTime,0x1001b0cc
KERNEL32.dll,InterlockedIncrement,0x1001b0d0
KERNEL32.dll,WideCharToMultiByte,0x1001b0d4
KERNEL32.dll,GetFileAttributesA,0x1001b0d8
KERNEL32.dll,GetFileSize,0x1001b0dc
KERNEL32.dll,GetFileTime,0x1001b0e0
KERNEL32.dll,lstrcatA,0x1001b0e4
KERNEL32.dll,lstrcmpA,0x1001b0e8
KERNEL32.dll,InitializeCriticalSection,0x1001b0ec
KERNEL32.dll,DeleteCriticalSection,0x1001b0f0
KERNEL32.dll,LeaveCriticalSection,0x1001b0f4
KERNEL32.dll,EnterCriticalSection,0x1001b0f8
KERNEL32.dll,LocalAlloc,0x1001b0fc
KERNEL32.dll,LocalFree,0x1001b100
KERNEL32.dll,TlsAlloc,0x1001b104
KERNEL32.dll,SetFilePointer,0x1001b108
KERNEL32.dll,GlobalHandle,0x1001b10c
KERNEL32.dll,TlsFree,0x1001b110
KERNEL32.dll,GlobalLock,0x1001b114
KERNEL32.dll,GlobalReAlloc,0x1001b118
KERNEL32.dll,GlobalAlloc,0x1001b11c
KERNEL32.dll,TlsSetValue,0x1001b120
KERNEL32.dll,LocalReAlloc,0x1001b124
KERNEL32.dll,TlsGetValue,0x1001b128
KERNEL32.dll,GetVersion,0x1001b12c
KERNEL32.dll,ResumeThread,0x1001b130
KERNEL32.dll,GetCurrentThreadId,0x1001b134
KERNEL32.dll,GetModuleHandleA,0x1001b138
KERNEL32.dll,GlobalDeleteAtom,0x1001b13c
KERNEL32.dll,GlobalFindAtomA,0x1001b140
KERNEL32.dll,GlobalAddAtomA,0x1001b144
KERNEL32.dll,GlobalGetAtomNameA,0x1001b148
KERNEL32.dll,FreeLibrary,0x1001b14c
KERNEL32.dll,GetProcessVersion,0x1001b150
KERNEL32.dll,GlobalFlags,0x1001b154
KERNEL32.dll,GetCPInfo,0x1001b158
KERNEL32.dll,GetOEMCP,0x1001b15c
KERNEL32.dll,GetCurrentDirectoryA,0x1001b160
KERNEL32.dll,RtlUnwind,0x1001b164
KERNEL32.dll,ExitThread,0x1001b168
KERNEL32.dll,RaiseException,0x1001b16c
KERNEL32.dll,GetLocalTime,0x1001b170
KERNEL32.dll,GetCommandLineA,0x1001b174
KERNEL32.dll,HeapAlloc,0x1001b178
KERNEL32.dll,HeapFree,0x1001b17c
KERNEL32.dll,GetTimeZoneInformation,0x1001b180
KERNEL32.dll,GetACP,0x1001b184
KERNEL32.dll,HeapSize,0x1001b188
KERNEL32.dll,HeapReAlloc,0x1001b18c
KERNEL32.dll,ExitProcess,0x1001b190
KERNEL32.dll,LCMapStringA,0x1001b194
KERNEL32.dll,LCMapStringW,0x1001b198
KERNEL32.dll,UnhandledExceptionFilter,0x1001b19c
KERNEL32.dll,SetUnhandledExceptionFilter,0x1001b1a0
KERNEL32.dll,SetHandleCount,0x1001b1a4
KERNEL32.dll,GetFileType,0x1001b1a8
KERNEL32.dll,GetStartupInfoA,0x1001b1ac
KERNEL32.dll,FreeEnvironmentStringsA,0x1001b1b0
KERNEL32.dll,FreeEnvironmentStringsW,0x1001b1b4
KERNEL32.dll,GetEnvironmentStrings,0x1001b1b8
KERNEL32.dll,GetEnvironmentStringsW,0x1001b1bc
KERNEL32.dll,HeapDestroy,0x1001b1c0
KERNEL32.dll,HeapCreate,0x1001b1c4
KERNEL32.dll,VirtualFree,0x1001b1c8
KERNEL32.dll,VirtualAlloc,0x1001b1cc
KERNEL32.dll,IsBadWritePtr,0x1001b1d0
KERNEL32.dll,GetStringTypeA,0x1001b1d4
KERNEL32.dll,GetStringTypeW,0x1001b1d8
KERNEL32.dll,IsBadReadPtr,0x1001b1dc
KERNEL32.dll,IsBadCodePtr,0x1001b1e0
KERNEL32.dll,CompareStringA,0x1001b1e4
KERNEL32.dll,CompareStringW,0x1001b1e8
KERNEL32.dll,SetEnvironmentVariableA,0x1001b1ec
KERNEL32.dll,CreateFileA,0x1001b1f0
KERNEL32.dll,FindNextFileA,0x1001b1f4
KERNEL32.dll,FindFirstFileA,0x1001b1f8
KERNEL32.dll,FindClose,0x1001b1fc
KERNEL32.dll,GetEnvironmentVariableA,0x1001b200
KERNEL32.dll,CreateProcessA,0x1001b204
KERNEL32.dll,CreatePipe,0x1001b208
KERNEL32.dll,SetStdHandle,0x1001b20c
KERNEL32.dll,GetCurrentProcess,0x1001b210
KERNEL32.dll,DuplicateHandle,0x1001b214
KERNEL32.dll,WaitForSingleObject,0x1001b218
KERNEL32.dll,PeekNamedPipe,0x1001b21c
KERNEL32.dll,ReadFile,0x1001b220
KERNEL32.dll,SetEvent,0x1001b224
KERNEL32.dll,TerminateProcess,0x1001b228
KERNEL32.dll,CreateEventA,0x1001b22c
KERNEL32.dll,CreateThread,0x1001b230
KERNEL32.dll,CloseHandle,0x1001b234
KERNEL32.dll,GetStdHandle,0x1001b238
KERNEL32.dll,WriteFile,0x1001b23c
KERNEL32.dll,OutputDebugStringA,0x1001b240
KERNEL32.dll,SetLastError,0x1001b244
KERNEL32.dll,GetModuleFileNameA,0x1001b248
KERNEL32.dll,FreeConsole,0x1001b24c
KERNEL32.dll,lstrcpyA,0x1001b250
KERNEL32.dll,lstrlenA,0x1001b254
KERNEL32.dll,GetSystemTime,0x1001b258
KERNEL32.dll,SystemTimeToFileTime,0x1001b25c
KERNEL32.dll,CompareFileTime,0x1001b260
KERNEL32.dll,LoadLibraryA,0x1001b264
KERNEL32.dll,GetProcAddress,0x1001b268
KERNEL32.dll,Sleep,0x1001b26c
KERNEL32.dll,GlobalFree,0x1001b270
KERNEL32.dll,MultiByteToWideChar,0x1001b274
KERNEL32.dll,GetLastError,0x1001b278
KERNEL32.dll,InterlockedDecrement,0x1001b27c
KERNEL32.dll,GetTempPathA,0x1001b280
KERNEL32.dll,GetLogicalDriveStringsA,0x1001b284
KERNEL32.dll,GetDriveTypeA,0x1001b288
KERNEL32.dll,GetDiskFreeSpaceExA,0x1001b28c
KERNEL32.dll,GetComputerNameA,0x1001b290
KERNEL32.dll,GlobalUnlock,0x1001b294
KERNEL32.dll,GetVersionExA,0x1001b298
ADVAPI32.dll,OpenServiceA,0x1001b000
ADVAPI32.dll,DeleteService,0x1001b004
ADVAPI32.dll,OpenSCManagerA,0x1001b008
ADVAPI32.dll,CreateServiceA,0x1001b00c
ADVAPI32.dll,CloseServiceHandle,0x1001b010
ADVAPI32.dll,RegCreateKeyA,0x1001b014
ADVAPI32.dll,SetServiceStatus,0x1001b018
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x1001b01c
