dll,name,address
KERNEL32.dll,SetFilePointer,0x41d000
KERNEL32.dll,WriteFile,0x41d004
KERNEL32.dll,ReadFile,0x41d008
KERNEL32.dll,CreateFileW,0x41d00c
KERNEL32.dll,GetLastError,0x41d010
KERNEL32.dll,CloseHandle,0x41d014
KERNEL32.dll,FindFirstFileW,0x41d018
KERNEL32.dll,CreateDirectoryW,0x41d01c
KERNEL32.dll,SetFileTime,0x41d020
KERNEL32.dll,FindClose,0x41d024
KERNEL32.dll,SetFileAttributesW,0x41d028
KERNEL32.dll,GetEnvironmentVariableW,0x41d02c
KERNEL32.dll,GetTempFileNameW,0x41d030
KERNEL32.dll,GetModuleFileNameW,0x41d034
KERNEL32.dll,DeleteFileW,0x41d038
KERNEL32.dll,WideCharToMultiByte,0x41d03c
KERNEL32.dll,MultiByteToWideChar,0x41d040
KERNEL32.dll,GetModuleFileNameA,0x41d044
KERNEL32.dll,CreateProcessW,0x41d048
KERNEL32.dll,GetStringTypeW,0x41d04c
KERNEL32.dll,FlushFileBuffers,0x41d050
KERNEL32.dll,WriteConsoleW,0x41d054
KERNEL32.dll,LCMapStringW,0x41d058
KERNEL32.dll,HeapFree,0x41d05c
KERNEL32.dll,HeapAlloc,0x41d060
KERNEL32.dll,EncodePointer,0x41d064
KERNEL32.dll,DecodePointer,0x41d068
KERNEL32.dll,GetSystemTimeAsFileTime,0x41d06c
KERNEL32.dll,GetCommandLineW,0x41d070
KERNEL32.dll,IsDebuggerPresent,0x41d074
KERNEL32.dll,IsProcessorFeaturePresent,0x41d078
KERNEL32.dll,GetProcessHeap,0x41d07c
KERNEL32.dll,InterlockedDecrement,0x41d080
KERNEL32.dll,ExitProcess,0x41d084
KERNEL32.dll,GetModuleHandleExW,0x41d088
KERNEL32.dll,GetProcAddress,0x41d08c
KERNEL32.dll,AreFileApisANSI,0x41d090
KERNEL32.dll,GetStdHandle,0x41d094
KERNEL32.dll,EnterCriticalSection,0x41d098
KERNEL32.dll,LeaveCriticalSection,0x41d09c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x41d0a0
KERNEL32.dll,RtlUnwind,0x41d0a4
KERNEL32.dll,HeapSize,0x41d0a8
KERNEL32.dll,Sleep,0x41d0ac
KERNEL32.dll,GetConsoleMode,0x41d0b0
KERNEL32.dll,ReadConsoleW,0x41d0b4
KERNEL32.dll,GetConsoleCP,0x41d0b8
KERNEL32.dll,SetFilePointerEx,0x41d0bc
KERNEL32.dll,GetFileType,0x41d0c0
KERNEL32.dll,DeleteCriticalSection,0x41d0c4
KERNEL32.dll,GetStartupInfoW,0x41d0c8
KERNEL32.dll,RaiseException,0x41d0cc
KERNEL32.dll,SetLastError,0x41d0d0
KERNEL32.dll,InterlockedIncrement,0x41d0d4
KERNEL32.dll,GetCurrentThreadId,0x41d0d8
KERNEL32.dll,QueryPerformanceCounter,0x41d0dc
KERNEL32.dll,GetCurrentProcessId,0x41d0e0
KERNEL32.dll,GetEnvironmentStringsW,0x41d0e4
KERNEL32.dll,FreeEnvironmentStringsW,0x41d0e8
KERNEL32.dll,UnhandledExceptionFilter,0x41d0ec
KERNEL32.dll,SetUnhandledExceptionFilter,0x41d0f0
KERNEL32.dll,GetCurrentProcess,0x41d0f4
KERNEL32.dll,TerminateProcess,0x41d0f8
KERNEL32.dll,TlsAlloc,0x41d0fc
KERNEL32.dll,TlsGetValue,0x41d100
KERNEL32.dll,TlsSetValue,0x41d104
KERNEL32.dll,TlsFree,0x41d108
KERNEL32.dll,GetModuleHandleW,0x41d10c
KERNEL32.dll,LoadLibraryExW,0x41d110
KERNEL32.dll,IsValidCodePage,0x41d114
KERNEL32.dll,GetACP,0x41d118
KERNEL32.dll,GetOEMCP,0x41d11c
KERNEL32.dll,GetCPInfo,0x41d120
KERNEL32.dll,OutputDebugStringW,0x41d124
KERNEL32.dll,LoadLibraryW,0x41d128
KERNEL32.dll,HeapReAlloc,0x41d12c
KERNEL32.dll,SetStdHandle,0x41d130
KERNEL32.dll,SetEndOfFile,0x41d134
SHLWAPI.dll,PathAppendW,0x41d13c
