dll,name,address
WSOCK32.dll,__WSAFDIsSet,0x482794
WSOCK32.dll,setsockopt,0x482798
WSOCK32.dll,ntohs,0x48279c
WSOCK32.dll,recvfrom,0x4827a0
WSOCK32.dll,sendto,0x4827a4
WSOCK32.dll,htons,0x4827a8
WSOCK32.dll,select,0x4827ac
WSOCK32.dll,listen,0x4827b0
WSOCK32.dll,WSAStartup,0x4827b4
WSOCK32.dll,bind,0x4827b8
WSOCK32.dll,closesocket,0x4827bc
WSOCK32.dll,connect,0x4827c0
WSOCK32.dll,socket,0x4827c4
WSOCK32.dll,send,0x4827c8
WSOCK32.dll,WSACleanup,0x4827cc
WSOCK32.dll,ioctlsocket,0x4827d0
WSOCK32.dll,accept,0x4827d4
WSOCK32.dll,WSAGetLastError,0x4827d8
WSOCK32.dll,inet_addr,0x4827dc
WSOCK32.dll,gethostbyname,0x4827e0
WSOCK32.dll,gethostname,0x4827e4
WSOCK32.dll,recv,0x4827e8
VERSION.dll,VerQueryValueW,0x482738
VERSION.dll,GetFileVersionInfoW,0x48273c
VERSION.dll,GetFileVersionInfoSizeW,0x482740
WINMM.dll,timeGetTime,0x482784
WINMM.dll,waveOutSetVolume,0x482788
WINMM.dll,mciSendStringW,0x48278c
COMCTL32.dll,ImageList_Remove,0x48208c
COMCTL32.dll,ImageList_SetDragCursorImage,0x482090
COMCTL32.dll,ImageList_BeginDrag,0x482094
COMCTL32.dll,ImageList_DragEnter,0x482098
COMCTL32.dll,ImageList_DragLeave,0x48209c
COMCTL32.dll,ImageList_EndDrag,0x4820a0
COMCTL32.dll,ImageList_DragMove,0x4820a4
COMCTL32.dll,ImageList_ReplaceIcon,0x4820a8
COMCTL32.dll,ImageList_Create,0x4820ac
COMCTL32.dll,InitCommonControlsEx,0x4820b0
COMCTL32.dll,ImageList_Destroy,0x4820b4
MPR.dll,WNetCancelConnection2W,0x4823d8
MPR.dll,WNetGetConnectionW,0x4823dc
MPR.dll,WNetAddConnection2W,0x4823e0
MPR.dll,WNetUseConnectionW,0x4823e4
WININET.dll,InternetReadFile,0x482748
WININET.dll,InternetCloseHandle,0x48274c
WININET.dll,InternetOpenW,0x482750
WININET.dll,InternetSetOptionW,0x482754
WININET.dll,InternetCrackUrlW,0x482758
WININET.dll,HttpQueryInfoW,0x48275c
WININET.dll,InternetConnectW,0x482760
WININET.dll,HttpOpenRequestW,0x482764
WININET.dll,HttpSendRequestW,0x482768
WININET.dll,FtpOpenFileW,0x48276c
WININET.dll,FtpGetFileSize,0x482770
WININET.dll,InternetOpenUrlW,0x482774
WININET.dll,InternetQueryOptionW,0x482778
WININET.dll,InternetQueryDataAvailable,0x48277c
PSAPI.DLL,EnumProcesses,0x482450
PSAPI.DLL,GetModuleBaseNameW,0x482454
PSAPI.DLL,GetProcessMemoryInfo,0x482458
PSAPI.DLL,EnumProcessModules,0x48245c
USERENV.dll,CreateEnvironmentBlock,0x482724
USERENV.dll,DestroyEnvironmentBlock,0x482728
USERENV.dll,UnloadUserProfile,0x48272c
USERENV.dll,LoadUserProfileW,0x482730
KERNEL32.dll,HeapAlloc,0x482158
KERNEL32.dll,Sleep,0x48215c
KERNEL32.dll,GetCurrentThreadId,0x482160
KERNEL32.dll,RaiseException,0x482164
KERNEL32.dll,MulDiv,0x482168
KERNEL32.dll,GetVersionExW,0x48216c
KERNEL32.dll,GetSystemInfo,0x482170
KERNEL32.dll,InterlockedIncrement,0x482174
KERNEL32.dll,InterlockedDecrement,0x482178
KERNEL32.dll,WideCharToMultiByte,0x48217c
KERNEL32.dll,lstrcpyW,0x482180
KERNEL32.dll,MultiByteToWideChar,0x482184
KERNEL32.dll,lstrlenW,0x482188
KERNEL32.dll,lstrcmpiW,0x48218c
KERNEL32.dll,GetModuleHandleW,0x482190
KERNEL32.dll,QueryPerformanceCounter,0x482194
KERNEL32.dll,VirtualFreeEx,0x482198
KERNEL32.dll,OpenProcess,0x48219c
KERNEL32.dll,VirtualAllocEx,0x4821a0
KERNEL32.dll,WriteProcessMemory,0x4821a4
KERNEL32.dll,ReadProcessMemory,0x4821a8
KERNEL32.dll,CreateFileW,0x4821ac
KERNEL32.dll,SetFilePointerEx,0x4821b0
KERNEL32.dll,ReadFile,0x4821b4
KERNEL32.dll,WriteFile,0x4821b8
KERNEL32.dll,FlushFileBuffers,0x4821bc
KERNEL32.dll,TerminateProcess,0x4821c0
KERNEL32.dll,CreateToolhelp32Snapshot,0x4821c4
KERNEL32.dll,Process32FirstW,0x4821c8
KERNEL32.dll,Process32NextW,0x4821cc
KERNEL32.dll,SetFileTime,0x4821d0
KERNEL32.dll,GetFileAttributesW,0x4821d4
KERNEL32.dll,FindFirstFileW,0x4821d8
KERNEL32.dll,FindClose,0x4821dc
KERNEL32.dll,DeleteFileW,0x4821e0
KERNEL32.dll,FindNextFileW,0x4821e4
KERNEL32.dll,MoveFileW,0x4821e8
KERNEL32.dll,CopyFileW,0x4821ec
KERNEL32.dll,CreateDirectoryW,0x4821f0
KERNEL32.dll,RemoveDirectoryW,0x4821f4
KERNEL32.dll,GetProcessHeap,0x4821f8
KERNEL32.dll,QueryPerformanceFrequency,0x4821fc
KERNEL32.dll,FindResourceW,0x482200
KERNEL32.dll,LoadResource,0x482204
KERNEL32.dll,LockResource,0x482208
KERNEL32.dll,SizeofResource,0x48220c
KERNEL32.dll,EnumResourceNamesW,0x482210
KERNEL32.dll,OutputDebugStringW,0x482214
KERNEL32.dll,GetLocalTime,0x482218
KERNEL32.dll,CompareStringW,0x48221c
KERNEL32.dll,DeleteCriticalSection,0x482220
KERNEL32.dll,EnterCriticalSection,0x482224
KERNEL32.dll,LeaveCriticalSection,0x482228
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x48222c
KERNEL32.dll,GetStdHandle,0x482230
KERNEL32.dll,CreatePipe,0x482234
KERNEL32.dll,InterlockedExchange,0x482238
KERNEL32.dll,TerminateThread,0x48223c
KERNEL32.dll,GetTempPathW,0x482240
KERNEL32.dll,GetTempFileNameW,0x482244
KERNEL32.dll,VirtualFree,0x482248
KERNEL32.dll,FormatMessageW,0x48224c
KERNEL32.dll,GetExitCodeProcess,0x482250
KERNEL32.dll,SetErrorMode,0x482254
KERNEL32.dll,GetPrivateProfileStringW,0x482258
KERNEL32.dll,WritePrivateProfileStringW,0x48225c
KERNEL32.dll,GetPrivateProfileSectionW,0x482260
KERNEL32.dll,WritePrivateProfileSectionW,0x482264
KERNEL32.dll,GetPrivateProfileSectionNamesW,0x482268
KERNEL32.dll,FileTimeToLocalFileTime,0x48226c
KERNEL32.dll,FileTimeToSystemTime,0x482270
KERNEL32.dll,SystemTimeToFileTime,0x482274
KERNEL32.dll,LocalFileTimeToFileTime,0x482278
KERNEL32.dll,GetDriveTypeW,0x48227c
KERNEL32.dll,GetDiskFreeSpaceExW,0x482280
KERNEL32.dll,GetDiskFreeSpaceW,0x482284
KERNEL32.dll,GetVolumeInformationW,0x482288
KERNEL32.dll,SetVolumeLabelW,0x48228c
KERNEL32.dll,CreateHardLinkW,0x482290
KERNEL32.dll,DeviceIoControl,0x482294
KERNEL32.dll,SetFileAttributesW,0x482298
KERNEL32.dll,GetShortPathNameW,0x48229c
KERNEL32.dll,CreateEventW,0x4822a0
KERNEL32.dll,SetEvent,0x4822a4
KERNEL32.dll,GetEnvironmentVariableW,0x4822a8
KERNEL32.dll,SetEnvironmentVariableW,0x4822ac
KERNEL32.dll,GlobalLock,0x4822b0
KERNEL32.dll,GlobalUnlock,0x4822b4
KERNEL32.dll,GlobalAlloc,0x4822b8
KERNEL32.dll,GetFileSize,0x4822bc
KERNEL32.dll,GlobalFree,0x4822c0
KERNEL32.dll,GlobalMemoryStatusEx,0x4822c4
