dll,name,address
KERNEL32.dll,GetComputerNameA,0x403024
KERNEL32.dll,WriteFile,0x403028
KERNEL32.dll,ReadFile,0x40302c
KERNEL32.dll,PeekNamedPipe,0x403030
KERNEL32.dll,GetExitCodeProcess,0x403034
KERNEL32.dll,CreateProcessA,0x403038
KERNEL32.dll,OpenProcess,0x40303c
KERNEL32.dll,GetFileAttributesA,0x403040
KERNEL32.dll,GetSystemDirectoryA,0x403044
KERNEL32.dll,Sleep,0x403048
KERNEL32.dll,GetVolumeInformationA,0x40304c
KERNEL32.dll,GetDriveTypeA,0x403050
KERNEL32.dll,lstrcatA,0x403054
KERNEL32.dll,GetLogicalDrives,0x403058
KERNEL32.dll,Process32Next,0x40305c
KERNEL32.dll,Process32First,0x403060
KERNEL32.dll,CreateToolhelp32Snapshot,0x403064
KERNEL32.dll,GetFileSize,0x403068
KERNEL32.dll,CreateFileA,0x40306c
KERNEL32.dll,GetCurrentProcess,0x403070
KERNEL32.dll,GetModuleHandleA,0x403074
KERNEL32.dll,CreatePipe,0x403078
KERNEL32.dll,GetWindowsDirectoryA,0x40307c
KERNEL32.dll,SetCurrentDirectoryA,0x403080
KERNEL32.dll,CreateThread,0x403084
KERNEL32.dll,WaitForSingleObject,0x403088
KERNEL32.dll,CloseHandle,0x40308c
KERNEL32.dll,TerminateProcess,0x403090
KERNEL32.dll,ExpandEnvironmentStringsA,0x403094
KERNEL32.dll,GetLastError,0x403098
KERNEL32.dll,GetStartupInfoA,0x40309c
MSVCRT.dll,atol,0x4030a4
MSVCRT.dll,sscanf,0x4030a8
MSVCRT.dll,strrchr,0x4030ac
MSVCRT.dll,_exit,0x4030b0
MSVCRT.dll,_XcptFilter,0x4030b4
MSVCRT.dll,exit,0x4030b8
MSVCRT.dll,_acmdln,0x4030bc
MSVCRT.dll,__getmainargs,0x4030c0
MSVCRT.dll,_initterm,0x4030c4
MSVCRT.dll,__setusermatherr,0x4030c8
MSVCRT.dll,_adjust_fdiv,0x4030cc
MSVCRT.dll,__p__commode,0x4030d0
MSVCRT.dll,__p__fmode,0x4030d4
MSVCRT.dll,__set_app_type,0x4030d8
MSVCRT.dll,_except_handler3,0x4030dc
MSVCRT.dll,_controlfp,0x4030e0
MSVCRT.dll,??3@YAXPAX@Z,0x4030e4
MSVCRT.dll,strlen,0x4030e8
MSVCRT.dll,strcpy,0x4030ec
MSVCRT.dll,strstr,0x4030f0
MSVCRT.dll,??2@YAPAXI@Z,0x4030f4
MSVCRT.dll,sprintf,0x4030f8
MSVCRT.dll,atoi,0x4030fc
MSVCRT.dll,_strcmpi,0x403100
MSVCRT.dll,memset,0x403104
MSVCRT.dll,strcat,0x403108
MSVCRT.dll,__CxxFrameHandler,0x40310c
WININET.dll,HttpSendRequestA,0x40311c
WININET.dll,InternetQueryOptionA,0x403120
WININET.dll,InternetCloseHandle,0x403124
WININET.dll,InternetConnectA,0x403128
WININET.dll,HttpOpenRequestA,0x40312c
WININET.dll,HttpAddRequestHeadersA,0x403130
WININET.dll,InternetOpenA,0x403134
WININET.dll,InternetReadFile,0x403138
WININET.dll,InternetSetOptionA,0x40313c
ADVAPI32.dll,CreateProcessAsUserA,0x403000
ADVAPI32.dll,CloseServiceHandle,0x403004
ADVAPI32.dll,EnumServicesStatusExA,0x403008
ADVAPI32.dll,OpenSCManagerA,0x40300c
ADVAPI32.dll,ControlService,0x403010
ADVAPI32.dll,OpenServiceA,0x403014
ADVAPI32.dll,StartServiceA,0x403018
ADVAPI32.dll,OpenProcessToken,0x40301c
urlmon.dll,URLDownloadToFileA,0x403144
Secur32.dll,GetUserNameExA,0x403114
