dll,name,address
KERNEL32.dll,GetLastError,0x42f000
KERNEL32.dll,SetLastError,0x42f004
KERNEL32.dll,GetCurrentProcess,0x42f008
KERNEL32.dll,DeviceIoControl,0x42f00c
KERNEL32.dll,SetFileTime,0x42f010
KERNEL32.dll,CloseHandle,0x42f014
KERNEL32.dll,CreateDirectoryW,0x42f018
KERNEL32.dll,RemoveDirectoryW,0x42f01c
KERNEL32.dll,CreateFileW,0x42f020
KERNEL32.dll,DeleteFileW,0x42f024
KERNEL32.dll,CreateHardLinkW,0x42f028
KERNEL32.dll,GetShortPathNameW,0x42f02c
KERNEL32.dll,GetLongPathNameW,0x42f030
KERNEL32.dll,MoveFileW,0x42f034
KERNEL32.dll,GetFileType,0x42f038
KERNEL32.dll,GetStdHandle,0x42f03c
KERNEL32.dll,WriteFile,0x42f040
KERNEL32.dll,ReadFile,0x42f044
KERNEL32.dll,FlushFileBuffers,0x42f048
KERNEL32.dll,SetEndOfFile,0x42f04c
KERNEL32.dll,SetFilePointer,0x42f050
KERNEL32.dll,SetFileAttributesW,0x42f054
KERNEL32.dll,GetFileAttributesW,0x42f058
KERNEL32.dll,FindClose,0x42f05c
KERNEL32.dll,FindFirstFileW,0x42f060
KERNEL32.dll,FindNextFileW,0x42f064
KERNEL32.dll,GetVersionExW,0x42f068
KERNEL32.dll,GetCurrentDirectoryW,0x42f06c
KERNEL32.dll,GetFullPathNameW,0x42f070
KERNEL32.dll,FoldStringW,0x42f074
KERNEL32.dll,GetModuleFileNameW,0x42f078
KERNEL32.dll,GetModuleHandleW,0x42f07c
KERNEL32.dll,FindResourceW,0x42f080
KERNEL32.dll,FreeLibrary,0x42f084
KERNEL32.dll,GetProcAddress,0x42f088
KERNEL32.dll,GetCurrentProcessId,0x42f08c
KERNEL32.dll,ExitProcess,0x42f090
KERNEL32.dll,SetThreadExecutionState,0x42f094
KERNEL32.dll,Sleep,0x42f098
KERNEL32.dll,LoadLibraryW,0x42f09c
KERNEL32.dll,GetSystemDirectoryW,0x42f0a0
KERNEL32.dll,CompareStringW,0x42f0a4
KERNEL32.dll,AllocConsole,0x42f0a8
KERNEL32.dll,FreeConsole,0x42f0ac
KERNEL32.dll,AttachConsole,0x42f0b0
KERNEL32.dll,WriteConsoleW,0x42f0b4
KERNEL32.dll,GetProcessAffinityMask,0x42f0b8
KERNEL32.dll,CreateThread,0x42f0bc
KERNEL32.dll,SetThreadPriority,0x42f0c0
KERNEL32.dll,InitializeCriticalSection,0x42f0c4
KERNEL32.dll,EnterCriticalSection,0x42f0c8
KERNEL32.dll,LeaveCriticalSection,0x42f0cc
KERNEL32.dll,DeleteCriticalSection,0x42f0d0
KERNEL32.dll,SetEvent,0x42f0d4
KERNEL32.dll,ResetEvent,0x42f0d8
KERNEL32.dll,ReleaseSemaphore,0x42f0dc
KERNEL32.dll,WaitForSingleObject,0x42f0e0
KERNEL32.dll,CreateEventW,0x42f0e4
KERNEL32.dll,CreateSemaphoreW,0x42f0e8
KERNEL32.dll,GetSystemTime,0x42f0ec
KERNEL32.dll,SystemTimeToTzSpecificLocalTime,0x42f0f0
KERNEL32.dll,TzSpecificLocalTimeToSystemTime,0x42f0f4
KERNEL32.dll,SystemTimeToFileTime,0x42f0f8
KERNEL32.dll,FileTimeToLocalFileTime,0x42f0fc
KERNEL32.dll,LocalFileTimeToFileTime,0x42f100
KERNEL32.dll,FileTimeToSystemTime,0x42f104
KERNEL32.dll,GetCPInfo,0x42f108
KERNEL32.dll,IsDBCSLeadByte,0x42f10c
KERNEL32.dll,MultiByteToWideChar,0x42f110
KERNEL32.dll,WideCharToMultiByte,0x42f114
KERNEL32.dll,GlobalAlloc,0x42f118
KERNEL32.dll,GetTickCount,0x42f11c
KERNEL32.dll,SetCurrentDirectoryW,0x42f120
KERNEL32.dll,GetExitCodeProcess,0x42f124
KERNEL32.dll,GetLocalTime,0x42f128
KERNEL32.dll,MapViewOfFile,0x42f12c
KERNEL32.dll,UnmapViewOfFile,0x42f130
KERNEL32.dll,CreateFileMappingW,0x42f134
KERNEL32.dll,OpenFileMappingW,0x42f138
KERNEL32.dll,GetCommandLineW,0x42f13c
KERNEL32.dll,SetEnvironmentVariableW,0x42f140
KERNEL32.dll,ExpandEnvironmentStringsW,0x42f144
KERNEL32.dll,GetTempPathW,0x42f148
KERNEL32.dll,MoveFileExW,0x42f14c
KERNEL32.dll,GetLocaleInfoW,0x42f150
KERNEL32.dll,GetTimeFormatW,0x42f154
KERNEL32.dll,GetDateFormatW,0x42f158
KERNEL32.dll,GetNumberFormatW,0x42f15c
KERNEL32.dll,RaiseException,0x42f160
KERNEL32.dll,GetSystemInfo,0x42f164
KERNEL32.dll,VirtualProtect,0x42f168
KERNEL32.dll,VirtualQuery,0x42f16c
KERNEL32.dll,LoadLibraryExA,0x42f170
KERNEL32.dll,IsProcessorFeaturePresent,0x42f174
KERNEL32.dll,IsDebuggerPresent,0x42f178
