dll,name,address
MSVCRT.dll,_stricmp,0x100340e0
MSVCRT.dll,_strlwr,0x100340e4
MSVCRT.dll,__CxxFrameHandler,0x100340e8
MSVCRT.dll,??2@YAPAXI@Z,0x100340ec
MSVCRT.dll,realloc,0x100340f0
MSVCRT.dll,free,0x100340f4
MSVCRT.dll,??3@YAXPAX@Z,0x100340f8
MSVCRT.dll,rename,0x100340fc
MSVCRT.dll,strrchr,0x10034100
MSVCRT.dll,_snprintf,0x10034104
MSVCRT.dll,strstr,0x10034108
MSVCRT.dll,_initterm,0x1003410c
MSVCRT.dll,malloc,0x10034110
MSVCRT.dll,_adjust_fdiv,0x10034114
MSVCRT.dll,__dllonexit,0x10034118
MSVCRT.dll,_onexit,0x1003411c
MSVCRT.dll,calloc,0x10034120
MSVCRT.dll,strncpy,0x10034124
MFC42.DLL,,0x100340cc
MFC42.DLL,,0x100340d0
MFC42.DLL,,0x100340d4
MFC42.DLL,,0x100340d8
KERNEL32.dll,CloseHandle,0x1003400c
KERNEL32.dll,UnmapViewOfFile,0x10034010
KERNEL32.dll,WriteFile,0x10034014
KERNEL32.dll,DeleteFileA,0x10034018
KERNEL32.dll,GetFileAttributesA,0x1003401c
KERNEL32.dll,HeapAlloc,0x10034020
KERNEL32.dll,GetProcessHeap,0x10034024
KERNEL32.dll,VirtualAlloc,0x10034028
KERNEL32.dll,VirtualProtect,0x1003402c
KERNEL32.dll,VirtualFree,0x10034030
KERNEL32.dll,IsBadReadPtr,0x10034034
KERNEL32.dll,HeapFree,0x10034038
KERNEL32.dll,FreeLibrary,0x1003403c
KERNEL32.dll,GetModuleFileNameA,0x10034040
KERNEL32.dll,GetCurrentProcess,0x10034044
KERNEL32.dll,SetFileAttributesA,0x10034048
KERNEL32.dll,GetTempFileNameA,0x1003404c
KERNEL32.dll,GetTempPathA,0x10034050
KERNEL32.dll,SetFileTime,0x10034054
KERNEL32.dll,LocalFileTimeToFileTime,0x10034058
KERNEL32.dll,SystemTimeToFileTime,0x1003405c
KERNEL32.dll,GetFileTime,0x10034060
KERNEL32.dll,GetSystemDirectoryA,0x10034064
KERNEL32.dll,CreateProcessA,0x10034068
KERNEL32.dll,CopyFileA,0x1003406c
KERNEL32.dll,GetWindowsDirectoryA,0x10034070
KERNEL32.dll,GetVersionExA,0x10034074
KERNEL32.dll,ExitProcess,0x10034078
KERNEL32.dll,lstrcatA,0x1003407c
KERNEL32.dll,DisableThreadLibraryCalls,0x10034080
KERNEL32.dll,WaitForSingleObject,0x10034084
KERNEL32.dll,LoadLibraryW,0x10034088
KERNEL32.dll,GetModuleFileNameW,0x1003408c
KERNEL32.dll,CreateFileA,0x10034090
KERNEL32.dll,CreateFileMappingA,0x10034094
KERNEL32.dll,MapViewOfFile,0x10034098
KERNEL32.dll,GetProcAddress,0x1003409c
KERNEL32.dll,GetModuleHandleA,0x100340a0
KERNEL32.dll,LoadLibraryA,0x100340a4
KERNEL32.dll,GetCurrentThread,0x100340a8
KERNEL32.dll,VirtualAllocEx,0x100340ac
KERNEL32.dll,CreateToolhelp32Snapshot,0x100340b0
KERNEL32.dll,GetCurrentProcessId,0x100340b4
KERNEL32.dll,ProcessIdToSessionId,0x100340b8
KERNEL32.dll,Process32First,0x100340bc
KERNEL32.dll,Process32Next,0x100340c0
KERNEL32.dll,GetFileSizeEx,0x100340c4
USER32.dll,wsprintfA,0x1003412c
ADVAPI32.dll,OpenProcessToken,0x10034000
ADVAPI32.dll,GetTokenInformation,0x10034004
ole32.dll,CoCreateInstance,0x10034134
ole32.dll,CoUninitialize,0x10034138
ole32.dll,CoInitialize,0x1003413c
