dll,name,address
KERNEL32.DLL,ExitProcess,0x401093
KERNEL32.DLL,CloseHandle,0x401097
KERNEL32.DLL,GetTimeZoneInformation,0x40109b
KERNEL32.DLL,GetModuleHandleA,0x40109f
KERNEL32.DLL,CreateFileA,0x4010a3
KERNEL32.DLL,ReadFile,0x4010a7
KERNEL32.DLL,GetLastError,0x4010ab
KERNEL32.DLL,ExitThread,0x4010af
KERNEL32.DLL,HeapFree,0x4010b3
KERNEL32.DLL,WaitForSingleObject,0x4010b7
KERNEL32.DLL,HeapDestroy,0x4010bb
KERNEL32.DLL,lstrcatA,0x4010bf
KERNEL32.DLL,RtlFillMemory,0x4010c3
KERNEL32.DLL,HeapReAlloc,0x4010c7
USER32.DLL,DialogBoxParamA,0x4010cf
USER32.DLL,GetDlgItemTextA,0x4010d3
USER32.DLL,MessageBoxA,0x4010d7
USER32.DLL,EndDialog,0x4010db
USER32.DLL,RegisterClassA,0x4010df
USER32.DLL,PeekMessageA,0x4010e3
USER32.DLL,LoadCursorA,0x4010e7
USER32.DLL,PostQuitMessage,0x4010eb
USER32.DLL,WaitMessage,0x4010ef
USER32.DLL,LoadMenuA,0x4010f3
USER32.DLL,SetWindowTextA,0x4010f7
USER32.DLL,ShowCursor,0x4010fb
USER32.DLL,ShowWindow,0x4010ff
GDI32.DLL,GdiGetLocalFont,0x401107
GDI32.DLL,GetFontData,0x40110b
GDI32.DLL,GetFontResourceInfoW,0x40110f
GDI32.DLL,Rectangle,0x401113
GDI32.DLL,DrawEscape,0x401117
GDI32.DLL,EngBitBlt,0x40111b
GDI32.DLL,EngPaint,0x40111f
GDI32.DLL,FillRgn,0x401123
GDI32.DLL,GetFontLanguageInfo,0x401127
GDI32.DLL,GetFontData,0x40112b
comctl32.dll,CreateStatusWindowA,0x401133
comctl32.dll,CreateToolbar,0x401137
comctl32.dll,CreateUpDownControl,0x40113b
comctl32.dll,CreateStatusWindowA,0x40113f
comctl32.dll,CreateToolbarEx,0x401143
comctl32.dll,DllGetVersion,0x401147
comctl32.dll,InitMUILanguage,0x40114b
comctl32.dll,CreateMRUListW,0x40114f
comctl32.dll,ImageList_SetBkColor,0x401153
comctl32.dll,FreeMRUList,0x401157
comctl32.dll,ShowHideMenuCtl,0x40115b
