dll,name,address
KERNEL32.dll,GetVersionExA,0x100ef000
KERNEL32.dll,GetSystemDefaultLangID,0x100ef004
USER32.dll,GetProcessWindowStation,0x100ef00c
GDI32.dll,CreatePalette,0x100ef014
ADVAPI32.dll,SetEntriesInAclA,0x100ef01c
ole32.dll,CoCreateInstance,0x100ef024
WS2_32.dll,WSACleanup,0x100ef02c
KERNEL32.dll,GetModuleFileNameW,0x100ef034
KERNEL32.dll,GetModuleHandleA,0x100ef03c
KERNEL32.dll,LoadLibraryA,0x100ef040
KERNEL32.dll,LocalAlloc,0x100ef044
KERNEL32.dll,LocalFree,0x100ef048
KERNEL32.dll,GetModuleFileNameA,0x100ef04c
KERNEL32.dll,ExitProcess,0x100ef050
