dll,name,address
ADVAPI32.dll,CryptExportKey,0x455000
ADVAPI32.dll,CryptAcquireContextW,0x455004
ADVAPI32.dll,CryptReleaseContext,0x455008
ADVAPI32.dll,CryptEnumProvidersW,0x45500c
ADVAPI32.dll,CryptGetProvParam,0x455010
ADVAPI32.dll,LookupPrivilegeNameW,0x455014
ADVAPI32.dll,OpenProcessToken,0x455018
ADVAPI32.dll,GetTokenInformation,0x45501c
ADVAPI32.dll,LookupPrivilegeValueW,0x455020
ADVAPI32.dll,AdjustTokenPrivileges,0x455024
ADVAPI32.dll,CreateProcessWithLogonW,0x455028
ADVAPI32.dll,SetServiceObjectSecurity,0x45502c
ADVAPI32.dll,BuildSecurityDescriptorW,0x455030
ADVAPI32.dll,QueryServiceObjectSecurity,0x455034
ADVAPI32.dll,LookupAccountSidW,0x455038
ADVAPI32.dll,DuplicateTokenEx,0x45503c
ADVAPI32.dll,AllocateAndInitializeSid,0x455040
ADVAPI32.dll,FreeSid,0x455044
ADVAPI32.dll,ConvertSidToStringSidW,0x455048
ADVAPI32.dll,CloseServiceHandle,0x45504c
ADVAPI32.dll,DeleteService,0x455050
ADVAPI32.dll,OpenSCManagerW,0x455054
ADVAPI32.dll,OpenServiceW,0x455058
ADVAPI32.dll,StartServiceW,0x45505c
ADVAPI32.dll,ControlService,0x455060
ADVAPI32.dll,EnumServicesStatusExW,0x455064
ADVAPI32.dll,CryptGetKeyParam,0x455068
ADVAPI32.dll,CryptDestroyKey,0x45506c
ADVAPI32.dll,CryptGetUserKey,0x455070
ADVAPI32.dll,CredFree,0x455074
ADVAPI32.dll,CredEnumerateW,0x455078
ADVAPI32.dll,ImpersonateLoggedOnUser,0x45507c
ADVAPI32.dll,RegQueryValueExW,0x455080
ADVAPI32.dll,RegOpenKeyExW,0x455084
ADVAPI32.dll,RegCloseKey,0x455088
ADVAPI32.dll,RevertToSelf,0x45508c
ADVAPI32.dll,CreateServiceW,0x455090
ADVAPI32.dll,DeregisterEventSource,0x455094
ADVAPI32.dll,ReportEventA,0x455098
ADVAPI32.dll,RegisterEventSourceA,0x45509c
USER32.dll,MessageBoxA,0x4552c8
USER32.dll,WaitForInputIdle,0x4552cc
USER32.dll,GetUserObjectInformationW,0x4552d0
USER32.dll,GetProcessWindowStation,0x4552d4
USER32.dll,GetDesktopWindow,0x4552d8
USER32.dll,PostThreadMessageW,0x4552dc
Secur32.dll,GetUserNameExW,0x4552c0
CRYPT32.dll,CertOpenStore,0x4550a4
CRYPT32.dll,CertEnumCertificatesInStore,0x4550a8
CRYPT32.dll,CryptAcquireCertificatePrivateKey,0x4550ac
CRYPT32.dll,PFXExportCertStoreEx,0x4550b0
CRYPT32.dll,CertEnumSystemStore,0x4550b4
CRYPT32.dll,CertGetCertificateContextProperty,0x4550b8
CRYPT32.dll,CertCloseStore,0x4550bc
CRYPT32.dll,CertAddCertificateContextToStore,0x4550c0
CRYPT32.dll,CertFreeCertificateContext,0x4550c4
CRYPT32.dll,CertGetNameStringW,0x4550c8
SHLWAPI.dll,PathCombineW,0x4552b0
SHLWAPI.dll,PathIsRelativeW,0x4552b4
SHLWAPI.dll,PathCanonicalizeW,0x4552b8
WTSAPI32.dll,WTSCloseServer,0x4552e4
WTSAPI32.dll,WTSFreeMemory,0x4552e8
WTSAPI32.dll,WTSEnumerateProcessesW,0x4552ec
WTSAPI32.dll,WTSOpenServerW,0x4552f0
WTSAPI32.dll,WTSEnumerateSessionsW,0x4552f4
KERNEL32.dll,GetConsoleCP,0x4550d0
KERNEL32.dll,GetConsoleMode,0x4550d4
KERNEL32.dll,HeapSize,0x4550d8
KERNEL32.dll,CompareStringW,0x4550dc
KERNEL32.dll,SetEnvironmentVariableA,0x4550e0
KERNEL32.dll,WriteConsoleW,0x4550e4
KERNEL32.dll,CreateFileA,0x4550e8
KERNEL32.dll,SetEndOfFile,0x4550ec
KERNEL32.dll,GetProcessHeap,0x4550f0
KERNEL32.dll,GetCurrentProcessId,0x4550f4
KERNEL32.dll,GetTickCount,0x4550f8
KERNEL32.dll,QueryPerformanceCounter,0x4550fc
KERNEL32.dll,GetEnvironmentStringsW,0x455100
KERNEL32.dll,FreeEnvironmentStringsW,0x455104
KERNEL32.dll,IsValidLocale,0x455108
KERNEL32.dll,EnumSystemLocalesA,0x45510c
KERNEL32.dll,GetLocaleInfoA,0x455110
KERNEL32.dll,WriteFile,0x455114
KERNEL32.dll,CreateFileW,0x455118
KERNEL32.dll,FlushFileBuffers,0x45511c
KERNEL32.dll,CloseHandle,0x455120
KERNEL32.dll,GetLastError,0x455124
KERNEL32.dll,LoadLibraryW,0x455128
KERNEL32.dll,SetLastError,0x45512c
KERNEL32.dll,GetProcAddress,0x455130
KERNEL32.dll,WaitForSingleObject,0x455134
KERNEL32.dll,GetModuleHandleW,0x455138
KERNEL32.dll,CreateRemoteThread,0x45513c
KERNEL32.dll,OpenProcess,0x455140
KERNEL32.dll,VirtualFreeEx,0x455144
KERNEL32.dll,VirtualAllocEx,0x455148
KERNEL32.dll,ReadProcessMemory,0x45514c
KERNEL32.dll,VirtualProtectEx,0x455150
KERNEL32.dll,VirtualProtect,0x455154
KERNEL32.dll,WriteProcessMemory,0x455158
KERNEL32.dll,GetNativeSystemInfo,0x45515c
KERNEL32.dll,ConnectNamedPipe,0x455160
KERNEL32.dll,CreateNamedPipeW,0x455164
KERNEL32.dll,ReadFile,0x455168
KERNEL32.dll,DisconnectNamedPipe,0x45516c
KERNEL32.dll,GetCurrentProcess,0x455170
KERNEL32.dll,CreateProcessW,0x455174
KERNEL32.dll,IsBadReadPtr,0x455178
KERNEL32.dll,TerminateProcess,0x45517c
KERNEL32.dll,Process32FirstW,0x455180
KERNEL32.dll,Module32FirstW,0x455184
KERNEL32.dll,Process32NextW,0x455188
KERNEL32.dll,CreateToolhelp32Snapshot,0x45518c
KERNEL32.dll,Module32NextW,0x455190
KERNEL32.dll,LocalFree,0x455194
KERNEL32.dll,FormatMessageW,0x455198
KERNEL32.dll,GetVersionExW,0x45519c
KERNEL32.dll,GetCurrentDirectoryW,0x4551a0
KERNEL32.dll,GetComputerNameExW,0x4551a4
KERNEL32.dll,Thread32First,0x4551a8
KERNEL32.dll,TerminateThread,0x4551ac
KERNEL32.dll,Thread32Next,0x4551b0
KERNEL32.dll,OpenThread,0x4551b4
KERNEL32.dll,SuspendThread,0x4551b8
KERNEL32.dll,ResumeThread,0x4551bc
KERNEL32.dll,SetConsoleTitleW,0x4551c0
KERNEL32.dll,CreateJobObjectW,0x4551c4
KERNEL32.dll,AssignProcessToJobObject,0x4551c8
KERNEL32.dll,GetProcessId,0x4551cc
KERNEL32.dll,DuplicateHandle,0x4551d0
KERNEL32.dll,TerminateJobObject,0x4551d4
KERNEL32.dll,SetConsoleCursorPosition,0x4551d8
KERNEL32.dll,GetStdHandle,0x4551dc
KERNEL32.dll,FillConsoleOutputCharacterW,0x4551e0
KERNEL32.dll,GetConsoleScreenBufferInfo,0x4551e4
KERNEL32.dll,GetCurrentThreadId,0x4551e8
KERNEL32.dll,GetModuleHandleA,0x4551ec
KERNEL32.dll,GetVersion,0x4551f0
KERNEL32.dll,GetFileType,0x4551f4
KERNEL32.dll,MultiByteToWideChar,0x4551f8
KERNEL32.dll,WideCharToMultiByte,0x4551fc
KERNEL32.dll,InterlockedIncrement,0x455200
KERNEL32.dll,InterlockedDecrement,0x455204
KERNEL32.dll,InterlockedCompareExchange,0x455208
KERNEL32.dll,InterlockedExchange,0x45520c
KERNEL32.dll,GetStringTypeW,0x455210
KERNEL32.dll,EncodePointer,0x455214
KERNEL32.dll,DecodePointer,0x455218
KERNEL32.dll,Sleep,0x45521c
KERNEL32.dll,InitializeCriticalSection,0x455220
KERNEL32.dll,DeleteCriticalSection,0x455224
KERNEL32.dll,EnterCriticalSection,0x455228
KERNEL32.dll,LeaveCriticalSection,0x45522c
KERNEL32.dll,HeapFree,0x455230
KERNEL32.dll,HeapAlloc,0x455234
KERNEL32.dll,GetCommandLineW,0x455238
KERNEL32.dll,HeapSetInformation,0x45523c
KERNEL32.dll,HeapReAlloc,0x455240
KERNEL32.dll,GetSystemTimeAsFileTime,0x455244
KERNEL32.dll,ExitProcess,0x455248
KERNEL32.dll,RaiseException,0x45524c
KERNEL32.dll,GetCPInfo,0x455250
KERNEL32.dll,RtlUnwind,0x455254
KERNEL32.dll,LCMapStringW,0x455258
KERNEL32.dll,UnhandledExceptionFilter,0x45525c
KERNEL32.dll,SetUnhandledExceptionFilter,0x455260
KERNEL32.dll,IsDebuggerPresent,0x455264
KERNEL32.dll,IsProcessorFeaturePresent,0x455268
KERNEL32.dll,HeapCreate,0x45526c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x455270
KERNEL32.dll,GetModuleFileNameW,0x455274
KERNEL32.dll,TlsAlloc,0x455278
