dll,name,address
KERNEL32.dll,FileTimeToLocalFileTime,0x42d098
KERNEL32.dll,GetFileAttributesW,0x42d09c
KERNEL32.dll,GetFileSizeEx,0x42d0a0
KERNEL32.dll,GetFileTime,0x42d0a4
KERNEL32.dll,HeapAlloc,0x42d0a8
KERNEL32.dll,HeapFree,0x42d0ac
KERNEL32.dll,RtlUnwind,0x42d0b0
KERNEL32.dll,HeapReAlloc,0x42d0b4
KERNEL32.dll,RaiseException,0x42d0b8
KERNEL32.dll,VirtualProtect,0x42d0bc
KERNEL32.dll,VirtualAlloc,0x42d0c0
KERNEL32.dll,GetSystemInfo,0x42d0c4
KERNEL32.dll,VirtualQuery,0x42d0c8
KERNEL32.dll,HeapSize,0x42d0cc
KERNEL32.dll,TerminateProcess,0x42d0d0
KERNEL32.dll,UnhandledExceptionFilter,0x42d0d4
KERNEL32.dll,SetUnhandledExceptionFilter,0x42d0d8
KERNEL32.dll,IsDebuggerPresent,0x42d0dc
KERNEL32.dll,GetCPInfo,0x42d0e0
KERNEL32.dll,GetACP,0x42d0e4
KERNEL32.dll,GetOEMCP,0x42d0e8
KERNEL32.dll,IsValidCodePage,0x42d0ec
KERNEL32.dll,GetModuleFileNameA,0x42d0f0
KERNEL32.dll,FreeEnvironmentStringsW,0x42d0f4
KERNEL32.dll,CreateFileW,0x42d0f8
KERNEL32.dll,SetHandleCount,0x42d0fc
KERNEL32.dll,GetStartupInfoA,0x42d100
KERNEL32.dll,HeapCreate,0x42d104
KERNEL32.dll,VirtualFree,0x42d108
KERNEL32.dll,QueryPerformanceCounter,0x42d10c
KERNEL32.dll,GetTickCount,0x42d110
KERNEL32.dll,GetSystemTimeAsFileTime,0x42d114
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x42d118
KERNEL32.dll,GetTimeZoneInformation,0x42d11c
KERNEL32.dll,GetConsoleCP,0x42d120
KERNEL32.dll,GetConsoleMode,0x42d124
KERNEL32.dll,LCMapStringA,0x42d128
KERNEL32.dll,LCMapStringW,0x42d12c
KERNEL32.dll,GetStringTypeA,0x42d130
KERNEL32.dll,GetStringTypeW,0x42d134
KERNEL32.dll,GetLocaleInfoA,0x42d138
KERNEL32.dll,SetStdHandle,0x42d13c
KERNEL32.dll,WriteConsoleA,0x42d140
KERNEL32.dll,WriteConsoleW,0x42d144
KERNEL32.dll,CreateFileA,0x42d148
KERNEL32.dll,SetEnvironmentVariableA,0x42d14c
KERNEL32.dll,GetFullPathNameW,0x42d150
KERNEL32.dll,GetVolumeInformationW,0x42d154
KERNEL32.dll,FindFirstFileW,0x42d158
KERNEL32.dll,FindClose,0x42d15c
KERNEL32.dll,GetCurrentProcess,0x42d160
KERNEL32.dll,DuplicateHandle,0x42d164
KERNEL32.dll,GetFileSize,0x42d168
KERNEL32.dll,SetEndOfFile,0x42d16c
KERNEL32.dll,UnlockFile,0x42d170
KERNEL32.dll,LockFile,0x42d174
KERNEL32.dll,WritePrivateProfileStringW,0x42d178
KERNEL32.dll,GetModuleHandleA,0x42d17c
KERNEL32.dll,GlobalFlags,0x42d180
KERNEL32.dll,TlsFree,0x42d184
KERNEL32.dll,DeleteCriticalSection,0x42d188
KERNEL32.dll,LocalReAlloc,0x42d18c
KERNEL32.dll,TlsSetValue,0x42d190
KERNEL32.dll,TlsAlloc,0x42d194
KERNEL32.dll,InitializeCriticalSection,0x42d198
KERNEL32.dll,GlobalHandle,0x42d19c
KERNEL32.dll,GlobalReAlloc,0x42d1a0
KERNEL32.dll,EnterCriticalSection,0x42d1a4
KERNEL32.dll,TlsGetValue,0x42d1a8
KERNEL32.dll,LeaveCriticalSection,0x42d1ac
KERNEL32.dll,LocalAlloc,0x42d1b0
KERNEL32.dll,FileTimeToSystemTime,0x42d1b4
KERNEL32.dll,GetCurrentProcessId,0x42d1b8
KERNEL32.dll,SetErrorMode,0x42d1bc
KERNEL32.dll,GetCurrentThread,0x42d1c0
KERNEL32.dll,ConvertDefaultLocale,0x42d1c4
KERNEL32.dll,EnumResourceLanguagesW,0x42d1c8
KERNEL32.dll,GetLocaleInfoW,0x42d1cc
KERNEL32.dll,LoadLibraryExW,0x42d1d0
KERNEL32.dll,CompareStringA,0x42d1d4
KERNEL32.dll,InterlockedExchange,0x42d1d8
KERNEL32.dll,InterlockedDecrement,0x42d1dc
KERNEL32.dll,InterlockedIncrement,0x42d1e0
KERNEL32.dll,lstrlenA,0x42d1e4
KERNEL32.dll,lstrcmpA,0x42d1e8
KERNEL32.dll,GetCurrentThreadId,0x42d1ec
KERNEL32.dll,GlobalAddAtomW,0x42d1f0
KERNEL32.dll,GlobalFindAtomW,0x42d1f4
KERNEL32.dll,GlobalDeleteAtom,0x42d1f8
KERNEL32.dll,LoadLibraryW,0x42d1fc
KERNEL32.dll,CompareStringW,0x42d200
KERNEL32.dll,LoadLibraryA,0x42d204
KERNEL32.dll,FreeLibrary,0x42d208
KERNEL32.dll,lstrcmpW,0x42d20c
KERNEL32.dll,GetProcAddress,0x42d210
KERNEL32.dll,GetVersionExA,0x42d214
KERNEL32.dll,SetLastError,0x42d218
KERNEL32.dll,GlobalFree,0x42d21c
KERNEL32.dll,GlobalAlloc,0x42d220
KERNEL32.dll,GlobalLock,0x42d224
KERNEL32.dll,GlobalUnlock,0x42d228
KERNEL32.dll,lstrlenW,0x42d22c
KERNEL32.dll,SetFilePointer,0x42d230
KERNEL32.dll,ReadFile,0x42d234
KERNEL32.dll,WriteFile,0x42d238
KERNEL32.dll,SetConsoleOutputCP,0x42d23c
KERNEL32.dll,GetConsoleOutputCP,0x42d240
KERNEL32.dll,WideCharToMultiByte,0x42d244
KERNEL32.dll,GetFileType,0x42d248
KERNEL32.dll,FlushFileBuffers,0x42d24c
KERNEL32.dll,ExpandEnvironmentStringsW,0x42d250
KERNEL32.dll,CloseHandle,0x42d254
KERNEL32.dll,GetExitCodeProcess,0x42d258
KERNEL32.dll,WaitForSingleObject,0x42d25c
KERNEL32.dll,GetModuleFileNameW,0x42d260
KERNEL32.dll,ExitProcess,0x42d264
KERNEL32.dll,LocalFree,0x42d268
KERNEL32.dll,GetLastError,0x42d26c
KERNEL32.dll,FormatMessageW,0x42d270
KERNEL32.dll,GetStdHandle,0x42d274
KERNEL32.dll,CreateThread,0x42d278
KERNEL32.dll,Sleep,0x42d27c
KERNEL32.dll,GetModuleHandleW,0x42d280
KERNEL32.dll,GetCommandLineW,0x42d284
KERNEL32.dll,MultiByteToWideChar,0x42d288
KERNEL32.dll,FindResourceW,0x42d28c
KERNEL32.dll,LoadResource,0x42d290
KERNEL32.dll,LockResource,0x42d294
KERNEL32.dll,GetEnvironmentStringsW,0x42d298
KERNEL32.dll,SizeofResource,0x42d29c
USER32.dll,CharUpperW,0x42d2e8
USER32.dll,SetCursor,0x42d2ec
USER32.dll,GrayStringW,0x42d2f0
USER32.dll,DrawTextExW,0x42d2f4
USER32.dll,DrawTextW,0x42d2f8
USER32.dll,TabbedTextOutW,0x42d2fc
USER32.dll,ClientToScreen,0x42d300
USER32.dll,DestroyMenu,0x42d304
USER32.dll,ShowWindow,0x42d308
USER32.dll,SetWindowTextW,0x42d30c
USER32.dll,LoadCursorW,0x42d310
USER32.dll,GetDC,0x42d314
USER32.dll,ReleaseDC,0x42d318
USER32.dll,GetSysColorBrush,0x42d31c
USER32.dll,GetWindowThreadProcessId,0x42d320
USER32.dll,IsWindowEnabled,0x42d324
USER32.dll,PostQuitMessage,0x42d328
USER32.dll,SetMenuItemBitmaps,0x42d32c
USER32.dll,GetMenuCheckMarkDimensions,0x42d330
USER32.dll,ModifyMenuW,0x42d334
USER32.dll,EnableMenuItem,0x42d338
USER32.dll,GetMessageW,0x42d33c
USER32.dll,GetCursorPos,0x42d340
USER32.dll,ValidateRect,0x42d344
USER32.dll,RegisterWindowMessageW,0x42d348
USER32.dll,LoadIconW,0x42d34c
USER32.dll,WinHelpW,0x42d350
USER32.dll,GetCapture,0x42d354
USER32.dll,SetWindowsHookExW,0x42d358
USER32.dll,CallNextHookEx,0x42d35c
USER32.dll,GetClassLongW,0x42d360
USER32.dll,GetClassNameW,0x42d364
USER32.dll,SetPropW,0x42d368
USER32.dll,GetPropW,0x42d36c
USER32.dll,RemovePropW,0x42d370
USER32.dll,GetFocus,0x42d374
USER32.dll,IsWindow,0x42d378
