dll,name,address
KERNEL32.dll,InterlockedExchange,0x10016014
KERNEL32.dll,GetProcAddress,0x10016018
KERNEL32.dll,CloseHandle,0x1001601c
KERNEL32.dll,CreateThread,0x10016020
KERNEL32.dll,GetModuleHandleA,0x10016024
KERNEL32.dll,GetTickCount,0x10016028
KERNEL32.dll,GetLastError,0x1001602c
KERNEL32.dll,GetTempFileNameW,0x10016030
KERNEL32.dll,GetFileSize,0x10016034
KERNEL32.dll,CreateDirectoryW,0x10016038
KERNEL32.dll,WriteFile,0x1001603c
KERNEL32.dll,ReadFile,0x10016040
KERNEL32.dll,GetModuleFileNameW,0x10016044
KERNEL32.dll,CreateFileW,0x10016048
KERNEL32.dll,DeleteFileW,0x1001604c
KERNEL32.dll,GetSystemDirectoryW,0x10016050
KERNEL32.dll,LoadLibraryW,0x10016054
KERNEL32.dll,MultiByteToWideChar,0x10016058
KERNEL32.dll,LoadLibraryA,0x1001605c
KERNEL32.dll,ExpandEnvironmentStringsW,0x10016060
KERNEL32.dll,WriteConsoleW,0x10016064
KERNEL32.dll,SetStdHandle,0x10016068
KERNEL32.dll,HeapReAlloc,0x1001606c
KERNEL32.dll,GetConsoleMode,0x10016070
KERNEL32.dll,GetConsoleCP,0x10016074
KERNEL32.dll,SetFilePointer,0x10016078
KERNEL32.dll,GetStringTypeW,0x1001607c
KERNEL32.dll,LCMapStringW,0x10016080
KERNEL32.dll,RtlUnwind,0x10016084
KERNEL32.dll,GetModuleHandleW,0x10016088
KERNEL32.dll,FreeLibrary,0x1001608c
KERNEL32.dll,Sleep,0x10016090
KERNEL32.dll,GetVolumeInformationW,0x10016094
KERNEL32.dll,SetErrorMode,0x10016098
KERNEL32.dll,EnterCriticalSection,0x1001609c
KERNEL32.dll,LeaveCriticalSection,0x100160a0
KERNEL32.dll,HeapSize,0x100160a4
KERNEL32.dll,GetCurrentProcessId,0x100160a8
KERNEL32.dll,DecodePointer,0x100160ac
KERNEL32.dll,EncodePointer,0x100160b0
KERNEL32.dll,GetSystemTimeAsFileTime,0x100160b4
KERNEL32.dll,HeapFree,0x100160b8
KERNEL32.dll,HeapAlloc,0x100160bc
KERNEL32.dll,GetCurrentThreadId,0x100160c0
KERNEL32.dll,GetCommandLineA,0x100160c4
KERNEL32.dll,TerminateProcess,0x100160c8
KERNEL32.dll,GetCurrentProcess,0x100160cc
KERNEL32.dll,UnhandledExceptionFilter,0x100160d0
KERNEL32.dll,SetUnhandledExceptionFilter,0x100160d4
KERNEL32.dll,IsDebuggerPresent,0x100160d8
KERNEL32.dll,RaiseException,0x100160dc
KERNEL32.dll,GetStdHandle,0x100160e0
KERNEL32.dll,GetCPInfo,0x100160e4
KERNEL32.dll,InterlockedIncrement,0x100160e8
KERNEL32.dll,InterlockedDecrement,0x100160ec
KERNEL32.dll,GetACP,0x100160f0
KERNEL32.dll,GetOEMCP,0x100160f4
KERNEL32.dll,IsValidCodePage,0x100160f8
KERNEL32.dll,TlsAlloc,0x100160fc
KERNEL32.dll,TlsGetValue,0x10016100
KERNEL32.dll,TlsSetValue,0x10016104
KERNEL32.dll,TlsFree,0x10016108
KERNEL32.dll,SetLastError,0x1001610c
KERNEL32.dll,IsProcessorFeaturePresent,0x10016110
KERNEL32.dll,HeapCreate,0x10016114
KERNEL32.dll,HeapDestroy,0x10016118
KERNEL32.dll,ExitProcess,0x1001611c
KERNEL32.dll,SetHandleCount,0x10016120
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x10016124
KERNEL32.dll,GetFileType,0x10016128
KERNEL32.dll,GetStartupInfoW,0x1001612c
KERNEL32.dll,DeleteCriticalSection,0x10016130
KERNEL32.dll,GetModuleFileNameA,0x10016134
KERNEL32.dll,FreeEnvironmentStringsW,0x10016138
KERNEL32.dll,WideCharToMultiByte,0x1001613c
KERNEL32.dll,GetEnvironmentStringsW,0x10016140
KERNEL32.dll,QueryPerformanceCounter,0x10016144
KERNEL32.dll,FlushFileBuffers,0x10016148
USER32.dll,DefWindowProcW,0x10016158
USER32.dll,DispatchMessageW,0x1001615c
USER32.dll,wsprintfW,0x10016160
USER32.dll,DestroyWindow,0x10016164
USER32.dll,PostMessageW,0x10016168
USER32.dll,TranslateMessage,0x1001616c
USER32.dll,GetWindowLongW,0x10016170
USER32.dll,PeekMessageW,0x10016174
USER32.dll,SetWindowLongW,0x10016178
USER32.dll,SetWindowPos,0x1001617c
USER32.dll,CreateWindowExW,0x10016180
USER32.dll,RegisterClassW,0x10016184
ADVAPI32.dll,RegCloseKey,0x10016000
ADVAPI32.dll,RegOpenKeyExW,0x10016004
ADVAPI32.dll,RegQueryValueExW,0x10016008
ADVAPI32.dll,RegSetValueExW,0x1001600c
SHELL32.dll,SHGetFolderPathW,0x10016150
ole32.dll,CoUninitialize,0x1001618c
ole32.dll,CoInitialize,0x10016190
ole32.dll,CoCreateInstance,0x10016194
