dll,name,address
WS2_32.dll,closesocket,0x1008c000
SHLWAPI.dll,StrCmpNIA,0x1008c008
PSAPI.DLL,GetModuleFileNameExA,0x1008c010
WINMM.dll,waveInPrepareHeader,0x1008c018
WININET.dll,HttpQueryInfoA,0x1008c020
WTSAPI32.dll,WTSQueryUserToken,0x1008c028
USERENV.dll,CreateEnvironmentBlock,0x1008c030
KERNEL32.dll,GetVersionExA,0x1008c038
KERNEL32.dll,InterlockedExchange,0x1008c03c
USER32.dll,UpdateWindow,0x1008c044
GDI32.dll,DeleteObject,0x1008c04c
ADVAPI32.dll,ImpersonateSelf,0x1008c054
SHELL32.dll,ShellExecuteA,0x1008c05c
ole32.dll,CoCreateGuid,0x1008c064
DNSAPI.dll,DnsFree,0x1008c06c
imagehlp.dll,MakeSureDirectoryPathExists,0x1008c074
KERNEL32.dll,GetModuleFileNameW,0x1008c07c
KERNEL32.dll,GetModuleHandleA,0x1008c084
KERNEL32.dll,LoadLibraryA,0x1008c088
KERNEL32.dll,LocalAlloc,0x1008c08c
KERNEL32.dll,LocalFree,0x1008c090
KERNEL32.dll,GetModuleFileNameA,0x1008c094
KERNEL32.dll,ExitProcess,0x1008c098
