dll,name,address
KERNEL32.dll,TlsGetValue,0x4a8000
USER32.dll,wsprintfA,0x4a8008
ADVAPI32.dll,CloseServiceHandle,0x4a8010
SHELL32.dll,SHGetFolderPathA,0x4a8018
imagehlp.dll,MakeSureDirectoryPathExists,0x4a8020
VERSION.dll,GetFileVersionInfoSizeA,0x4a8028
KERNEL32.dll,GetModuleFileNameW,0x4a8030
KERNEL32.dll,GetModuleHandleA,0x4a8038
KERNEL32.dll,LoadLibraryA,0x4a803c
KERNEL32.dll,LocalAlloc,0x4a8040
KERNEL32.dll,LocalFree,0x4a8044
KERNEL32.dll,GetModuleFileNameA,0x4a8048
KERNEL32.dll,ExitProcess,0x4a804c
