dll,name,address
KERNEL32.dll,Sleep,0x403030
KERNEL32.dll,SetFilePointer,0x403034
KERNEL32.dll,GetTempPathA,0x403038
KERNEL32.dll,DeleteFileA,0x40303c
KERNEL32.dll,GetTempFileNameA,0x403040
KERNEL32.dll,LoadLibraryA,0x403044
KERNEL32.dll,GetProcAddress,0x403048
KERNEL32.dll,FreeLibrary,0x40304c
KERNEL32.dll,CreateFileA,0x403050
KERNEL32.dll,ReadFile,0x403054
KERNEL32.dll,WriteFile,0x403058
KERNEL32.dll,CloseHandle,0x40305c
KERNEL32.dll,GetModuleFileNameA,0x403060
KERNEL32.dll,CreateProcessA,0x403064
KERNEL32.dll,GetModuleHandleA,0x403068
KERNEL32.dll,GetStartupInfoA,0x40306c
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x403000
ADVAPI32.dll,SetServiceStatus,0x403004
ADVAPI32.dll,CreateServiceA,0x403008
ADVAPI32.dll,RegOpenKeyExA,0x40300c
ADVAPI32.dll,RegSetValueExA,0x403010
ADVAPI32.dll,StartServiceA,0x403014
ADVAPI32.dll,RegCloseKey,0x403018
ADVAPI32.dll,OpenSCManagerA,0x40301c
ADVAPI32.dll,OpenServiceA,0x403020
ADVAPI32.dll,CloseServiceHandle,0x403024
ADVAPI32.dll,StartServiceCtrlDispatcherA,0x403028
MFC42.DLL,,0x403074
MFC42.DLL,,0x403078
MSVCRT.dll,__dllonexit,0x403094
MSVCRT.dll,_onexit,0x403098
MSVCRT.dll,_exit,0x40309c
MSVCRT.dll,_XcptFilter,0x4030a0
MSVCRT.dll,exit,0x4030a4
MSVCRT.dll,_acmdln,0x4030a8
MSVCRT.dll,__getmainargs,0x4030ac
MSVCRT.dll,strchr,0x4030b0
MSVCRT.dll,__setusermatherr,0x4030b4
MSVCRT.dll,_adjust_fdiv,0x4030b8
MSVCRT.dll,__p__commode,0x4030bc
MSVCRT.dll,__p__fmode,0x4030c0
MSVCRT.dll,__set_app_type,0x4030c4
MSVCRT.dll,_except_handler3,0x4030c8
MSVCRT.dll,_controlfp,0x4030cc
MSVCRT.dll,atoi,0x4030d0
MSVCRT.dll,strncpy,0x4030d4
MSVCRT.dll,_initterm,0x4030d8
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x403080
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x403084
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x403088
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x40308c
