dll,name,address
KERNEL32.dll,GetVersionExA,0x180188000
KERNEL32.dll,GetVersion,0x180188008
KERNEL32.dll,WriteFile,0x180188010
USER32.dll,OpenWindowStationA,0x180188020
GDI32.dll,CreateBitmap,0x180188030
ADVAPI32.dll,SetSecurityDescriptorDacl,0x180188040
SHELL32.dll,CommandLineToArgvW,0x180188050
ole32.dll,CoInitialize,0x180188060
WS2_32.dll,accept,0x180188070
SHLWAPI.dll,PathFileExistsA,0x180188080
DNSAPI.dll,DnsFlushResolverCache,0x180188090
Secur32.dll,LsaGetLogonSessionData,0x1801880a0
PSAPI.DLL,GetModuleBaseNameA,0x1801880b0
NETAPI32.dll,NetUserDel,0x1801880c0
WTSAPI32.dll,WTSFreeMemory,0x1801880d0
USERENV.dll,CreateEnvironmentBlock,0x1801880e0
VERSION.dll,VerQueryValueA,0x1801880f0
KERNEL32.dll,GetModuleFileNameW,0x180188100
KERNEL32.dll,GetModuleHandleA,0x180188110
KERNEL32.dll,LoadLibraryA,0x180188118
KERNEL32.dll,LocalAlloc,0x180188120
KERNEL32.dll,LocalFree,0x180188128
KERNEL32.dll,GetModuleFileNameA,0x180188130
KERNEL32.dll,ExitProcess,0x180188138
