dll,name,address
kernel32.dll,DeleteCriticalSection,0x46912c
kernel32.dll,LeaveCriticalSection,0x469130
kernel32.dll,EnterCriticalSection,0x469134
kernel32.dll,InitializeCriticalSection,0x469138
kernel32.dll,VirtualFree,0x46913c
kernel32.dll,VirtualAlloc,0x469140
kernel32.dll,LocalFree,0x469144
kernel32.dll,LocalAlloc,0x469148
kernel32.dll,GetVersion,0x46914c
kernel32.dll,GetCurrentThreadId,0x469150
kernel32.dll,InterlockedDecrement,0x469154
kernel32.dll,InterlockedIncrement,0x469158
kernel32.dll,VirtualQuery,0x46915c
kernel32.dll,WideCharToMultiByte,0x469160
kernel32.dll,MultiByteToWideChar,0x469164
kernel32.dll,lstrlenA,0x469168
kernel32.dll,lstrcpynA,0x46916c
kernel32.dll,LoadLibraryExA,0x469170
kernel32.dll,GetThreadLocale,0x469174
kernel32.dll,GetStartupInfoA,0x469178
kernel32.dll,GetProcAddress,0x46917c
kernel32.dll,GetModuleHandleA,0x469180
kernel32.dll,GetModuleFileNameA,0x469184
kernel32.dll,GetLocaleInfoA,0x469188
kernel32.dll,GetCommandLineA,0x46918c
kernel32.dll,FreeLibrary,0x469190
kernel32.dll,FindFirstFileA,0x469194
kernel32.dll,FindClose,0x469198
kernel32.dll,ExitProcess,0x46919c
kernel32.dll,ExitThread,0x4691a0
kernel32.dll,CreateThread,0x4691a4
kernel32.dll,WriteFile,0x4691a8
kernel32.dll,UnhandledExceptionFilter,0x4691ac
kernel32.dll,RtlUnwind,0x4691b0
kernel32.dll,RaiseException,0x4691b4
kernel32.dll,GetStdHandle,0x4691b8
user32.dll,GetKeyboardType,0x4691c0
user32.dll,LoadStringA,0x4691c4
user32.dll,MessageBoxA,0x4691c8
user32.dll,CharNextA,0x4691cc
advapi32.dll,RegQueryValueExA,0x4691d4
advapi32.dll,RegOpenKeyExA,0x4691d8
advapi32.dll,RegCloseKey,0x4691dc
oleaut32.dll,SysFreeString,0x4691e4
oleaut32.dll,SysReAllocStringLen,0x4691e8
oleaut32.dll,SysAllocStringLen,0x4691ec
kernel32.dll,TlsSetValue,0x4691f4
kernel32.dll,TlsGetValue,0x4691f8
kernel32.dll,LocalAlloc,0x4691fc
kernel32.dll,GetModuleHandleA,0x469200
advapi32.dll,RegQueryValueExA,0x469208
advapi32.dll,RegOpenKeyExA,0x46920c
advapi32.dll,RegCloseKey,0x469210
kernel32.dll,lstrcpyA,0x469218
kernel32.dll,WriteFile,0x46921c
kernel32.dll,WaitForSingleObject,0x469220
kernel32.dll,VirtualQuery,0x469224
kernel32.dll,VirtualProtectEx,0x469228
kernel32.dll,VirtualAlloc,0x46922c
kernel32.dll,SleepEx,0x469230
kernel32.dll,Sleep,0x469234
kernel32.dll,SizeofResource,0x469238
kernel32.dll,SetThreadLocale,0x46923c
kernel32.dll,SetFilePointer,0x469240
kernel32.dll,SetEvent,0x469244
kernel32.dll,SetErrorMode,0x469248
kernel32.dll,SetEndOfFile,0x46924c
kernel32.dll,ResumeThread,0x469250
kernel32.dll,ResetEvent,0x469254
kernel32.dll,ReadFile,0x469258
kernel32.dll,MulDiv,0x46925c
kernel32.dll,LockResource,0x469260
kernel32.dll,LoadResource,0x469264
kernel32.dll,LoadLibraryA,0x469268
kernel32.dll,LeaveCriticalSection,0x46926c
kernel32.dll,InitializeCriticalSection,0x469270
kernel32.dll,GlobalUnlock,0x469274
kernel32.dll,GlobalReAlloc,0x469278
kernel32.dll,GlobalHandle,0x46927c
kernel32.dll,GlobalLock,0x469280
kernel32.dll,GlobalFree,0x469284
kernel32.dll,GlobalFindAtomA,0x469288
kernel32.dll,GlobalDeleteAtom,0x46928c
kernel32.dll,GlobalAlloc,0x469290
kernel32.dll,GlobalAddAtomA,0x469294
kernel32.dll,GetVersionExA,0x469298
kernel32.dll,GetVersion,0x46929c
kernel32.dll,GetTickCount,0x4692a0
kernel32.dll,GetThreadLocale,0x4692a4
kernel32.dll,GetTempPathA,0x4692a8
kernel32.dll,GetSystemInfo,0x4692ac
kernel32.dll,GetStringTypeExA,0x4692b0
kernel32.dll,GetStdHandle,0x4692b4
kernel32.dll,GetProcAddress,0x4692b8
kernel32.dll,GetModuleHandleA,0x4692bc
kernel32.dll,GetModuleFileNameA,0x4692c0
kernel32.dll,GetLocaleInfoA,0x4692c4
kernel32.dll,GetLocalTime,0x4692c8
kernel32.dll,GetLastError,0x4692cc
kernel32.dll,GetFullPathNameA,0x4692d0
kernel32.dll,GetFileSize,0x4692d4
kernel32.dll,GetExitCodeThread,0x4692d8
kernel32.dll,GetDiskFreeSpaceA,0x4692dc
kernel32.dll,GetDateFormatA,0x4692e0
kernel32.dll,GetCurrentThreadId,0x4692e4
kernel32.dll,GetCurrentProcessId,0x4692e8
kernel32.dll,GetCPInfo,0x4692ec
kernel32.dll,GetACP,0x4692f0
kernel32.dll,FreeResource,0x4692f4
kernel32.dll,InterlockedIncrement,0x4692f8
kernel32.dll,InterlockedExchange,0x4692fc
kernel32.dll,InterlockedDecrement,0x469300
kernel32.dll,FreeLibrary,0x469304
kernel32.dll,FormatMessageA,0x469308
kernel32.dll,FindResourceA,0x46930c
kernel32.dll,EnumCalendarInfoA,0x469310
kernel32.dll,EnterCriticalSection,0x469314
kernel32.dll,DeleteCriticalSection,0x469318
kernel32.dll,CreateThread,0x46931c
kernel32.dll,CreateFileA,0x469320
kernel32.dll,CreateEventA,0x469324
kernel32.dll,CompareStringA,0x469328
kernel32.dll,CloseHandle,0x46932c
version.dll,VerQueryValueA,0x469334
version.dll,GetFileVersionInfoSizeA,0x469338
version.dll,GetFileVersionInfoA,0x46933c
gdi32.dll,UnrealizeObject,0x469344
gdi32.dll,StretchBlt,0x469348
gdi32.dll,SetWindowOrgEx,0x46934c
gdi32.dll,SetViewportOrgEx,0x469350
gdi32.dll,SetTextColor,0x469354
gdi32.dll,SetStretchBltMode,0x469358
gdi32.dll,SetROP2,0x46935c
gdi32.dll,SetPixel,0x469360
gdi32.dll,SetDIBColorTable,0x469364
gdi32.dll,SetBrushOrgEx,0x469368
gdi32.dll,SetBkMode,0x46936c
gdi32.dll,SetBkColor,0x469370
gdi32.dll,SelectPalette,0x469374
gdi32.dll,SelectObject,0x469378
gdi32.dll,SelectClipRgn,0x46937c
gdi32.dll,SaveDC,0x469380
gdi32.dll,RestoreDC,0x469384
gdi32.dll,RectVisible,0x469388
gdi32.dll,RealizePalette,0x46938c
gdi32.dll,Polyline,0x469390
gdi32.dll,PatBlt,0x469394
gdi32.dll,MoveToEx,0x469398
gdi32.dll,MaskBlt,0x46939c
gdi32.dll,LineTo,0x4693a0
gdi32.dll,IntersectClipRect,0x4693a4
gdi32.dll,GetWindowOrgEx,0x4693a8
gdi32.dll,GetTextMetricsA,0x4693ac
gdi32.dll,GetTextExtentPoint32A,0x4693b0
gdi32.dll,GetSystemPaletteEntries,0x4693b4
gdi32.dll,GetStockObject,0x4693b8
gdi32.dll,GetPixel,0x4693bc
gdi32.dll,GetPaletteEntries,0x4693c0
gdi32.dll,GetObjectA,0x4693c4
gdi32.dll,GetDeviceCaps,0x4693c8
gdi32.dll,GetDIBits,0x4693cc
gdi32.dll,GetDIBColorTable,0x4693d0
gdi32.dll,GetDCOrgEx,0x4693d4
gdi32.dll,GetCurrentPositionEx,0x4693d8
gdi32.dll,GetClipBox,0x4693dc
gdi32.dll,GetBrushOrgEx,0x4693e0
gdi32.dll,GetBitmapBits,0x4693e4
gdi32.dll,ExtTextOutA,0x4693e8
gdi32.dll,ExcludeClipRect,0x4693ec
gdi32.dll,DeleteObject,0x4693f0
gdi32.dll,DeleteDC,0x4693f4
gdi32.dll,CreateSolidBrush,0x4693f8
gdi32.dll,CreatePenIndirect,0x4693fc
gdi32.dll,CreatePalette,0x469400
gdi32.dll,CreateHalftonePalette,0x469404
gdi32.dll,CreateFontIndirectA,0x469408
gdi32.dll,CreateDIBitmap,0x46940c
gdi32.dll,CreateDIBSection,0x469410
gdi32.dll,CreateCompatibleDC,0x469414
gdi32.dll,CreateCompatibleBitmap,0x469418
gdi32.dll,CreateBrushIndirect,0x46941c
gdi32.dll,CreateBitmap,0x469420
gdi32.dll,BitBlt,0x469424
user32.dll,CreateWindowExA,0x46942c
user32.dll,WindowFromPoint,0x469430
user32.dll,WinHelpA,0x469434
user32.dll,WaitMessage,0x469438
user32.dll,UpdateWindow,0x46943c
user32.dll,UnregisterClassA,0x469440
user32.dll,UnhookWindowsHookEx,0x469444
user32.dll,TranslateMessage,0x469448
user32.dll,TranslateMDISysAccel,0x46944c
user32.dll,TrackPopupMenu,0x469450
user32.dll,SystemParametersInfoA,0x469454
user32.dll,ShowWindow,0x469458
user32.dll,ShowScrollBar,0x46945c
user32.dll,ShowOwnedPopups,0x469460
user32.dll,ShowCursor,0x469464
user32.dll,SetWindowsHookExA,0x469468
user32.dll,SetWindowTextA,0x46946c
user32.dll,SetWindowPos,0x469470
user32.dll,SetWindowPlacement,0x469474
user32.dll,SetWindowLongA,0x469478
user32.dll,SetTimer,0x46947c
user32.dll,SetScrollRange,0x469480
user32.dll,SetScrollPos,0x469484
user32.dll,SetScrollInfo,0x469488
user32.dll,SetRect,0x46948c
user32.dll,SetPropA,0x469490
user32.dll,SetParent,0x469494
user32.dll,SetMenuItemInfoA,0x469498
user32.dll,SetMenu,0x46949c
user32.dll,SetForegroundWindow,0x4694a0
user32.dll,SetFocus,0x4694a4
user32.dll,SetCursor,0x4694a8
user32.dll,SetClassLongA,0x4694ac
user32.dll,SetCapture,0x4694b0
user32.dll,SetActiveWindow,0x4694b4
user32.dll,SendMessageA,0x4694b8
user32.dll,ScrollWindow,0x4694bc
user32.dll,ScreenToClient,0x4694c0
user32.dll,RemovePropA,0x4694c4
user32.dll,RemoveMenu,0x4694c8
user32.dll,ReleaseDC,0x4694cc
user32.dll,ReleaseCapture,0x4694d0
user32.dll,RegisterWindowMessageA,0x4694d4
user32.dll,RegisterClipboardFormatA,0x4694d8
user32.dll,RegisterClassA,0x4694dc
user32.dll,RedrawWindow,0x4694e0
user32.dll,PtInRect,0x4694e4
user32.dll,PostQuitMessage,0x4694e8
user32.dll,PostMessageA,0x4694ec
user32.dll,PeekMessageA,0x4694f0
user32.dll,OffsetRect,0x4694f4
user32.dll,OemToCharA,0x4694f8
user32.dll,MsgWaitForMultipleObjects,0x4694fc
user32.dll,MessageBoxA,0x469500
user32.dll,MapWindowPoints,0x469504
user32.dll,MapVirtualKeyA,0x469508
user32.dll,LoadStringA,0x46950c
user32.dll,LoadKeyboardLayoutA,0x469510
user32.dll,LoadIconA,0x469514
user32.dll,LoadCursorA,0x469518
user32.dll,LoadBitmapA,0x46951c
user32.dll,KillTimer,0x469520
user32.dll,IsZoomed,0x469524
user32.dll,IsWindowVisible,0x469528
user32.dll,IsWindowEnabled,0x46952c
user32.dll,IsWindow,0x469530
user32.dll,IsRectEmpty,0x469534
user32.dll,IsIconic,0x469538
user32.dll,IsDialogMessageA,0x46953c
user32.dll,IsChild,0x469540
user32.dll,InvalidateRect,0x469544
user32.dll,IntersectRect,0x469548
user32.dll,InsertMenuItemA,0x46954c
user32.dll,InsertMenuA,0x469550
user32.dll,InflateRect,0x469554
user32.dll,GetWindowThreadProcessId,0x469558
user32.dll,GetWindowTextA,0x46955c
user32.dll,GetWindowRect,0x469560
user32.dll,GetWindowPlacement,0x469564
user32.dll,GetWindowLongA,0x469568
user32.dll,GetWindowDC,0x46956c
user32.dll,GetTopWindow,0x469570
user32.dll,GetSystemMetrics,0x469574
user32.dll,GetSystemMenu,0x469578
user32.dll,GetSysColorBrush,0x46957c
user32.dll,GetSysColor,0x469580
user32.dll,GetSubMenu,0x469584
user32.dll,GetScrollRange,0x469588
user32.dll,GetScrollPos,0x46958c
user32.dll,GetScrollInfo,0x469590
user32.dll,GetPropA,0x469594
user32.dll,GetParent,0x469598
user32.dll,GetWindow,0x46959c
user32.dll,GetMenuStringA,0x4695a0
user32.dll,GetMenuState,0x4695a4
user32.dll,GetMenuItemInfoA,0x4695a8
user32.dll,GetMenuItemID,0x4695ac
user32.dll,GetMenuItemCount,0x4695b0
user32.dll,GetMenu,0x4695b4
user32.dll,GetLastInputInfo,0x4695b8
user32.dll,GetLastActivePopup,0x4695bc
user32.dll,GetKeyboardState,0x4695c0
user32.dll,GetKeyboardLayoutList,0x4695c4
user32.dll,GetKeyboardLayout,0x4695c8
user32.dll,GetKeyState,0x4695cc
user32.dll,GetKeyNameTextA,0x4695d0
user32.dll,GetIconInfo,0x4695d4
user32.dll,GetForegroundWindow,0x4695d8
user32.dll,GetFocus,0x4695dc
user32.dll,GetDesktopWindow,0x4695e0
user32.dll,GetDCEx,0x4695e4
