dll,name,address
KERNEL32.dll,MultiByteToWideChar,0x18000a000
KERNEL32.dll,WideCharToMultiByte,0x18000a008
KERNEL32.dll,ExitProcess,0x18000a010
KERNEL32.dll,GetWindowsDirectoryA,0x18000a018
KERNEL32.dll,GetModuleFileNameA,0x18000a020
KERNEL32.dll,HeapAlloc,0x18000a028
KERNEL32.dll,FreeLibrary,0x18000a030
KERNEL32.dll,GetProcessHeap,0x18000a038
KERNEL32.dll,HeapFree,0x18000a040
KERNEL32.dll,VirtualFree,0x18000a048
KERNEL32.dll,VirtualProtect,0x18000a050
KERNEL32.dll,VirtualAlloc,0x18000a058
KERNEL32.dll,GetLastError,0x18000a060
KERNEL32.dll,GetCurrentProcess,0x18000a068
KERNEL32.dll,IsBadReadPtr,0x18000a070
KERNEL32.dll,Process32First,0x18000a078
KERNEL32.dll,GetCurrentProcessId,0x18000a080
KERNEL32.dll,ProcessIdToSessionId,0x18000a088
KERNEL32.dll,SetFilePointer,0x18000a090
KERNEL32.dll,Sleep,0x18000a098
KERNEL32.dll,Process32Next,0x18000a0a0
KERNEL32.dll,HeapReAlloc,0x18000a0a8
KERNEL32.dll,GetCurrentThreadId,0x18000a0b0
KERNEL32.dll,FlsSetValue,0x18000a0b8
KERNEL32.dll,GetCommandLineA,0x18000a0c0
KERNEL32.dll,RtlUnwindEx,0x18000a0c8
KERNEL32.dll,RtlLookupFunctionEntry,0x18000a0d0
KERNEL32.dll,TerminateProcess,0x18000a0d8
KERNEL32.dll,UnhandledExceptionFilter,0x18000a0e0
KERNEL32.dll,SetUnhandledExceptionFilter,0x18000a0e8
KERNEL32.dll,IsDebuggerPresent,0x18000a0f0
KERNEL32.dll,RtlVirtualUnwind,0x18000a0f8
KERNEL32.dll,RtlCaptureContext,0x18000a100
KERNEL32.dll,EncodePointer,0x18000a108
KERNEL32.dll,DecodePointer,0x18000a110
KERNEL32.dll,HeapSetInformation,0x18000a118
KERNEL32.dll,GetVersion,0x18000a120
KERNEL32.dll,HeapCreate,0x18000a128
KERNEL32.dll,HeapDestroy,0x18000a130
KERNEL32.dll,FlsGetValue,0x18000a138
KERNEL32.dll,FlsFree,0x18000a140
KERNEL32.dll,FlsAlloc,0x18000a148
KERNEL32.dll,GetModuleHandleW,0x18000a150
KERNEL32.dll,SetHandleCount,0x18000a158
KERNEL32.dll,GetStdHandle,0x18000a160
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x18000a168
KERNEL32.dll,GetFileType,0x18000a170
KERNEL32.dll,GetStartupInfoW,0x18000a178
KERNEL32.dll,DeleteCriticalSection,0x18000a180
KERNEL32.dll,FreeEnvironmentStringsW,0x18000a188
KERNEL32.dll,GetEnvironmentStringsW,0x18000a190
KERNEL32.dll,QueryPerformanceCounter,0x18000a198
KERNEL32.dll,GetTickCount,0x18000a1a0
KERNEL32.dll,GetSystemTimeAsFileTime,0x18000a1a8
KERNEL32.dll,GetCPInfo,0x18000a1b0
KERNEL32.dll,GetACP,0x18000a1b8
KERNEL32.dll,GetOEMCP,0x18000a1c0
KERNEL32.dll,IsValidCodePage,0x18000a1c8
KERNEL32.dll,LCMapStringW,0x18000a1d0
KERNEL32.dll,LeaveCriticalSection,0x18000a1d8
KERNEL32.dll,EnterCriticalSection,0x18000a1e0
KERNEL32.dll,GetModuleFileNameW,0x18000a1e8
KERNEL32.dll,LoadLibraryW,0x18000a1f0
KERNEL32.dll,GetConsoleCP,0x18000a1f8
KERNEL32.dll,GetConsoleMode,0x18000a200
KERNEL32.dll,GetStringTypeW,0x18000a208
KERNEL32.dll,HeapSize,0x18000a210
KERNEL32.dll,SetStdHandle,0x18000a218
KERNEL32.dll,WriteConsoleW,0x18000a220
KERNEL32.dll,CreateFileW,0x18000a228
KERNEL32.dll,FlushFileBuffers,0x18000a230
KERNEL32.dll,CreateToolhelp32Snapshot,0x18000a238
KERNEL32.dll,GetProcAddress,0x18000a240
KERNEL32.dll,LoadLibraryA,0x18000a248
KERNEL32.dll,WriteFile,0x18000a250
KERNEL32.dll,CloseHandle,0x18000a258
KERNEL32.dll,SetLastError,0x18000a260
