dll,name,address
kernel32.dll,DeleteCriticalSection,0x48a12c
kernel32.dll,LeaveCriticalSection,0x48a130
kernel32.dll,EnterCriticalSection,0x48a134
kernel32.dll,InitializeCriticalSection,0x48a138
kernel32.dll,VirtualFree,0x48a13c
kernel32.dll,VirtualAlloc,0x48a140
kernel32.dll,LocalFree,0x48a144
kernel32.dll,LocalAlloc,0x48a148
kernel32.dll,GetVersion,0x48a14c
kernel32.dll,GetCurrentThreadId,0x48a150
kernel32.dll,InterlockedDecrement,0x48a154
kernel32.dll,InterlockedIncrement,0x48a158
kernel32.dll,VirtualQuery,0x48a15c
kernel32.dll,WideCharToMultiByte,0x48a160
kernel32.dll,MultiByteToWideChar,0x48a164
kernel32.dll,lstrlenA,0x48a168
kernel32.dll,lstrcpynA,0x48a16c
kernel32.dll,LoadLibraryExA,0x48a170
kernel32.dll,GetThreadLocale,0x48a174
kernel32.dll,GetStartupInfoA,0x48a178
kernel32.dll,GetProcAddress,0x48a17c
kernel32.dll,GetModuleHandleA,0x48a180
kernel32.dll,GetModuleFileNameA,0x48a184
kernel32.dll,GetLocaleInfoA,0x48a188
kernel32.dll,GetCommandLineA,0x48a18c
kernel32.dll,FreeLibrary,0x48a190
kernel32.dll,FindFirstFileA,0x48a194
kernel32.dll,FindClose,0x48a198
kernel32.dll,ExitProcess,0x48a19c
kernel32.dll,ExitThread,0x48a1a0
kernel32.dll,CreateThread,0x48a1a4
kernel32.dll,WriteFile,0x48a1a8
kernel32.dll,UnhandledExceptionFilter,0x48a1ac
kernel32.dll,RtlUnwind,0x48a1b0
kernel32.dll,RaiseException,0x48a1b4
kernel32.dll,GetStdHandle,0x48a1b8
user32.dll,GetKeyboardType,0x48a1c0
user32.dll,LoadStringA,0x48a1c4
user32.dll,MessageBoxA,0x48a1c8
user32.dll,CharNextA,0x48a1cc
advapi32.dll,RegQueryValueExA,0x48a1d4
advapi32.dll,RegOpenKeyExA,0x48a1d8
advapi32.dll,RegCloseKey,0x48a1dc
oleaut32.dll,SysFreeString,0x48a1e4
oleaut32.dll,SysReAllocStringLen,0x48a1e8
