dll,name,address
KERNEL32.dll,CreateEventA,0x42001c
KERNEL32.dll,CreateProcessA,0x420020
KERNEL32.dll,TerminateProcess,0x420024
KERNEL32.dll,ReadFile,0x420028
KERNEL32.dll,GetSystemDirectoryA,0x42002c
KERNEL32.dll,MultiByteToWideChar,0x420030
KERNEL32.dll,DisconnectNamedPipe,0x420034
KERNEL32.dll,SetCurrentDirectoryA,0x420038
KERNEL32.dll,GetStartupInfoA,0x42003c
KERNEL32.dll,GetLastError,0x420040
KERNEL32.dll,CreateNamedPipeA,0x420044
KERNEL32.dll,CreatePipe,0x420048
KERNEL32.dll,GetModuleFileNameA,0x42004c
KERNEL32.dll,GetCurrentDirectoryA,0x420050
KERNEL32.dll,GetVersionExA,0x420054
KERNEL32.dll,Sleep,0x420058
KERNEL32.dll,InitializeCriticalSection,0x42005c
KERNEL32.dll,LeaveCriticalSection,0x420060
KERNEL32.dll,EnterCriticalSection,0x420064
KERNEL32.dll,DeleteCriticalSection,0x420068
KERNEL32.dll,CreateFileA,0x42006c
KERNEL32.dll,GetCurrentProcess,0x420070
KERNEL32.dll,OpenProcess,0x420074
KERNEL32.dll,WideCharToMultiByte,0x420078
KERNEL32.dll,GetProcAddress,0x42007c
KERNEL32.dll,GetModuleHandleA,0x420080
KERNEL32.dll,TerminateThread,0x420084
KERNEL32.dll,WriteFile,0x420088
KERNEL32.dll,ConnectNamedPipe,0x42008c
KERNEL32.dll,SetEvent,0x420090
KERNEL32.dll,WaitForSingleObject,0x420094
KERNEL32.dll,CloseHandle,0x420098
KERNEL32.dll,PeekNamedPipe,0x42009c
KERNEL32.dll,GetProcessHeap,0x4200a0
KERNEL32.dll,SetEndOfFile,0x4200a4
KERNEL32.dll,FlushFileBuffers,0x4200a8
KERNEL32.dll,WriteConsoleW,0x4200ac
KERNEL32.dll,GetConsoleOutputCP,0x4200b0
KERNEL32.dll,WriteConsoleA,0x4200b4
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4200b8
KERNEL32.dll,LoadLibraryA,0x4200bc
KERNEL32.dll,GetLocaleInfoA,0x4200c0
KERNEL32.dll,GetStringTypeW,0x4200c4
KERNEL32.dll,GetStringTypeA,0x4200c8
KERNEL32.dll,LCMapStringW,0x4200cc
KERNEL32.dll,LCMapStringA,0x4200d0
KERNEL32.dll,ExitThread,0x4200d4
KERNEL32.dll,GetCurrentThreadId,0x4200d8
KERNEL32.dll,CreateThread,0x4200dc
