dll,name,address
KERNEL32.dll,Sleep,0x1000400c
KERNEL32.dll,WinExec,0x10004010
KERNEL32.dll,GetEnvironmentVariableA,0x10004014
KERNEL32.dll,DeleteFileA,0x10004018
KERNEL32.dll,GetLastError,0x1000401c
KERNEL32.dll,MoveFileExA,0x10004020
KERNEL32.dll,GetWindowsDirectoryA,0x10004024
KERNEL32.dll,GetTickCount,0x10004028
KERNEL32.dll,CloseHandle,0x1000402c
KERNEL32.dll,CreateThread,0x10004030
KERNEL32.dll,GetModuleHandleA,0x10004034
KERNEL32.dll,LeaveCriticalSection,0x10004038
KERNEL32.dll,EnterCriticalSection,0x1000403c
KERNEL32.dll,InitializeCriticalSection,0x10004040
KERNEL32.dll,DeleteCriticalSection,0x10004044
KERNEL32.dll,WaitForSingleObject,0x10004048
KERNEL32.dll,FreeLibrary,0x1000404c
KERNEL32.dll,TerminateThread,0x10004050
KERNEL32.dll,GetModuleFileNameA,0x10004054
KERNEL32.dll,GetProcAddress,0x10004058
KERNEL32.dll,LoadLibraryA,0x1000405c
ADVAPI32.dll,CreateProcessAsUserA,0x10004000
ADVAPI32.dll,DuplicateTokenEx,0x10004004
WS2_32.dll,shutdown,0x100040d4
WS2_32.dll,WSAGetLastError,0x100040d8
WS2_32.dll,socket,0x100040dc
WS2_32.dll,htons,0x100040e0
WS2_32.dll,connect,0x100040e4
WS2_32.dll,select,0x100040e8
WS2_32.dll,__WSAFDIsSet,0x100040ec
WS2_32.dll,send,0x100040f0
WS2_32.dll,gethostbyname,0x100040f4
WS2_32.dll,recv,0x100040f8
WS2_32.dll,closesocket,0x100040fc
WS2_32.dll,WSAStartup,0x10004100
WS2_32.dll,WSACleanup,0x10004104
WS2_32.dll,setsockopt,0x10004108
MSVCRT.dll,_adjust_fdiv,0x10004064
MSVCRT.dll,malloc,0x10004068
MSVCRT.dll,_initterm,0x1000406c
MSVCRT.dll,free,0x10004070
MSVCRT.dll,__CxxFrameHandler,0x10004074
MSVCRT.dll,fseek,0x10004078
MSVCRT.dll,ftell,0x1000407c
MSVCRT.dll,fread,0x10004080
MSVCRT.dll,strcmp,0x10004084
MSVCRT.dll,_except_handler3,0x10004088
MSVCRT.dll,strstr,0x1000408c
MSVCRT.dll,strcspn,0x10004090
MSVCRT.dll,fclose,0x10004094
MSVCRT.dll,??3@YAXPAX@Z,0x10004098
MSVCRT.dll,??2@YAPAXI@Z,0x1000409c
MSVCRT.dll,memset,0x100040a0
MSVCRT.dll,fwrite,0x100040a4
MSVCRT.dll,fopen,0x100040a8
MSVCRT.dll,strcat,0x100040ac
MSVCRT.dll,memcpy,0x100040b0
MSVCRT.dll,sprintf,0x100040b4
MSVCRT.dll,rand,0x100040b8
MSVCRT.dll,srand,0x100040bc
MSVCRT.dll,_access,0x100040c0
MSVCRT.dll,strlen,0x100040c4
MSVCRT.dll,strcpy,0x100040c8
MSVCRT.dll,atoi,0x100040cc
WTSAPI32.dll,WTSQueryUserToken,0x10004110
