dll,name,address
ADVAPI32.DLL,RegCloseKey,0x41120c
ADVAPI32.DLL,RegEnumKeyExA,0x411210
ADVAPI32.DLL,RegOpenKeyExA,0x411214
ADVAPI32.DLL,RegQueryValueExA,0x411218
KERNEL32.dll,CloseHandle,0x411224
KERNEL32.dll,CopyFileA,0x411228
KERNEL32.dll,CreateMutexA,0x41122c
KERNEL32.dll,CreateProcessA,0x411230
KERNEL32.dll,ExitProcess,0x411234
KERNEL32.dll,FindResourceExA,0x411238
KERNEL32.dll,FormatMessageA,0x41123c
KERNEL32.dll,GetCommandLineA,0x411240
KERNEL32.dll,GetCurrentDirectoryA,0x411244
KERNEL32.dll,GetCurrentProcess,0x411248
KERNEL32.dll,GetEnvironmentVariableA,0x41124c
KERNEL32.dll,GetExitCodeProcess,0x411250
KERNEL32.dll,GetLastError,0x411254
KERNEL32.dll,GetModuleFileNameA,0x411258
KERNEL32.dll,GetModuleHandleA,0x41125c
KERNEL32.dll,GetProcAddress,0x411260
KERNEL32.dll,GetStartupInfoA,0x411264
KERNEL32.dll,GlobalMemoryStatus,0x411268
KERNEL32.dll,LoadResource,0x41126c
KERNEL32.dll,LocalFree,0x411270
KERNEL32.dll,LockResource,0x411274
KERNEL32.dll,SetEnvironmentVariableA,0x411278
KERNEL32.dll,SetLastError,0x41127c
KERNEL32.dll,SetUnhandledExceptionFilter,0x411280
KERNEL32.dll,WaitForSingleObject,0x411284
msvcrt.dll,__getmainargs,0x411290
msvcrt.dll,__p__environ,0x411294
msvcrt.dll,__p__fmode,0x411298
msvcrt.dll,__set_app_type,0x41129c
msvcrt.dll,_cexit,0x4112a0
msvcrt.dll,_chdir,0x4112a4
msvcrt.dll,_close,0x4112a8
msvcrt.dll,_findclose,0x4112ac
msvcrt.dll,_findfirst,0x4112b0
msvcrt.dll,_findnext,0x4112b4
msvcrt.dll,_iob,0x4112b8
msvcrt.dll,_itoa,0x4112bc
msvcrt.dll,_mkdir,0x4112c0
msvcrt.dll,_onexit,0x4112c4
msvcrt.dll,_open,0x4112c8
msvcrt.dll,_read,0x4112cc
msvcrt.dll,_setmode,0x4112d0
msvcrt.dll,_stat,0x4112d4
msvcrt.dll,_unlink,0x4112d8
msvcrt.dll,atexit,0x4112dc
msvcrt.dll,atoi,0x4112e0
msvcrt.dll,fclose,0x4112e4
msvcrt.dll,fopen,0x4112e8
msvcrt.dll,fprintf,0x4112ec
msvcrt.dll,fwrite,0x4112f0
msvcrt.dll,memset,0x4112f4
msvcrt.dll,printf,0x4112f8
msvcrt.dll,signal,0x4112fc
msvcrt.dll,strcat,0x411300
msvcrt.dll,strchr,0x411304
msvcrt.dll,strcmp,0x411308
msvcrt.dll,strcpy,0x41130c
msvcrt.dll,strlen,0x411310
msvcrt.dll,strncat,0x411314
msvcrt.dll,strncpy,0x411318
msvcrt.dll,strpbrk,0x41131c
msvcrt.dll,strrchr,0x411320
msvcrt.dll,strstr,0x411324
msvcrt.dll,strtok,0x411328
SHELL32.DLL,ShellExecuteA,0x411334
USER32.dll,CreateWindowExA,0x411340
USER32.dll,DispatchMessageA,0x411344
USER32.dll,EnumWindows,0x411348
USER32.dll,FindWindowExA,0x41134c
USER32.dll,GetMessageA,0x411350
USER32.dll,GetSystemMetrics,0x411354
USER32.dll,GetWindowLongA,0x411358
USER32.dll,GetWindowRect,0x41135c
USER32.dll,GetWindowTextA,0x411360
USER32.dll,GetWindowThreadProcessId,0x411364
USER32.dll,KillTimer,0x411368
USER32.dll,LoadImageA,0x41136c
USER32.dll,MessageBoxA,0x411370
USER32.dll,PostQuitMessage,0x411374
USER32.dll,SendMessageA,0x411378
USER32.dll,SetForegroundWindow,0x41137c
USER32.dll,SetTimer,0x411380
USER32.dll,SetWindowPos,0x411384
USER32.dll,ShowWindow,0x411388
USER32.dll,TranslateMessage,0x41138c
USER32.dll,UpdateWindow,0x411390
