dll,name,address
KERNEL32.DLL,LoadLibraryA,0x444444
KERNEL32.DLL,GetProcAddress,0x444448
KERNEL32.DLL,GetCommandLineA,0x44444c
KERNEL32.DLL,GetStartupInfoA,0x444450
KERNEL32.DLL,GetProcessHeap,0x444454
KERNEL32.DLL,GetLastError,0x444458
KERNEL32.DLL,GetModuleHandleA,0x44445c
KERNEL32.DLL,TlsGetValue,0x444460
KERNEL32.DLL,InterlockedIncrement,0x444464
KERNEL32.DLL,HeapAlloc,0x444468
KERNEL32.DLL,ExitProcess,0x44446c
ADVAPI32.dll,FreeSid,0x444474
CRYPT32.dll,CertOpenStore,0x44447c
ole32.dll,CoInitialize,0x444484
OLEAUT32.dll,VariantInit,0x44448c
RPCRT4.dll,UuidCreate,0x444494
Secur32.dll,GetComputerObjectNameW,0x44449c
SHELL32.dll,SHGetFolderPathW,0x4444a4
USER32.dll,wsprintfW,0x4444ac
WS2_32.dll,socket,0x4444b4
WTSAPI32.dll,WTSFreeMemory,0x4444bc
