dll,name,address
KERNEL32.DLL,LoadLibraryA,0x44d5e8
KERNEL32.DLL,GetProcAddress,0x44d5ec
KERNEL32.DLL,GetCommandLineA,0x44d5f0
KERNEL32.DLL,GetStartupInfoA,0x44d5f4
KERNEL32.DLL,GetProcessHeap,0x44d5f8
KERNEL32.DLL,GetLastError,0x44d5fc
KERNEL32.DLL,GetModuleHandleA,0x44d600
KERNEL32.DLL,TlsGetValue,0x44d604
KERNEL32.DLL,InterlockedIncrement,0x44d608
KERNEL32.DLL,HeapAlloc,0x44d60c
KERNEL32.DLL,ExitProcess,0x44d610
ADVAPI32.dll,FreeSid,0x44d618
CRYPT32.dll,CertOpenStore,0x44d620
ole32.dll,CoInitialize,0x44d628
RPCRT4.dll,UuidCreate,0x44d630
Secur32.dll,GetComputerObjectNameW,0x44d638
SHELL32.dll,SHGetFolderPathW,0x44d640
USER32.dll,wsprintfW,0x44d648
WS2_32.dll,ioctlsocket,0x44d650
WTSAPI32.dll,WTSFreeMemory,0x44d658
