dll,name,address
KERNEL32.dll,GetComputerNameA,0x100710fc
KERNEL32.dll,GetLocalTime,0x10071100
KERNEL32.dll,GlobalMemoryStatus,0x10071104
KERNEL32.dll,GetVolumeInformationA,0x10071108
KERNEL32.dll,FindVolumeClose,0x1007110c
KERNEL32.dll,Process32First,0x10071110
KERNEL32.dll,CreateToolhelp32Snapshot,0x10071114
KERNEL32.dll,GetCurrentThread,0x10071118
KERNEL32.dll,GetModuleHandleA,0x1007111c
KERNEL32.dll,GetWindowsDirectoryA,0x10071120
KERNEL32.dll,FreeLibrary,0x10071124
KERNEL32.dll,SetLastError,0x10071128
KERNEL32.dll,GetCurrentProcessId,0x1007112c
KERNEL32.dll,GetStdHandle,0x10071130
KERNEL32.dll,GetFileType,0x10071134
KERNEL32.dll,GetVersion,0x10071138
KERNEL32.dll,GetVersionExA,0x1007113c
KERNEL32.dll,VirtualAllocEx,0x10071140
KERNEL32.dll,VirtualFreeEx,0x10071144
KERNEL32.dll,TerminateProcess,0x10071148
KERNEL32.dll,OpenProcess,0x1007114c
KERNEL32.dll,Toolhelp32ReadProcessMemory,0x10071150
KERNEL32.dll,GetCurrentThreadId,0x10071154
KERNEL32.dll,lstrcpyA,0x10071158
KERNEL32.dll,GetSystemTime,0x1007115c
KERNEL32.dll,GetModuleFileNameA,0x10071160
KERNEL32.dll,GetCurrentProcess,0x10071164
KERNEL32.dll,GetTickCount,0x10071168
KERNEL32.dll,LocalAlloc,0x1007116c
KERNEL32.dll,Process32Next,0x10071170
KERNEL32.dll,LocalFree,0x10071174
KERNEL32.dll,Heap32ListNext,0x10071178
KERNEL32.dll,Heap32ListFirst,0x1007117c
KERNEL32.dll,Thread32Next,0x10071180
KERNEL32.dll,Thread32First,0x10071184
KERNEL32.dll,Module32Next,0x10071188
KERNEL32.dll,Module32First,0x1007118c
KERNEL32.dll,FlushConsoleInputBuffer,0x10071190
KERNEL32.dll,SystemTimeToFileTime,0x10071194
KERNEL32.dll,CompareFileTime,0x10071198
KERNEL32.dll,ExpandEnvironmentStringsA,0x1007119c
KERNEL32.dll,LoadLibraryA,0x100711a0
KERNEL32.dll,GetProcAddress,0x100711a4
KERNEL32.dll,ResetEvent,0x100711a8
KERNEL32.dll,MoveFileExA,0x100711ac
KERNEL32.dll,RemoveDirectoryA,0x100711b0
KERNEL32.dll,GetLastError,0x100711b4
KERNEL32.dll,GetFileAttributesExA,0x100711b8
KERNEL32.dll,SetErrorMode,0x100711bc
KERNEL32.dll,GetDriveTypeA,0x100711c0
KERNEL32.dll,GetDiskFreeSpaceExA,0x100711c4
KERNEL32.dll,CreateDirectoryA,0x100711c8
KERNEL32.dll,CreateFileA,0x100711cc
KERNEL32.dll,FindFirstFileA,0x100711d0
KERNEL32.dll,FindClose,0x100711d4
KERNEL32.dll,FindNextFileA,0x100711d8
KERNEL32.dll,SetFileAttributesA,0x100711dc
KERNEL32.dll,MoveFileA,0x100711e0
KERNEL32.dll,GetFileAttributesA,0x100711e4
KERNEL32.dll,QueryPerformanceFrequency,0x100711e8
KERNEL32.dll,QueryPerformanceCounter,0x100711ec
KERNEL32.dll,PeekNamedPipe,0x100711f0
KERNEL32.dll,ReadFile,0x100711f4
KERNEL32.dll,WriteFile,0x100711f8
KERNEL32.dll,SetEvent,0x100711fc
KERNEL32.dll,CreateEventA,0x10071200
KERNEL32.dll,WaitForSingleObject,0x10071204
KERNEL32.dll,DeleteFileA,0x10071208
KERNEL32.dll,Sleep,0x1007120c
KERNEL32.dll,CopyFileA,0x10071210
