dll,name,address
KERNEL32.dll,CreateProcessA,0x403028
KERNEL32.dll,GetModuleFileNameA,0x40302c
KERNEL32.dll,CopyFileA,0x403030
KERNEL32.dll,GetLastError,0x403034
KERNEL32.dll,OutputDebugStringA,0x403038
KERNEL32.dll,Sleep,0x40303c
KERNEL32.dll,GetComputerNameA,0x403040
KERNEL32.dll,FreeLibrary,0x403044
KERNEL32.dll,GetTempPathA,0x403048
KERNEL32.dll,DeleteFileA,0x40304c
KERNEL32.dll,LoadLibraryA,0x403050
KERNEL32.dll,GetStartupInfoA,0x403054
KERNEL32.dll,GetProcAddress,0x403058
USER32.dll,LoadStringA,0x4030e8
ADVAPI32.dll,OpenSCManagerA,0x403000
ADVAPI32.dll,CreateServiceA,0x403004
ADVAPI32.dll,OpenServiceA,0x403008
ADVAPI32.dll,CloseServiceHandle,0x40300c
ADVAPI32.dll,StartServiceA,0x403010
ADVAPI32.dll,StartServiceCtrlDispatcherA,0x403014
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x403018
ADVAPI32.dll,ControlService,0x40301c
ADVAPI32.dll,SetServiceStatus,0x403020
MSVCRT.dll,??3@YAXPAX@Z,0x403060
MSVCRT.dll,??2@YAPAXI@Z,0x403064
MSVCRT.dll,strchr,0x403068
MSVCRT.dll,strstr,0x40306c
MSVCRT.dll,strrchr,0x403070
MSVCRT.dll,fclose,0x403074
MSVCRT.dll,fflush,0x403078
MSVCRT.dll,fwrite,0x40307c
MSVCRT.dll,fopen,0x403080
MSVCRT.dll,ftell,0x403084
MSVCRT.dll,fread,0x403088
MSVCRT.dll,fseek,0x40308c
MSVCRT.dll,free,0x403090
MSVCRT.dll,malloc,0x403094
MSVCRT.dll,strncpy,0x403098
MSVCRT.dll,sprintf,0x40309c
MSVCRT.dll,atoi,0x4030a0
MSVCRT.dll,fprintf,0x4030a4
MSVCRT.dll,_iob,0x4030a8
MSVCRT.dll,_exit,0x4030ac
MSVCRT.dll,_XcptFilter,0x4030b0
MSVCRT.dll,exit,0x4030b4
MSVCRT.dll,__p___initenv,0x4030b8
MSVCRT.dll,__getmainargs,0x4030bc
MSVCRT.dll,_initterm,0x4030c0
MSVCRT.dll,__setusermatherr,0x4030c4
MSVCRT.dll,_adjust_fdiv,0x4030c8
MSVCRT.dll,__p__commode,0x4030cc
MSVCRT.dll,__p__fmode,0x4030d0
MSVCRT.dll,__set_app_type,0x4030d4
MSVCRT.dll,_except_handler3,0x4030d8
MSVCRT.dll,_controlfp,0x4030dc
MSVCRT.dll,_stricmp,0x4030e0
WININET.dll,InternetOpenA,0x4030f0
WININET.dll,InternetOpenUrlA,0x4030f4
WININET.dll,InternetCloseHandle,0x4030f8
