dll,name,address
KERNEL32.dll,CloseHandle,0x402000
KERNEL32.dll,WriteFile,0x402004
KERNEL32.dll,CreateFileA,0x402008
KERNEL32.dll,SizeofResource,0x40200c
KERNEL32.dll,LockResource,0x402010
KERNEL32.dll,LoadResource,0x402014
KERNEL32.dll,FindResourceA,0x402018
KERNEL32.dll,GetLastError,0x40201c
KERNEL32.dll,CreateDirectoryA,0x402020
KERNEL32.dll,CreateProcessA,0x402024
KERNEL32.dll,MoveFileA,0x402028
KERNEL32.dll,DeleteFileA,0x40202c
KERNEL32.dll,GetTempFileNameA,0x402030
KERNEL32.dll,GetTempPathA,0x402034
KERNEL32.dll,GetModuleFileNameA,0x402038
KERNEL32.dll,WaitForSingleObject,0x40203c
KERNEL32.dll,CreateMutexA,0x402040
KERNEL32.dll,GetModuleHandleA,0x402044
KERNEL32.dll,GetStartupInfoA,0x402048
MSVCRT.dll,_initterm,0x402050
MSVCRT.dll,??2@YAPAXI@Z,0x402054
MSVCRT.dll,__CxxFrameHandler,0x402058
MSVCRT.dll,strstr,0x40205c
MSVCRT.dll,_vsnprintf,0x402060
MSVCRT.dll,_beginthread,0x402064
MSVCRT.dll,_exit,0x402068
MSVCRT.dll,_XcptFilter,0x40206c
MSVCRT.dll,exit,0x402070
MSVCRT.dll,_acmdln,0x402074
MSVCRT.dll,__getmainargs,0x402078
MSVCRT.dll,??3@YAXPAX@Z,0x40207c
MSVCRT.dll,__setusermatherr,0x402080
MSVCRT.dll,_adjust_fdiv,0x402084
MSVCRT.dll,__p__commode,0x402088
MSVCRT.dll,__p__fmode,0x40208c
MSVCRT.dll,__set_app_type,0x402090
MSVCRT.dll,_except_handler3,0x402094
MSVCRT.dll,_controlfp,0x402098
