dll,name,address
KERNEL32.dll,GetTempFileNameA,0x420000
KERNEL32.dll,GetModuleFileNameA,0x420004
KERNEL32.dll,GetModuleHandleA,0x420008
KERNEL32.dll,GetTempPathA,0x42000c
KERNEL32.dll,EnumSystemLocalesA,0x420010
KERNEL32.dll,GetLocaleInfoA,0x420014
KERNEL32.dll,GetUserDefaultLCID,0x420018
KERNEL32.dll,CreateFileW,0x42001c
KERNEL32.dll,GetProcessHeap,0x420020
KERNEL32.dll,SetEndOfFile,0x420024
KERNEL32.dll,HeapReAlloc,0x420028
KERNEL32.dll,GetStringTypeW,0x42002c
KERNEL32.dll,LCMapStringW,0x420030
KERNEL32.dll,GetLocaleInfoW,0x420034
KERNEL32.dll,LoadLibraryW,0x420038
KERNEL32.dll,InterlockedExchange,0x42003c
KERNEL32.dll,FreeLibrary,0x420040
KERNEL32.dll,SetConsoleCtrlHandler,0x420044
KERNEL32.dll,HeapSize,0x420048
KERNEL32.dll,ReadFile,0x42004c
KERNEL32.dll,IsProcessorFeaturePresent,0x420050
KERNEL32.dll,GetLastError,0x420054
KERNEL32.dll,DeleteFileA,0x420058
KERNEL32.dll,GetCommandLineA,0x42005c
KERNEL32.dll,HeapSetInformation,0x420060
KERNEL32.dll,GetStartupInfoW,0x420064
KERNEL32.dll,TerminateProcess,0x420068
KERNEL32.dll,GetCurrentProcess,0x42006c
KERNEL32.dll,UnhandledExceptionFilter,0x420070
KERNEL32.dll,SetUnhandledExceptionFilter,0x420074
KERNEL32.dll,IsDebuggerPresent,0x420078
KERNEL32.dll,DecodePointer,0x42007c
KERNEL32.dll,EncodePointer,0x420080
KERNEL32.dll,EnterCriticalSection,0x420084
KERNEL32.dll,LeaveCriticalSection,0x420088
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x42008c
KERNEL32.dll,RtlUnwind,0x420090
KERNEL32.dll,WriteFile,0x420094
KERNEL32.dll,WideCharToMultiByte,0x420098
KERNEL32.dll,GetConsoleCP,0x42009c
KERNEL32.dll,GetConsoleMode,0x4200a0
KERNEL32.dll,SetHandleCount,0x4200a4
KERNEL32.dll,GetStdHandle,0x4200a8
KERNEL32.dll,GetFileType,0x4200ac
KERNEL32.dll,DeleteCriticalSection,0x4200b0
KERNEL32.dll,SetFilePointer,0x4200b4
KERNEL32.dll,HeapFree,0x4200b8
KERNEL32.dll,CloseHandle,0x4200bc
KERNEL32.dll,HeapAlloc,0x4200c0
KERNEL32.dll,RaiseException,0x4200c4
KERNEL32.dll,GetProcAddress,0x4200c8
KERNEL32.dll,GetModuleHandleW,0x4200cc
KERNEL32.dll,ExitProcess,0x4200d0
KERNEL32.dll,GetModuleFileNameW,0x4200d4
KERNEL32.dll,FreeEnvironmentStringsW,0x4200d8
KERNEL32.dll,GetEnvironmentStringsW,0x4200dc
KERNEL32.dll,TlsAlloc,0x4200e0
KERNEL32.dll,TlsGetValue,0x4200e4
KERNEL32.dll,TlsSetValue,0x4200e8
KERNEL32.dll,TlsFree,0x4200ec
KERNEL32.dll,InterlockedIncrement,0x4200f0
KERNEL32.dll,SetLastError,0x4200f4
KERNEL32.dll,GetCurrentThreadId,0x4200f8
KERNEL32.dll,InterlockedDecrement,0x4200fc
KERNEL32.dll,GetCurrentThread,0x420100
KERNEL32.dll,HeapCreate,0x420104
KERNEL32.dll,HeapDestroy,0x420108
KERNEL32.dll,QueryPerformanceCounter,0x42010c
KERNEL32.dll,GetTickCount,0x420110
KERNEL32.dll,GetCurrentProcessId,0x420114
KERNEL32.dll,GetSystemTimeAsFileTime,0x420118
KERNEL32.dll,GetCPInfo,0x42011c
KERNEL32.dll,GetACP,0x420120
KERNEL32.dll,GetOEMCP,0x420124
KERNEL32.dll,IsValidCodePage,0x420128
KERNEL32.dll,Sleep,0x42012c
KERNEL32.dll,FatalAppExitA,0x420130
KERNEL32.dll,CreateFileA,0x420134
KERNEL32.dll,WriteConsoleW,0x420138
KERNEL32.dll,MultiByteToWideChar,0x42013c
KERNEL32.dll,SetStdHandle,0x420140
KERNEL32.dll,FlushFileBuffers,0x420144
KERNEL32.dll,IsValidLocale,0x420148
USER32.dll,EndPaint,0x420150
USER32.dll,DestroyWindow,0x420154
USER32.dll,GetMessageA,0x420158
USER32.dll,RegisterClassExA,0x42015c
USER32.dll,PostQuitMessage,0x420160
USER32.dll,LoadStringA,0x420164
USER32.dll,LoadIconA,0x420168
USER32.dll,BeginPaint,0x42016c
USER32.dll,TranslateMessage,0x420170
USER32.dll,TranslateAcceleratorA,0x420174
USER32.dll,EndDialog,0x420178
USER32.dll,DefWindowProcA,0x42017c
USER32.dll,LoadAcceleratorsA,0x420180
USER32.dll,DispatchMessageA,0x420184
USER32.dll,LoadCursorA,0x420188
USER32.dll,DialogBoxParamA,0x42018c
