dll,name,address
KERNEL32.dll,Sleep,0x402000
KERNEL32.dll,WriteFile,0x402004
KERNEL32.dll,CloseHandle,0x402008
KERNEL32.dll,GetWindowsDirectoryA,0x40200c
KERNEL32.dll,ReadFile,0x402010
KERNEL32.dll,PeekNamedPipe,0x402014
KERNEL32.dll,CreateProcessA,0x402018
KERNEL32.dll,CreatePipe,0x40201c
WININET.dll,InternetOpenA,0x4020b0
WININET.dll,InternetConnectA,0x4020b4
WININET.dll,HttpOpenRequestA,0x4020b8
WININET.dll,InternetQueryOptionA,0x4020bc
WININET.dll,InternetSetOptionA,0x4020c0
WININET.dll,InternetCloseHandle,0x4020c4
WININET.dll,HttpSendRequestA,0x4020c8
WININET.dll,HttpSendRequestExA,0x4020cc
WININET.dll,InternetWriteFile,0x4020d0
WININET.dll,HttpEndRequestA,0x4020d4
WININET.dll,InternetReadFile,0x4020d8
MSVCRT.dll,_controlfp,0x402024
MSVCRT.dll,_except_handler3,0x402028
MSVCRT.dll,__set_app_type,0x40202c
MSVCRT.dll,__p__fmode,0x402030
MSVCRT.dll,__p__commode,0x402034
MSVCRT.dll,_adjust_fdiv,0x402038
MSVCRT.dll,__setusermatherr,0x40203c
MSVCRT.dll,_initterm,0x402040
MSVCRT.dll,__getmainargs,0x402044
MSVCRT.dll,__CxxFrameHandler,0x402048
MSVCRT.dll,strstr,0x40204c
MSVCRT.dll,strlen,0x402050
MSVCRT.dll,memcpy,0x402054
MSVCRT.dll,??3@YAXPAX@Z,0x402058
MSVCRT.dll,fread,0x40205c
MSVCRT.dll,strcmp,0x402060
MSVCRT.dll,sprintf,0x402064
MSVCRT.dll,strrchr,0x402068
MSVCRT.dll,ftell,0x40206c
MSVCRT.dll,fseek,0x402070
MSVCRT.dll,fclose,0x402074
MSVCRT.dll,fopen,0x402078
MSVCRT.dll,??2@YAPAXI@Z,0x40207c
MSVCRT.dll,fwrite,0x402080
MSVCRT.dll,atoi,0x402084
MSVCRT.dll,strcpy,0x402088
MSVCRT.dll,sscanf,0x40208c
MSVCRT.dll,strcat,0x402090
MSVCRT.dll,memset,0x402094
MSVCRT.dll,_exit,0x402098
MSVCRT.dll,_XcptFilter,0x40209c
MSVCRT.dll,exit,0x4020a0
MSVCRT.dll,__p___initenv,0x4020a4
MSVCRT.dll,_strnicmp,0x4020a8
