dll,name,address
KERNEL32.dll,Sleep,0x405028
KERNEL32.dll,GetComputerNameA,0x40502c
KERNEL32.dll,WriteConsoleInputA,0x405030
KERNEL32.dll,CreateFileA,0x405034
KERNEL32.dll,AttachConsole,0x405038
KERNEL32.dll,CreateProcessA,0x40503c
KERNEL32.dll,GetConsoleDisplayMode,0x405040
KERNEL32.dll,ReadFile,0x405044
KERNEL32.dll,PeekNamedPipe,0x405048
KERNEL32.dll,GetExitCodeProcess,0x40504c
KERNEL32.dll,GetFileAttributesA,0x405050
KERNEL32.dll,GetSystemDirectoryA,0x405054
KERNEL32.dll,ExpandEnvironmentStringsA,0x405058
KERNEL32.dll,SetStdHandle,0x40505c
KERNEL32.dll,CreatePipe,0x405060
KERNEL32.dll,GenerateConsoleCtrlEvent,0x405064
KERNEL32.dll,lstrcatA,0x405068
KERNEL32.dll,GetLogicalDrives,0x40506c
KERNEL32.dll,Process32Next,0x405070
KERNEL32.dll,Process32First,0x405074
KERNEL32.dll,CreateToolhelp32Snapshot,0x405078
KERNEL32.dll,OpenProcess,0x40507c
KERNEL32.dll,WriteFile,0x405080
KERNEL32.dll,GetFileSize,0x405084
KERNEL32.dll,GetModuleFileNameA,0x405088
KERNEL32.dll,GetCurrentProcessId,0x40508c
KERNEL32.dll,CreateMutexA,0x405090
KERNEL32.dll,GetTempPathA,0x405094
KERNEL32.dll,GetModuleHandleA,0x405098
KERNEL32.dll,GetWindowsDirectoryA,0x40509c
KERNEL32.dll,GetVolumeInformationA,0x4050a0
KERNEL32.dll,SetCurrentDirectoryA,0x4050a4
KERNEL32.dll,CreateThread,0x4050a8
KERNEL32.dll,WaitForSingleObject,0x4050ac
KERNEL32.dll,GetStartupInfoA,0x4050b0
KERNEL32.dll,CloseHandle,0x4050b4
KERNEL32.dll,GetLocalTime,0x4050b8
KERNEL32.dll,TerminateProcess,0x4050bc
KERNEL32.dll,GetDriveTypeA,0x4050c0
KERNEL32.dll,GetLastError,0x4050c4
MSVCRT.dll,_XcptFilter,0x4050cc
MSVCRT.dll,exit,0x4050d0
MSVCRT.dll,_acmdln,0x4050d4
MSVCRT.dll,__getmainargs,0x4050d8
MSVCRT.dll,_initterm,0x4050dc
MSVCRT.dll,__setusermatherr,0x4050e0
MSVCRT.dll,_adjust_fdiv,0x4050e4
MSVCRT.dll,__p__commode,0x4050e8
MSVCRT.dll,__p__fmode,0x4050ec
MSVCRT.dll,__set_app_type,0x4050f0
MSVCRT.dll,_except_handler3,0x4050f4
MSVCRT.dll,_controlfp,0x4050f8
MSVCRT.dll,??3@YAXPAX@Z,0x4050fc
MSVCRT.dll,??2@YAPAXI@Z,0x405100
MSVCRT.dll,sprintf,0x405104
MSVCRT.dll,sscanf,0x405108
MSVCRT.dll,_strcmpi,0x40510c
MSVCRT.dll,atoi,0x405110
MSVCRT.dll,__CxxFrameHandler,0x405114
MSVCRT.dll,strrchr,0x405118
MSVCRT.dll,strchr,0x40511c
MSVCRT.dll,rand,0x405120
MSVCRT.dll,_ftol,0x405124
MSVCRT.dll,_exit,0x405128
WININET.dll,InternetReadFile,0x405138
WININET.dll,HttpSendRequestA,0x40513c
WININET.dll,InternetOpenA,0x405140
WININET.dll,InternetCloseHandle,0x405144
WININET.dll,HttpQueryInfoA,0x405148
WININET.dll,InternetSetOptionA,0x40514c
WININET.dll,InternetConnectA,0x405150
WININET.dll,HttpOpenRequestA,0x405154
WININET.dll,HttpAddRequestHeadersA,0x405158
WININET.dll,InternetQueryOptionA,0x40515c
ADVAPI32.dll,CloseServiceHandle,0x405000
ADVAPI32.dll,OpenSCManagerA,0x405004
ADVAPI32.dll,ControlService,0x405008
ADVAPI32.dll,OpenServiceA,0x40500c
ADVAPI32.dll,StartServiceA,0x405010
ADVAPI32.dll,EnumServicesStatusExA,0x405014
SHELL32.dll,ShellExecuteA,0x405130
DNSAPI.dll,DnsRecordListFree,0x40501c
DNSAPI.dll,DnsQuery_A,0x405020
