dll,name,address
KERNEL32.dll,WriteFile,0x403014
KERNEL32.dll,DeleteFileA,0x403018
KERNEL32.dll,GetTempFileNameA,0x40301c
KERNEL32.dll,PeekNamedPipe,0x403020
KERNEL32.dll,CopyFileA,0x403024
KERNEL32.dll,GetTempPathA,0x403028
KERNEL32.dll,GetSystemDirectoryA,0x40302c
KERNEL32.dll,GetStartupInfoA,0x403030
KERNEL32.dll,CreatePipe,0x403034
KERNEL32.dll,Sleep,0x403038
KERNEL32.dll,TerminateProcess,0x40303c
KERNEL32.dll,SetProcessPriorityBoost,0x403040
KERNEL32.dll,SetThreadPriority,0x403044
KERNEL32.dll,GetCurrentThread,0x403048
KERNEL32.dll,SetPriorityClass,0x40304c
KERNEL32.dll,GetCurrentProcess,0x403050
KERNEL32.dll,lstrcatA,0x403054
KERNEL32.dll,lstrcpyA,0x403058
KERNEL32.dll,GetEnvironmentVariableA,0x40305c
KERNEL32.dll,GetShortPathNameA,0x403060
KERNEL32.dll,ReadFile,0x403064
KERNEL32.dll,CreateProcessA,0x403068
KERNEL32.dll,CloseHandle,0x40306c
KERNEL32.dll,GetModuleFileNameA,0x403070
KERNEL32.dll,GetLastError,0x403074
KERNEL32.dll,GetModuleHandleA,0x403078
urlmon.dll,URLDownloadToFileA,0x4030f8
WININET.dll,InternetReadFile,0x4030d4
WININET.dll,InternetCloseHandle,0x4030d8
WININET.dll,InternetOpenUrlA,0x4030dc
WININET.dll,InternetGetConnectedState,0x4030e0
WININET.dll,InternetConnectA,0x4030e4
WININET.dll,InternetOpenA,0x4030e8
WININET.dll,HttpSendRequestA,0x4030ec
WININET.dll,HttpOpenRequestA,0x4030f0
ADVAPI32.dll,RegCloseKey,0x403000
ADVAPI32.dll,RegOpenKeyExA,0x403004
ADVAPI32.dll,RegDeleteValueA,0x403008
ADVAPI32.dll,RegSetValueExA,0x40300c
MSVCRT.dll,_acmdln,0x403080
MSVCRT.dll,_controlfp,0x403084
MSVCRT.dll,_except_handler3,0x403088
MSVCRT.dll,__set_app_type,0x40308c
MSVCRT.dll,__p__fmode,0x403090
MSVCRT.dll,__p__commode,0x403094
MSVCRT.dll,_adjust_fdiv,0x403098
MSVCRT.dll,??3@YAXPAX@Z,0x40309c
MSVCRT.dll,??2@YAPAXI@Z,0x4030a0
MSVCRT.dll,strchr,0x4030a4
MSVCRT.dll,exit,0x4030a8
MSVCRT.dll,sprintf,0x4030ac
MSVCRT.dll,_exit,0x4030b0
MSVCRT.dll,_XcptFilter,0x4030b4
MSVCRT.dll,__setusermatherr,0x4030b8
MSVCRT.dll,__getmainargs,0x4030bc
MSVCRT.dll,_initterm,0x4030c0
SHELL32.dll,ShellExecuteExA,0x4030c8
SHELL32.dll,SHChangeNotify,0x4030cc
