dll,name,address
MSVCRT.dll,_adjust_fdiv,0x10014054
MSVCRT.dll,malloc,0x10014058
MSVCRT.dll,_initterm,0x1001405c
MSVCRT.dll,??2@YAPAXI@Z,0x10014060
MSVCRT.dll,??3@YAXPAX@Z,0x10014064
MSVCRT.dll,free,0x10014068
MSVCRT.dll,realloc,0x1001406c
MSVCRT.dll,strncpy,0x10014070
MSVCRT.dll,_stricmp,0x10014074
MSVCRT.dll,calloc,0x10014078
KERNEL32.dll,CreateFileA,0x10014000
KERNEL32.dll,FreeLibrary,0x10014004
KERNEL32.dll,HeapFree,0x10014008
KERNEL32.dll,IsBadReadPtr,0x1001400c
KERNEL32.dll,VirtualFree,0x10014010
KERNEL32.dll,VirtualProtect,0x10014014
KERNEL32.dll,VirtualAlloc,0x10014018
KERNEL32.dll,GetProcessHeap,0x1001401c
KERNEL32.dll,HeapAlloc,0x10014020
KERNEL32.dll,GetProcAddress,0x10014024
KERNEL32.dll,ExitProcess,0x10014028
KERNEL32.dll,LoadLibraryA,0x1001402c
KERNEL32.dll,lstrcatA,0x10014030
KERNEL32.dll,GetSystemDirectoryA,0x10014034
KERNEL32.dll,GetModuleFileNameA,0x10014038
KERNEL32.dll,MapViewOfFile,0x1001403c
KERNEL32.dll,CreateFileMappingA,0x10014040
KERNEL32.dll,GetFileSize,0x10014044
KERNEL32.dll,CloseHandle,0x10014048
KERNEL32.dll,UnmapViewOfFile,0x1001404c
USER32.dll,wsprintfA,0x10014080
USER32.dll,MessageBoxA,0x10014084
