dll,name,address
KERNEL32.dll,MoveFileExA,0x491000
USER32.dll,GetInputState,0x491008
ADVAPI32.dll,ControlService,0x491010
SHELL32.dll,ShellExecuteExA,0x491018
imagehlp.dll,MakeSureDirectoryPathExists,0x491020
VERSION.dll,GetFileVersionInfoSizeA,0x491028
KERNEL32.dll,GetModuleFileNameW,0x491030
KERNEL32.dll,GetModuleHandleA,0x491038
KERNEL32.dll,LoadLibraryA,0x49103c
KERNEL32.dll,LocalAlloc,0x491040
KERNEL32.dll,LocalFree,0x491044
KERNEL32.dll,GetModuleFileNameA,0x491048
KERNEL32.dll,ExitProcess,0x49104c
