dll,name,address
KERNEL32.dll,CreateThread,0x180021038
KERNEL32.dll,FreeLibrary,0x180021040
KERNEL32.dll,CreateEventA,0x180021048
KERNEL32.dll,GetLastError,0x180021050
KERNEL32.dll,GetModuleFileNameA,0x180021058
KERNEL32.dll,DeleteFileA,0x180021060
KERNEL32.dll,GetCurrentProcess,0x180021068
KERNEL32.dll,GetSystemDirectoryA,0x180021070
KERNEL32.dll,GetFileTime,0x180021078
KERNEL32.dll,CreateSemaphoreA,0x180021080
KERNEL32.dll,GetWindowsDirectoryA,0x180021088
KERNEL32.dll,ResetEvent,0x180021090
KERNEL32.dll,CancelIo,0x180021098
KERNEL32.dll,SetEvent,0x1800210a0
KERNEL32.dll,lstrlenA,0x1800210a8
KERNEL32.dll,lstrcpynA,0x1800210b0
KERNEL32.dll,ExitThread,0x1800210b8
KERNEL32.dll,SystemTimeToFileTime,0x1800210c0
KERNEL32.dll,LocalFileTimeToFileTime,0x1800210c8
KERNEL32.dll,SetFileTime,0x1800210d0
KERNEL32.dll,SetFileAttributesA,0x1800210d8
KERNEL32.dll,LoadLibraryW,0x1800210e0
KERNEL32.dll,WaitForSingleObject,0x1800210e8
KERNEL32.dll,CopyFileA,0x1800210f0
KERNEL32.dll,lstrcpyA,0x1800210f8
KERNEL32.dll,ExitProcess,0x180021100
KERNEL32.dll,DeviceIoControl,0x180021108
KERNEL32.dll,GetVersionExA,0x180021110
KERNEL32.dll,GetProcAddress,0x180021118
KERNEL32.dll,GetModuleHandleA,0x180021120
KERNEL32.dll,MultiByteToWideChar,0x180021128
KERNEL32.dll,WideCharToMultiByte,0x180021130
KERNEL32.dll,WriteFile,0x180021138
KERNEL32.dll,SetFilePointer,0x180021140
KERNEL32.dll,GetLocalTime,0x180021148
KERNEL32.dll,GetFileAttributesA,0x180021150
KERNEL32.dll,Sleep,0x180021158
KERNEL32.dll,ProcessIdToSessionId,0x180021160
KERNEL32.dll,LoadLibraryA,0x180021168
KERNEL32.dll,SetLastError,0x180021170
KERNEL32.dll,HeapReAlloc,0x180021178
KERNEL32.dll,HeapAlloc,0x180021180
KERNEL32.dll,MoveFileA,0x180021188
KERNEL32.dll,GetCurrentThreadId,0x180021190
KERNEL32.dll,FlsSetValue,0x180021198
KERNEL32.dll,GetCommandLineA,0x1800211a0
KERNEL32.dll,RtlUnwindEx,0x1800211a8
KERNEL32.dll,RaiseException,0x1800211b0
KERNEL32.dll,RtlPcToFileHeader,0x1800211b8
KERNEL32.dll,RtlLookupFunctionEntry,0x1800211c0
KERNEL32.dll,TerminateProcess,0x1800211c8
KERNEL32.dll,UnhandledExceptionFilter,0x1800211d0
KERNEL32.dll,SetUnhandledExceptionFilter,0x1800211d8
KERNEL32.dll,IsDebuggerPresent,0x1800211e0
KERNEL32.dll,RtlVirtualUnwind,0x1800211e8
KERNEL32.dll,RtlCaptureContext,0x1800211f0
