dll,name,address
KERNEL32.dll,GetVersion,0x18027b000
KERNEL32.dll,GetVersionExA,0x18027b008
KERNEL32.dll,GetStartupInfoA,0x18027b010
USER32.dll,CloseDesktop,0x18027b020
GDI32.dll,CreateBitmap,0x18027b030
ADVAPI32.dll,SetEntriesInAclA,0x18027b040
SHELL32.dll,SHFileOperationA,0x18027b050
ole32.dll,CoCreateInstance,0x18027b060
WS2_32.dll,inet_ntoa,0x18027b070
SHLWAPI.dll,PathFileExistsA,0x18027b080
DNSAPI.dll,DnsQuery_A,0x18027b090
Secur32.dll,LsaEnumerateLogonSessions,0x18027b0a0
PSAPI.DLL,GetModuleInformation,0x18027b0b0
NETAPI32.dll,NetLocalGroupAddMembers,0x18027b0c0
WTSAPI32.dll,WTSFreeMemory,0x18027b0d0
USERENV.dll,CreateEnvironmentBlock,0x18027b0e0
VERSION.dll,GetFileVersionInfoA,0x18027b0f0
KERNEL32.dll,GetModuleFileNameW,0x18027b100
KERNEL32.dll,GetModuleHandleA,0x18027b110
KERNEL32.dll,LoadLibraryA,0x18027b118
KERNEL32.dll,LocalAlloc,0x18027b120
KERNEL32.dll,LocalFree,0x18027b128
KERNEL32.dll,GetModuleFileNameA,0x18027b130
KERNEL32.dll,ExitProcess,0x18027b138
