dll,name,address
ADVAPI32.DLL,CloseServiceHandle,0x40b194
ADVAPI32.DLL,CreateServiceA,0x40b198
ADVAPI32.DLL,DeleteService,0x40b19c
ADVAPI32.DLL,OpenSCManagerA,0x40b1a0
ADVAPI32.DLL,OpenServiceA,0x40b1a4
ADVAPI32.DLL,RegCloseKey,0x40b1a8
ADVAPI32.DLL,RegCreateKeyExA,0x40b1ac
ADVAPI32.DLL,RegSetValueExA,0x40b1b0
ADVAPI32.DLL,RegisterServiceCtrlHandlerA,0x40b1b4
ADVAPI32.DLL,SetServiceStatus,0x40b1b8
ADVAPI32.DLL,StartServiceA,0x40b1bc
ADVAPI32.DLL,StartServiceCtrlDispatcherA,0x40b1c0
KERNEL32.dll,ExitProcess,0x40b1cc
KERNEL32.dll,FindClose,0x40b1d0
KERNEL32.dll,FindFirstFileA,0x40b1d4
KERNEL32.dll,FindNextFileA,0x40b1d8
KERNEL32.dll,FlushFileBuffers,0x40b1dc
KERNEL32.dll,GetCommandLineA,0x40b1e0
KERNEL32.dll,GetCurrentDirectoryA,0x40b1e4
KERNEL32.dll,GetDriveTypeA,0x40b1e8
KERNEL32.dll,GetFileAttributesA,0x40b1ec
KERNEL32.dll,CloseHandle,0x40b1f0
KERNEL32.dll,GetFileTime,0x40b1f4
KERNEL32.dll,GetLastError,0x40b1f8
KERNEL32.dll,GetModuleFileNameA,0x40b1fc
KERNEL32.dll,GetModuleHandleA,0x40b200
KERNEL32.dll,GetProcAddress,0x40b204
KERNEL32.dll,GetStartupInfoA,0x40b208
KERNEL32.dll,GetTempPathA,0x40b20c
KERNEL32.dll,GetVersionExA,0x40b210
KERNEL32.dll,GetWindowsDirectoryA,0x40b214
KERNEL32.dll,CopyFileA,0x40b218
KERNEL32.dll,InterlockedIncrement,0x40b21c
KERNEL32.dll,LoadLibraryA,0x40b220
KERNEL32.dll,CreateFileA,0x40b224
KERNEL32.dll,ReadFile,0x40b228
KERNEL32.dll,ReleaseMutex,0x40b22c
KERNEL32.dll,SetEndOfFile,0x40b230
KERNEL32.dll,SetFileAttributesA,0x40b234
KERNEL32.dll,SetFilePointer,0x40b238
KERNEL32.dll,SetFileTime,0x40b23c
KERNEL32.dll,CreateMutexA,0x40b240
KERNEL32.dll,SetUnhandledExceptionFilter,0x40b244
KERNEL32.dll,Sleep,0x40b248
KERNEL32.dll,TlsAlloc,0x40b24c
KERNEL32.dll,TlsGetValue,0x40b250
KERNEL32.dll,TlsSetValue,0x40b254
KERNEL32.dll,CreateProcessA,0x40b258
KERNEL32.dll,WaitForSingleObject,0x40b25c
KERNEL32.dll,WriteFile,0x40b260
msvcrt.dll,_assert,0x40b26c
msvcrt.dll,_cexit,0x40b270
msvcrt.dll,_fileno,0x40b274
msvcrt.dll,_fmode,0x40b278
msvcrt.dll,_fpreset,0x40b27c
msvcrt.dll,_iob,0x40b280
msvcrt.dll,_setmode,0x40b284
msvcrt.dll,__getmainargs,0x40b288
msvcrt.dll,abort,0x40b28c
msvcrt.dll,atexit,0x40b290
msvcrt.dll,fprintf,0x40b294
msvcrt.dll,free,0x40b298
msvcrt.dll,__p__environ,0x40b29c
msvcrt.dll,malloc,0x40b2a0
msvcrt.dll,memcpy,0x40b2a4
msvcrt.dll,memset,0x40b2a8
msvcrt.dll,rand,0x40b2ac
msvcrt.dll,signal,0x40b2b0
msvcrt.dll,srand,0x40b2b4
msvcrt.dll,strcat,0x40b2b8
msvcrt.dll,strcmp,0x40b2bc
msvcrt.dll,strcpy,0x40b2c0
msvcrt.dll,time,0x40b2c4
msvcrt.dll,__set_app_type,0x40b2c8
