dll,name,address
KERNEL32.dll,CreatePipe,0x1800240a8
KERNEL32.dll,DeleteCriticalSection,0x1800240b0
KERNEL32.dll,GetCurrentProcessId,0x1800240b8
KERNEL32.dll,GetFileSize,0x1800240c0
KERNEL32.dll,VirtualFree,0x1800240c8
KERNEL32.dll,GlobalSize,0x1800240d0
KERNEL32.dll,GlobalLock,0x1800240d8
KERNEL32.dll,SetEvent,0x1800240e0
KERNEL32.dll,GlobalAlloc,0x1800240e8
KERNEL32.dll,GlobalUnlock,0x1800240f0
KERNEL32.dll,GlobalFree,0x1800240f8
KERNEL32.dll,CreateEventW,0x180024100
KERNEL32.dll,LeaveCriticalSection,0x180024108
KERNEL32.dll,EnterCriticalSection,0x180024110
KERNEL32.dll,GetDiskFreeSpaceExW,0x180024118
KERNEL32.dll,GetVolumeInformationW,0x180024120
KERNEL32.dll,SetEndOfFile,0x180024128
KERNEL32.dll,SetFilePointerEx,0x180024130
KERNEL32.dll,GetFileSizeEx,0x180024138
KERNEL32.dll,lstrcmpiW,0x180024140
KERNEL32.dll,GetCurrentThreadId,0x180024148
KERNEL32.dll,GetStdHandle,0x180024150
KERNEL32.dll,WideCharToMultiByte,0x180024158
KERNEL32.dll,MultiByteToWideChar,0x180024160
KERNEL32.dll,HeapAlloc,0x180024168
KERNEL32.dll,HeapFree,0x180024170
KERNEL32.dll,GetSystemInfo,0x180024178
KERNEL32.dll,FlushFileBuffers,0x180024180
KERNEL32.dll,CreateFileA,0x180024188
KERNEL32.dll,GetLocaleInfoW,0x180024190
KERNEL32.dll,WriteConsoleW,0x180024198
KERNEL32.dll,GetConsoleOutputCP,0x1800241a0
KERNEL32.dll,WriteConsoleA,0x1800241a8
KERNEL32.dll,SetStdHandle,0x1800241b0
KERNEL32.dll,LCMapStringW,0x1800241b8
KERNEL32.dll,LCMapStringA,0x1800241c0
KERNEL32.dll,HeapReAlloc,0x1800241c8
KERNEL32.dll,MoveFileExW,0x1800241d0
KERNEL32.dll,GetConsoleMode,0x1800241d8
KERNEL32.dll,GetConsoleCP,0x1800241e0
KERNEL32.dll,QueryPerformanceCounter,0x1800241e8
KERNEL32.dll,GetEnvironmentStringsW,0x1800241f0
KERNEL32.dll,FreeEnvironmentStringsW,0x1800241f8
KERNEL32.dll,GetEnvironmentStrings,0x180024200
KERNEL32.dll,FreeEnvironmentStringsA,0x180024208
KERNEL32.dll,GetStartupInfoA,0x180024210
KERNEL32.dll,GetFileType,0x180024218
KERNEL32.dll,SetHandleCount,0x180024220
