dll,name,address
USER32.dll,EndPaint,0x42513c
USER32.dll,DestroyWindow,0x425140
USER32.dll,GetMessageA,0x425144
USER32.dll,RegisterClassExA,0x425148
USER32.dll,PostQuitMessage,0x42514c
USER32.dll,LoadStringA,0x425150
USER32.dll,LoadIconA,0x425154
USER32.dll,BeginPaint,0x425158
USER32.dll,TranslateMessage,0x42515c
USER32.dll,TranslateAcceleratorA,0x425160
USER32.dll,EndDialog,0x425164
USER32.dll,DefWindowProcA,0x425168
USER32.dll,LoadAcceleratorsA,0x42516c
USER32.dll,DispatchMessageA,0x425170
USER32.dll,LoadCursorA,0x425174
USER32.dll,DialogBoxParamA,0x425178
KERNEL32.dll,RtlUnwind,0x425000
KERNEL32.dll,IsValidLocale,0x425004
KERNEL32.dll,EnumSystemLocalesA,0x425008
KERNEL32.dll,GetLocaleInfoA,0x42500c
KERNEL32.dll,GetUserDefaultLCID,0x425010
KERNEL32.dll,CreateFileW,0x425014
KERNEL32.dll,GetProcessHeap,0x425018
KERNEL32.dll,SetEndOfFile,0x42501c
KERNEL32.dll,GetStringTypeW,0x425020
KERNEL32.dll,LCMapStringW,0x425024
KERNEL32.dll,HeapSize,0x425028
KERNEL32.dll,WriteConsoleW,0x42502c
KERNEL32.dll,SetStdHandle,0x425030
KERNEL32.dll,CreateFileA,0x425034
KERNEL32.dll,FlushFileBuffers,0x425038
KERNEL32.dll,HeapReAlloc,0x42503c
KERNEL32.dll,IsValidCodePage,0x425040
KERNEL32.dll,GetLastError,0x425044
KERNEL32.dll,HeapFree,0x425048
KERNEL32.dll,HeapAlloc,0x42504c
KERNEL32.dll,EnterCriticalSection,0x425050
KERNEL32.dll,LeaveCriticalSection,0x425054
KERNEL32.dll,GetSystemTimeAsFileTime,0x425058
KERNEL32.dll,GetProcAddress,0x42505c
KERNEL32.dll,GetModuleHandleW,0x425060
KERNEL32.dll,ExitProcess,0x425064
KERNEL32.dll,DecodePointer,0x425068
KERNEL32.dll,GetCommandLineA,0x42506c
KERNEL32.dll,HeapSetInformation,0x425070
KERNEL32.dll,GetStartupInfoW,0x425074
KERNEL32.dll,TerminateProcess,0x425078
KERNEL32.dll,GetCurrentProcess,0x42507c
KERNEL32.dll,UnhandledExceptionFilter,0x425080
KERNEL32.dll,SetUnhandledExceptionFilter,0x425084
KERNEL32.dll,IsDebuggerPresent,0x425088
KERNEL32.dll,HeapCreate,0x42508c
KERNEL32.dll,HeapDestroy,0x425090
KERNEL32.dll,WriteFile,0x425094
KERNEL32.dll,GetStdHandle,0x425098
KERNEL32.dll,GetModuleFileNameW,0x42509c
KERNEL32.dll,EncodePointer,0x4250a0
KERNEL32.dll,IsProcessorFeaturePresent,0x4250a4
KERNEL32.dll,SetHandleCount,0x4250a8
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4250ac
KERNEL32.dll,GetFileType,0x4250b0
KERNEL32.dll,DeleteCriticalSection,0x4250b4
KERNEL32.dll,Sleep,0x4250b8
KERNEL32.dll,FatalAppExitA,0x4250bc
KERNEL32.dll,MultiByteToWideChar,0x4250c0
KERNEL32.dll,ReadFile,0x4250c4
KERNEL32.dll,WideCharToMultiByte,0x4250c8
KERNEL32.dll,GetConsoleCP,0x4250cc
KERNEL32.dll,GetConsoleMode,0x4250d0
KERNEL32.dll,CloseHandle,0x4250d4
KERNEL32.dll,SetConsoleCtrlHandler,0x4250d8
KERNEL32.dll,FreeLibrary,0x4250dc
KERNEL32.dll,InterlockedExchange,0x4250e0
KERNEL32.dll,LoadLibraryW,0x4250e4
KERNEL32.dll,GetLocaleInfoW,0x4250e8
KERNEL32.dll,TlsAlloc,0x4250ec
KERNEL32.dll,TlsGetValue,0x4250f0
KERNEL32.dll,TlsSetValue,0x4250f4
KERNEL32.dll,TlsFree,0x4250f8
KERNEL32.dll,InterlockedIncrement,0x4250fc
KERNEL32.dll,SetLastError,0x425100
KERNEL32.dll,GetCurrentThreadId,0x425104
KERNEL32.dll,InterlockedDecrement,0x425108
KERNEL32.dll,GetCurrentThread,0x42510c
KERNEL32.dll,GetModuleFileNameA,0x425110
KERNEL32.dll,FreeEnvironmentStringsW,0x425114
KERNEL32.dll,GetEnvironmentStringsW,0x425118
KERNEL32.dll,QueryPerformanceCounter,0x42511c
KERNEL32.dll,GetTickCount,0x425120
KERNEL32.dll,GetCurrentProcessId,0x425124
KERNEL32.dll,SetFilePointer,0x425128
KERNEL32.dll,GetCPInfo,0x42512c
KERNEL32.dll,GetACP,0x425130
KERNEL32.dll,GetOEMCP,0x425134
