dll,name,address
KERNEL32.dll,GetSystemDirectoryA,0x1000a010
KERNEL32.dll,CloseHandle,0x1000a014
KERNEL32.dll,GetLastError,0x1000a018
KERNEL32.dll,CreatePipe,0x1000a01c
KERNEL32.dll,GetStartupInfoA,0x1000a020
KERNEL32.dll,LocalFree,0x1000a024
KERNEL32.dll,FormatMessageA,0x1000a028
KERNEL32.dll,CreateThread,0x1000a02c
KERNEL32.dll,GetTempPathA,0x1000a030
KERNEL32.dll,Sleep,0x1000a034
KERNEL32.dll,TerminateProcess,0x1000a038
KERNEL32.dll,FindFirstFileA,0x1000a03c
KERNEL32.dll,Process32Next,0x1000a040
KERNEL32.dll,CreateToolhelp32Snapshot,0x1000a044
KERNEL32.dll,GetCurrentProcess,0x1000a048
KERNEL32.dll,GetModuleFileNameA,0x1000a04c
KERNEL32.dll,FreeLibrary,0x1000a050
KERNEL32.dll,LoadLibraryExA,0x1000a054
KERNEL32.dll,DeleteFileA,0x1000a058
KERNEL32.dll,WinExec,0x1000a05c
KERNEL32.dll,GetFullPathNameA,0x1000a060
KERNEL32.dll,SetCurrentDirectoryA,0x1000a064
KERNEL32.dll,CreateProcessA,0x1000a068
KERNEL32.dll,ReadFile,0x1000a06c
KERNEL32.dll,OpenProcess,0x1000a070
KERNEL32.dll,lstrlenA,0x1000a074
KERNEL32.dll,GetCurrentDirectoryA,0x1000a078
KERNEL32.dll,SetEnvironmentVariableA,0x1000a07c
KERNEL32.dll,CompareStringW,0x1000a080
KERNEL32.dll,CompareStringA,0x1000a084
KERNEL32.dll,LCMapStringW,0x1000a088
KERNEL32.dll,LCMapStringA,0x1000a08c
KERNEL32.dll,RtlUnwind,0x1000a090
KERNEL32.dll,SetEndOfFile,0x1000a094
KERNEL32.dll,LoadLibraryA,0x1000a098
KERNEL32.dll,GetProcAddress,0x1000a09c
KERNEL32.dll,GetOEMCP,0x1000a0a0
KERNEL32.dll,GetACP,0x1000a0a4
KERNEL32.dll,GetCPInfo,0x1000a0a8
KERNEL32.dll,HeapFree,0x1000a0ac
KERNEL32.dll,HeapAlloc,0x1000a0b0
KERNEL32.dll,GetTimeZoneInformation,0x1000a0b4
KERNEL32.dll,GetSystemTime,0x1000a0b8
KERNEL32.dll,GetLocalTime,0x1000a0bc
KERNEL32.dll,GetCommandLineA,0x1000a0c0
KERNEL32.dll,GetVersion,0x1000a0c4
KERNEL32.dll,EnterCriticalSection,0x1000a0c8
KERNEL32.dll,LeaveCriticalSection,0x1000a0cc
KERNEL32.dll,FlushFileBuffers,0x1000a0d0
KERNEL32.dll,WriteFile,0x1000a0d4
KERNEL32.dll,InitializeCriticalSection,0x1000a0d8
KERNEL32.dll,DeleteCriticalSection,0x1000a0dc
KERNEL32.dll,ExitProcess,0x1000a0e0
KERNEL32.dll,HeapDestroy,0x1000a0e4
KERNEL32.dll,HeapCreate,0x1000a0e8
KERNEL32.dll,VirtualFree,0x1000a0ec
KERNEL32.dll,VirtualAlloc,0x1000a0f0
KERNEL32.dll,HeapReAlloc,0x1000a0f4
KERNEL32.dll,GetCurrentThreadId,0x1000a0f8
KERNEL32.dll,TlsSetValue,0x1000a0fc
KERNEL32.dll,TlsAlloc,0x1000a100
KERNEL32.dll,TlsFree,0x1000a104
KERNEL32.dll,SetLastError,0x1000a108
KERNEL32.dll,TlsGetValue,0x1000a10c
KERNEL32.dll,SetFilePointer,0x1000a110
KERNEL32.dll,SetHandleCount,0x1000a114
KERNEL32.dll,GetStdHandle,0x1000a118
KERNEL32.dll,GetFileType,0x1000a11c
KERNEL32.dll,FreeEnvironmentStringsA,0x1000a120
KERNEL32.dll,FreeEnvironmentStringsW,0x1000a124
KERNEL32.dll,WideCharToMultiByte,0x1000a128
KERNEL32.dll,GetEnvironmentStrings,0x1000a12c
KERNEL32.dll,GetEnvironmentStringsW,0x1000a130
KERNEL32.dll,SetStdHandle,0x1000a134
KERNEL32.dll,CreateFileA,0x1000a138
KERNEL32.dll,InterlockedDecrement,0x1000a13c
KERNEL32.dll,InterlockedIncrement,0x1000a140
KERNEL32.dll,MultiByteToWideChar,0x1000a144
KERNEL32.dll,GetStringTypeA,0x1000a148
KERNEL32.dll,GetStringTypeW,0x1000a14c
KERNEL32.dll,GetDriveTypeA,0x1000a150
USER32.dll,LoadStringA,0x1000a160
ADVAPI32.dll,LookupPrivilegeValueA,0x1000a000
ADVAPI32.dll,AdjustTokenPrivileges,0x1000a004
ADVAPI32.dll,OpenProcessToken,0x1000a008
WININET.dll,InternetOpenUrlA,0x1000a168
WININET.dll,InternetReadFile,0x1000a16c
WININET.dll,HttpQueryInfoA,0x1000a170
WININET.dll,InternetCloseHandle,0x1000a174
WININET.dll,InternetOpenA,0x1000a178
WININET.dll,InternetGetConnectedState,0x1000a17c
WINMM.dll,timeGetTime,0x1000a184
WS2_32.dll,recv,0x1000a18c
WS2_32.dll,send,0x1000a190
WS2_32.dll,closesocket,0x1000a194
WS2_32.dll,connect,0x1000a198
WS2_32.dll,WSACleanup,0x1000a19c
WS2_32.dll,socket,0x1000a1a0
WS2_32.dll,WSAStartup,0x1000a1a4
WS2_32.dll,htons,0x1000a1a8
WS2_32.dll,inet_addr,0x1000a1ac
SHLWAPI.dll,PathFileExistsA,0x1000a158
