dll,name,address
KERNEL32.dll,WaitForMultipleObjects,0x409000
KERNEL32.dll,CloseHandle,0x409004
KERNEL32.dll,GetLastError,0x409008
KERNEL32.dll,CreateMutexA,0x40900c
KERNEL32.dll,CreateProcessA,0x409010
KERNEL32.dll,MoveFileExA,0x409014
KERNEL32.dll,MoveFileA,0x409018
KERNEL32.dll,DeleteFileA,0x40901c
KERNEL32.dll,GetTempFileNameA,0x409020
KERNEL32.dll,GetTempPathA,0x409024
KERNEL32.dll,CreateDirectoryA,0x409028
KERNEL32.dll,SetProcessPriorityBoost,0x40902c
KERNEL32.dll,SetThreadPriority,0x409030
KERNEL32.dll,GetCurrentThread,0x409034
KERNEL32.dll,SetPriorityClass,0x409038
KERNEL32.dll,GetCurrentProcess,0x40903c
KERNEL32.dll,GetEnvironmentVariableA,0x409040
KERNEL32.dll,GetShortPathNameA,0x409044
KERNEL32.dll,GetModuleFileNameA,0x409048
KERNEL32.dll,WriteFile,0x40904c
KERNEL32.dll,CreateFileA,0x409050
KERNEL32.dll,SizeofResource,0x409054
KERNEL32.dll,LockResource,0x409058
KERNEL32.dll,LoadResource,0x40905c
KERNEL32.dll,FindResourceA,0x409060
KERNEL32.dll,FlushFileBuffers,0x409064
KERNEL32.dll,ExitThread,0x409068
KERNEL32.dll,ResumeThread,0x40906c
KERNEL32.dll,CreateThread,0x409070
KERNEL32.dll,GetCommandLineA,0x409074
KERNEL32.dll,HeapSetInformation,0x409078
KERNEL32.dll,GetStartupInfoW,0x40907c
KERNEL32.dll,RtlUnwind,0x409080
KERNEL32.dll,EncodePointer,0x409084
KERNEL32.dll,TlsAlloc,0x409088
KERNEL32.dll,TlsGetValue,0x40908c
KERNEL32.dll,TlsSetValue,0x409090
KERNEL32.dll,DecodePointer,0x409094
KERNEL32.dll,TlsFree,0x409098
KERNEL32.dll,InterlockedIncrement,0x40909c
KERNEL32.dll,GetModuleHandleW,0x4090a0
KERNEL32.dll,SetLastError,0x4090a4
KERNEL32.dll,GetCurrentThreadId,0x4090a8
KERNEL32.dll,InterlockedDecrement,0x4090ac
KERNEL32.dll,GetProcAddress,0x4090b0
KERNEL32.dll,ExitProcess,0x4090b4
KERNEL32.dll,HeapFree,0x4090b8
KERNEL32.dll,Sleep,0x4090bc
KERNEL32.dll,UnhandledExceptionFilter,0x4090c0
KERNEL32.dll,SetUnhandledExceptionFilter,0x4090c4
KERNEL32.dll,IsDebuggerPresent,0x4090c8
KERNEL32.dll,TerminateProcess,0x4090cc
KERNEL32.dll,IsProcessorFeaturePresent,0x4090d0
KERNEL32.dll,HeapAlloc,0x4090d4
KERNEL32.dll,RaiseException,0x4090d8
KERNEL32.dll,GetStdHandle,0x4090dc
KERNEL32.dll,GetModuleFileNameW,0x4090e0
KERNEL32.dll,FreeEnvironmentStringsW,0x4090e4
KERNEL32.dll,WideCharToMultiByte,0x4090e8
KERNEL32.dll,GetEnvironmentStringsW,0x4090ec
KERNEL32.dll,SetHandleCount,0x4090f0
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4090f4
KERNEL32.dll,GetFileType,0x4090f8
KERNEL32.dll,DeleteCriticalSection,0x4090fc
KERNEL32.dll,HeapCreate,0x409100
KERNEL32.dll,QueryPerformanceCounter,0x409104
KERNEL32.dll,GetTickCount,0x409108
KERNEL32.dll,GetCurrentProcessId,0x40910c
KERNEL32.dll,GetSystemTimeAsFileTime,0x409110
KERNEL32.dll,LeaveCriticalSection,0x409114
KERNEL32.dll,EnterCriticalSection,0x409118
KERNEL32.dll,GetCPInfo,0x40911c
KERNEL32.dll,GetACP,0x409120
KERNEL32.dll,GetOEMCP,0x409124
KERNEL32.dll,IsValidCodePage,0x409128
KERNEL32.dll,LoadLibraryW,0x40912c
KERNEL32.dll,HeapReAlloc,0x409130
KERNEL32.dll,SetFilePointer,0x409134
KERNEL32.dll,GetConsoleCP,0x409138
KERNEL32.dll,GetConsoleMode,0x40913c
KERNEL32.dll,HeapSize,0x409140
KERNEL32.dll,LCMapStringW,0x409144
KERNEL32.dll,MultiByteToWideChar,0x409148
KERNEL32.dll,GetStringTypeW,0x40914c
KERNEL32.dll,SetStdHandle,0x409150
KERNEL32.dll,WriteConsoleW,0x409154
KERNEL32.dll,CreateFileW,0x409158
SHELL32.dll,SHChangeNotify,0x409160
SHELL32.dll,ShellExecuteA,0x409164
SHELL32.dll,ShellExecuteExA,0x409168
