dll,name,address
KERNEL32.dll,GlobalMemoryStatus,0x1006c0f4
KERNEL32.dll,GetVolumeInformationA,0x1006c0f8
KERNEL32.dll,Module32First,0x1006c0fc
KERNEL32.dll,Module32Next,0x1006c100
KERNEL32.dll,Thread32First,0x1006c104
KERNEL32.dll,GetLocalTime,0x1006c108
KERNEL32.dll,GetComputerNameA,0x1006c10c
KERNEL32.dll,FlushConsoleInputBuffer,0x1006c110
KERNEL32.dll,GetCurrentProcessId,0x1006c114
KERNEL32.dll,GetStdHandle,0x1006c118
KERNEL32.dll,GetFileType,0x1006c11c
KERNEL32.dll,GetVersion,0x1006c120
KERNEL32.dll,Thread32Next,0x1006c124
KERNEL32.dll,CreateToolhelp32Snapshot,0x1006c128
KERNEL32.dll,Process32First,0x1006c12c
KERNEL32.dll,Process32Next,0x1006c130
KERNEL32.dll,OpenProcess,0x1006c134
KERNEL32.dll,Toolhelp32ReadProcessMemory,0x1006c138
KERNEL32.dll,GetCurrentThreadId,0x1006c13c
KERNEL32.dll,lstrcpyA,0x1006c140
KERNEL32.dll,GetSystemTime,0x1006c144
KERNEL32.dll,GetWindowsDirectoryA,0x1006c148
KERNEL32.dll,FreeLibrary,0x1006c14c
KERNEL32.dll,GetVersionExA,0x1006c150
KERNEL32.dll,SetLastError,0x1006c154
KERNEL32.dll,GetModuleFileNameA,0x1006c158
KERNEL32.dll,GetCurrentProcess,0x1006c15c
KERNEL32.dll,GetTickCount,0x1006c160
KERNEL32.dll,LocalAlloc,0x1006c164
KERNEL32.dll,LocalFree,0x1006c168
KERNEL32.dll,VirtualAllocEx,0x1006c16c
KERNEL32.dll,VirtualFreeEx,0x1006c170
KERNEL32.dll,TerminateProcess,0x1006c174
KERNEL32.dll,Heap32ListFirst,0x1006c178
KERNEL32.dll,SystemTimeToFileTime,0x1006c17c
KERNEL32.dll,CompareFileTime,0x1006c180
KERNEL32.dll,ExpandEnvironmentStringsA,0x1006c184
KERNEL32.dll,LoadLibraryA,0x1006c188
KERNEL32.dll,GetProcAddress,0x1006c18c
KERNEL32.dll,ResetEvent,0x1006c190
KERNEL32.dll,RemoveDirectoryA,0x1006c194
KERNEL32.dll,GetLastError,0x1006c198
KERNEL32.dll,FindClose,0x1006c19c
KERNEL32.dll,GetFileAttributesExA,0x1006c1a0
KERNEL32.dll,SetErrorMode,0x1006c1a4
KERNEL32.dll,GetDriveTypeA,0x1006c1a8
KERNEL32.dll,GetDiskFreeSpaceExA,0x1006c1ac
KERNEL32.dll,CreateDirectoryA,0x1006c1b0
KERNEL32.dll,CreateFileA,0x1006c1b4
