dll,name,address
KERNEL32.dll,GetVersionExA,0x180154000
KERNEL32.dll,GetVersion,0x180154008
KERNEL32.dll,lstrcpyA,0x180154010
USER32.dll,SystemParametersInfoA,0x180154020
GDI32.dll,CreateCompatibleBitmap,0x180154030
ADVAPI32.dll,GetServiceKeyNameA,0x180154040
SHELL32.dll,SHGetFolderPathA,0x180154050
ole32.dll,CoCreateInstance,0x180154060
WS2_32.dll,listen,0x180154070
WTSAPI32.dll,WTSQuerySessionInformationA,0x180154080
SHLWAPI.dll,PathMatchSpecA,0x180154090
DNSAPI.dll,DnsQuery_A,0x1801540a0
IPHLPAPI.DLL,GetAdaptersInfo,0x1801540b0
Secur32.dll,LsaEnumerateLogonSessions,0x1801540c0
PSAPI.DLL,GetModuleInformation,0x1801540d0
USERENV.dll,DestroyEnvironmentBlock,0x1801540e0
VERSION.dll,VerQueryValueA,0x1801540f0
KERNEL32.dll,GetModuleFileNameW,0x180154100
KERNEL32.dll,GetModuleHandleA,0x180154110
KERNEL32.dll,LoadLibraryA,0x180154118
KERNEL32.dll,LocalAlloc,0x180154120
KERNEL32.dll,LocalFree,0x180154128
KERNEL32.dll,GetModuleFileNameA,0x180154130
KERNEL32.dll,ExitProcess,0x180154138
