dll,name,address
KERNEL32.dll,Module32First,0x407010
KERNEL32.dll,FindNextFileA,0x407014
KERNEL32.dll,FindFirstFileA,0x407018
KERNEL32.dll,GlobalFree,0x40701c
KERNEL32.dll,DeleteFileA,0x407020
KERNEL32.dll,GetExitCodeProcess,0x407024
KERNEL32.dll,CreateProcessA,0x407028
KERNEL32.dll,CopyFileA,0x40702c
KERNEL32.dll,GetTempPathA,0x407030
KERNEL32.dll,GetSystemDirectoryA,0x407034
KERNEL32.dll,GetStartupInfoA,0x407038
KERNEL32.dll,GetStdHandle,0x40703c
KERNEL32.dll,TerminateProcess,0x407040
KERNEL32.dll,CreateToolhelp32Snapshot,0x407044
KERNEL32.dll,AllocConsole,0x407048
KERNEL32.dll,GetEnvironmentVariableA,0x40704c
KERNEL32.dll,lstrcatA,0x407050
KERNEL32.dll,lstrcpyA,0x407054
KERNEL32.dll,GetShortPathNameA,0x407058
KERNEL32.dll,GetModuleFileNameA,0x40705c
KERNEL32.dll,WriteFile,0x407060
KERNEL32.dll,FreeConsole,0x407064
KERNEL32.dll,WinExec,0x407068
KERNEL32.dll,CreateThread,0x40706c
KERNEL32.dll,CreatePipe,0x407070
KERNEL32.dll,ReadFile,0x407074
KERNEL32.dll,PeekNamedPipe,0x407078
KERNEL32.dll,GetLocalTime,0x40707c
KERNEL32.dll,Process32First,0x407080
KERNEL32.dll,CloseHandle,0x407084
KERNEL32.dll,OpenProcess,0x407088
KERNEL32.dll,Process32Next,0x40708c
KERNEL32.dll,GetLastError,0x407090
KERNEL32.dll,Sleep,0x407094
ADVAPI32.dll,OpenProcessToken,0x407000
ADVAPI32.dll,GetTokenInformation,0x407004
ADVAPI32.dll,LookupAccountSidA,0x407008
SHELL32.dll,ShellExecuteA,0x40715c
MSVCP60.dll,?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x40709c
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x4070a0
MSVCP60.dll,?_Xlen@std@@YAXXZ,0x4070a4
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x4070a8
WININET.dll,InternetWriteFile,0x407164
WININET.dll,HttpEndRequestA,0x407168
WININET.dll,InternetQueryOptionA,0x40716c
WININET.dll,InternetSetOptionA,0x407170
WININET.dll,HttpSendRequestExA,0x407174
WININET.dll,HttpAddRequestHeadersA,0x407178
WININET.dll,HttpSendRequestA,0x40717c
WININET.dll,InternetCrackUrlA,0x407180
WININET.dll,InternetOpenA,0x407184
WININET.dll,InternetConnectA,0x407188
WININET.dll,InternetReadFile,0x40718c
WININET.dll,HttpQueryInfoA,0x407190
WININET.dll,HttpOpenRequestA,0x407194
WININET.dll,InternetCloseHandle,0x407198
MSVCRT.dll,__set_app_type,0x4070b0
MSVCRT.dll,_except_handler3,0x4070b4
MSVCRT.dll,__p__fmode,0x4070b8
MSVCRT.dll,__p__commode,0x4070bc
MSVCRT.dll,_adjust_fdiv,0x4070c0
MSVCRT.dll,_controlfp,0x4070c4
MSVCRT.dll,__setusermatherr,0x4070c8
MSVCRT.dll,_initterm,0x4070cc
MSVCRT.dll,__getmainargs,0x4070d0
MSVCRT.dll,__p___initenv,0x4070d4
MSVCRT.dll,exit,0x4070d8
MSVCRT.dll,_XcptFilter,0x4070dc
MSVCRT.dll,_exit,0x4070e0
MSVCRT.dll,_onexit,0x4070e4
MSVCRT.dll,__dllonexit,0x4070e8
MSVCRT.dll,system,0x4070ec
MSVCRT.dll,ftell,0x4070f0
MSVCRT.dll,fread,0x4070f4
MSVCRT.dll,free,0x4070f8
MSVCRT.dll,malloc,0x4070fc
MSVCRT.dll,strncmp,0x407100
MSVCRT.dll,__CxxFrameHandler,0x407104
MSVCRT.dll,sprintf,0x407108
MSVCRT.dll,atoi,0x40710c
MSVCRT.dll,getenv,0x407110
MSVCRT.dll,printf,0x407114
MSVCRT.dll,freopen,0x407118
MSVCRT.dll,_iob,0x40711c
MSVCRT.dll,rand,0x407120
MSVCRT.dll,srand,0x407124
MSVCRT.dll,time,0x407128
MSVCRT.dll,strstr,0x40712c
MSVCRT.dll,_itoa,0x407130
MSVCRT.dll,strtok,0x407134
MSVCRT.dll,scanf,0x407138
MSVCRT.dll,fflush,0x40713c
MSVCRT.dll,strftime,0x407140
MSVCRT.dll,localtime,0x407144
MSVCRT.dll,fclose,0x407148
MSVCRT.dll,fwrite,0x40714c
MSVCRT.dll,fseek,0x407150
MSVCRT.dll,fopen,0x407154
WS2_32.dll,gethostbyname,0x4071a0
WS2_32.dll,gethostname,0x4071a4
WS2_32.dll,WSAStartup,0x4071a8
WS2_32.dll,inet_ntoa,0x4071ac
