dll,name,address
KERNEL32.dll,OutputDebugStringA,0x180008000
KERNEL32.dll,GetModuleFileNameA,0x180008008
KERNEL32.dll,ExitProcess,0x180008010
KERNEL32.dll,VirtualAlloc,0x180008018
KERNEL32.dll,VirtualProtect,0x180008020
KERNEL32.dll,VirtualFree,0x180008028
KERNEL32.dll,GetProcAddress,0x180008030
KERNEL32.dll,LoadLibraryA,0x180008038
KERNEL32.dll,IsBadReadPtr,0x180008040
KERNEL32.dll,HeapFree,0x180008048
KERNEL32.dll,GetProcessHeap,0x180008050
KERNEL32.dll,FreeLibrary,0x180008058
KERNEL32.dll,HeapAlloc,0x180008060
KERNEL32.dll,GetCurrentThreadId,0x180008068
KERNEL32.dll,FlsSetValue,0x180008070
KERNEL32.dll,GetCommandLineA,0x180008078
KERNEL32.dll,GetLastError,0x180008080
KERNEL32.dll,HeapReAlloc,0x180008088
KERNEL32.dll,TerminateProcess,0x180008090
KERNEL32.dll,GetCurrentProcess,0x180008098
KERNEL32.dll,UnhandledExceptionFilter,0x1800080a0
KERNEL32.dll,SetUnhandledExceptionFilter,0x1800080a8
KERNEL32.dll,IsDebuggerPresent,0x1800080b0
KERNEL32.dll,RtlVirtualUnwind,0x1800080b8
KERNEL32.dll,RtlLookupFunctionEntry,0x1800080c0
KERNEL32.dll,RtlCaptureContext,0x1800080c8
KERNEL32.dll,RtlUnwindEx,0x1800080d0
KERNEL32.dll,EncodePointer,0x1800080d8
KERNEL32.dll,FlsGetValue,0x1800080e0
KERNEL32.dll,FlsFree,0x1800080e8
KERNEL32.dll,SetLastError,0x1800080f0
KERNEL32.dll,FlsAlloc,0x1800080f8
KERNEL32.dll,Sleep,0x180008100
KERNEL32.dll,GetModuleHandleW,0x180008108
KERNEL32.dll,DecodePointer,0x180008110
KERNEL32.dll,SetHandleCount,0x180008118
KERNEL32.dll,GetStdHandle,0x180008120
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x180008128
KERNEL32.dll,GetFileType,0x180008130
KERNEL32.dll,GetStartupInfoW,0x180008138
KERNEL32.dll,DeleteCriticalSection,0x180008140
KERNEL32.dll,FreeEnvironmentStringsW,0x180008148
KERNEL32.dll,WideCharToMultiByte,0x180008150
KERNEL32.dll,GetEnvironmentStringsW,0x180008158
KERNEL32.dll,HeapSetInformation,0x180008160
KERNEL32.dll,GetVersion,0x180008168
KERNEL32.dll,HeapCreate,0x180008170
KERNEL32.dll,HeapDestroy,0x180008178
KERNEL32.dll,QueryPerformanceCounter,0x180008180
KERNEL32.dll,GetTickCount,0x180008188
KERNEL32.dll,GetCurrentProcessId,0x180008190
KERNEL32.dll,GetSystemTimeAsFileTime,0x180008198
KERNEL32.dll,RaiseException,0x1800081a0
KERNEL32.dll,RtlPcToFileHeader,0x1800081a8
KERNEL32.dll,GetCPInfo,0x1800081b0
KERNEL32.dll,GetACP,0x1800081b8
KERNEL32.dll,GetOEMCP,0x1800081c0
KERNEL32.dll,IsValidCodePage,0x1800081c8
KERNEL32.dll,LCMapStringW,0x1800081d0
KERNEL32.dll,MultiByteToWideChar,0x1800081d8
KERNEL32.dll,LeaveCriticalSection,0x1800081e0
KERNEL32.dll,EnterCriticalSection,0x1800081e8
KERNEL32.dll,LoadLibraryW,0x1800081f0
KERNEL32.dll,WriteFile,0x1800081f8
KERNEL32.dll,GetModuleFileNameW,0x180008200
KERNEL32.dll,HeapSize,0x180008208
KERNEL32.dll,GetStringTypeW,0x180008210
