dll,name,address
KERNEL32.DLL,HeapAlloc,0x482158
KERNEL32.DLL,Sleep,0x48215c
KERNEL32.DLL,GetCurrentThreadId,0x482160
KERNEL32.DLL,RaiseException,0x482164
KERNEL32.DLL,MulDiv,0x482168
KERNEL32.DLL,GetVersionExW,0x48216c
KERNEL32.DLL,GetSystemInfo,0x482170
KERNEL32.DLL,MultiByteToWideChar,0x482174
KERNEL32.DLL,WideCharToMultiByte,0x482178
KERNEL32.DLL,GetModuleHandleW,0x48217c
KERNEL32.DLL,QueryPerformanceCounter,0x482180
KERNEL32.DLL,VirtualFreeEx,0x482184
KERNEL32.DLL,OpenProcess,0x482188
KERNEL32.DLL,VirtualAllocEx,0x48218c
KERNEL32.DLL,WriteProcessMemory,0x482190
KERNEL32.DLL,ReadProcessMemory,0x482194
KERNEL32.DLL,CreateFileW,0x482198
KERNEL32.DLL,SetFilePointerEx,0x48219c
KERNEL32.DLL,ReadFile,0x4821a0
KERNEL32.DLL,WriteFile,0x4821a4
KERNEL32.DLL,FlushFileBuffers,0x4821a8
KERNEL32.DLL,TerminateProcess,0x4821ac
KERNEL32.DLL,CreateToolhelp32Snapshot,0x4821b0
KERNEL32.DLL,Process32FirstW,0x4821b4
KERNEL32.DLL,Process32NextW,0x4821b8
KERNEL32.DLL,SetFileTime,0x4821bc
KERNEL32.DLL,GetFileAttributesW,0x4821c0
KERNEL32.DLL,FindFirstFileW,0x4821c4
KERNEL32.DLL,FindClose,0x4821c8
KERNEL32.DLL,DeleteFileW,0x4821cc
KERNEL32.DLL,FindNextFileW,0x4821d0
KERNEL32.DLL,lstrcmpiW,0x4821d4
KERNEL32.DLL,MoveFileW,0x4821d8
KERNEL32.DLL,CopyFileW,0x4821dc
KERNEL32.DLL,CreateDirectoryW,0x4821e0
KERNEL32.DLL,RemoveDirectoryW,0x4821e4
KERNEL32.DLL,SetSystemPowerState,0x4821e8
KERNEL32.DLL,QueryPerformanceFrequency,0x4821ec
KERNEL32.DLL,FindResourceW,0x4821f0
KERNEL32.DLL,LoadResource,0x4821f4
KERNEL32.DLL,LockResource,0x4821f8
KERNEL32.DLL,SizeofResource,0x4821fc
KERNEL32.DLL,GetProcessHeap,0x482200
KERNEL32.DLL,OutputDebugStringW,0x482204
KERNEL32.DLL,GetLocalTime,0x482208
KERNEL32.DLL,CompareStringW,0x48220c
KERNEL32.DLL,CompareStringA,0x482210
KERNEL32.DLL,InterlockedIncrement,0x482214
KERNEL32.DLL,InterlockedDecrement,0x482218
KERNEL32.DLL,DeleteCriticalSection,0x48221c
KERNEL32.DLL,EnterCriticalSection,0x482220
KERNEL32.DLL,LeaveCriticalSection,0x482224
KERNEL32.DLL,InitializeCriticalSectionAndSpinCount,0x482228
KERNEL32.DLL,GetStdHandle,0x48222c
KERNEL32.DLL,CreatePipe,0x482230
KERNEL32.DLL,InterlockedExchange,0x482234
KERNEL32.DLL,TerminateThread,0x482238
KERNEL32.DLL,GetTempPathW,0x48223c
KERNEL32.DLL,GetTempFileNameW,0x482240
KERNEL32.DLL,VirtualFree,0x482244
KERNEL32.DLL,FormatMessageW,0x482248
KERNEL32.DLL,GetExitCodeProcess,0x48224c
KERNEL32.DLL,SetErrorMode,0x482250
KERNEL32.DLL,GetPrivateProfileStringW,0x482254
KERNEL32.DLL,WritePrivateProfileStringW,0x482258
KERNEL32.DLL,GetPrivateProfileSectionW,0x48225c
KERNEL32.DLL,WritePrivateProfileSectionW,0x482260
KERNEL32.DLL,GetPrivateProfileSectionNamesW,0x482264
KERNEL32.DLL,FileTimeToLocalFileTime,0x482268
KERNEL32.DLL,FileTimeToSystemTime,0x48226c
KERNEL32.DLL,SystemTimeToFileTime,0x482270
KERNEL32.DLL,LocalFileTimeToFileTime,0x482274
KERNEL32.DLL,GetDriveTypeW,0x482278
KERNEL32.DLL,GetDiskFreeSpaceExW,0x48227c
KERNEL32.DLL,GetDiskFreeSpaceW,0x482280
KERNEL32.DLL,GetVolumeInformationW,0x482284
KERNEL32.DLL,SetVolumeLabelW,0x482288
KERNEL32.DLL,CreateHardLinkW,0x48228c
KERNEL32.DLL,DeviceIoControl,0x482290
KERNEL32.DLL,SetFileAttributesW,0x482294
KERNEL32.DLL,GetShortPathNameW,0x482298
KERNEL32.DLL,CreateEventW,0x48229c
KERNEL32.DLL,SetEvent,0x4822a0
KERNEL32.DLL,GetEnvironmentVariableW,0x4822a4
KERNEL32.DLL,SetEnvironmentVariableW,0x4822a8
KERNEL32.DLL,GlobalLock,0x4822ac
KERNEL32.DLL,GlobalUnlock,0x4822b0
KERNEL32.DLL,GlobalAlloc,0x4822b4
KERNEL32.DLL,GetFileSize,0x4822b8
KERNEL32.DLL,GlobalFree,0x4822bc
KERNEL32.DLL,GlobalMemoryStatusEx,0x4822c0
KERNEL32.DLL,Beep,0x4822c4
KERNEL32.DLL,GetComputerNameW,0x4822c8
KERNEL32.DLL,GetWindowsDirectoryW,0x4822cc
KERNEL32.DLL,GetSystemDirectoryW,0x4822d0
KERNEL32.DLL,GetCurrentProcessId,0x4822d4
KERNEL32.DLL,GetCurrentThread,0x4822d8
KERNEL32.DLL,GetProcessIoCounters,0x4822dc
KERNEL32.DLL,CreateProcessW,0x4822e0
KERNEL32.DLL,SetPriorityClass,0x4822e4
KERNEL32.DLL,LoadLibraryW,0x4822e8
KERNEL32.DLL,VirtualAlloc,0x4822ec
KERNEL32.DLL,LoadLibraryExW,0x4822f0
KERNEL32.DLL,HeapFree,0x4822f4
KERNEL32.DLL,WaitForSingleObject,0x4822f8
KERNEL32.DLL,CreateThread,0x4822fc
