dll,name,address
KERNEL32.dll,GetCurrentProcess,0x407018
KERNEL32.dll,OpenProcess,0x40701c
KERNEL32.dll,Sleep,0x407020
KERNEL32.dll,TerminateProcess,0x407024
KERNEL32.dll,MultiByteToWideChar,0x407028
KERNEL32.dll,GetTempPathA,0x40702c
KERNEL32.dll,SetFileAttributesA,0x407030
KERNEL32.dll,CreateMutexA,0x407034
KERNEL32.dll,SetLastError,0x407038
KERNEL32.dll,GetLongPathNameA,0x40703c
KERNEL32.dll,GetModuleFileNameA,0x407040
KERNEL32.dll,CreateProcessA,0x407044
KERNEL32.dll,CopyFileA,0x407048
KERNEL32.dll,lstrcmpiA,0x40704c
KERNEL32.dll,CloseHandle,0x407050
KERNEL32.dll,lstrcpyA,0x407054
KERNEL32.dll,ReleaseMutex,0x407058
KERNEL32.dll,SetProcessPriorityBoost,0x40705c
KERNEL32.dll,SetThreadPriority,0x407060
KERNEL32.dll,GetCurrentThread,0x407064
KERNEL32.dll,SetPriorityClass,0x407068
KERNEL32.dll,GetEnvironmentVariableA,0x40706c
KERNEL32.dll,GetShortPathNameA,0x407070
KERNEL32.dll,CreateRemoteThread,0x407074
KERNEL32.dll,WriteProcessMemory,0x407078
KERNEL32.dll,VirtualAllocEx,0x40707c
KERNEL32.dll,WaitForSingleObject,0x407080
KERNEL32.dll,CreateThread,0x407084
KERNEL32.dll,GetModuleHandleA,0x407088
KERNEL32.dll,LoadLibraryA,0x40708c
KERNEL32.dll,GetProcAddress,0x407090
KERNEL32.dll,GetLastError,0x407094
KERNEL32.dll,OutputDebugStringA,0x407098
KERNEL32.dll,lstrcatA,0x40709c
KERNEL32.dll,GetStartupInfoA,0x4070a0
ADVAPI32.dll,GetTokenInformation,0x407000
ADVAPI32.dll,LookupAccountSidA,0x407004
ADVAPI32.dll,OpenProcessToken,0x407008
ADVAPI32.dll,LookupPrivilegeValueA,0x40700c
ADVAPI32.dll,AdjustTokenPrivileges,0x407010
MSVCRT.dll,fwrite,0x4070a8
MSVCRT.dll,_filelength,0x4070ac
MSVCRT.dll,fseek,0x4070b0
MSVCRT.dll,sprintf,0x4070b4
MSVCRT.dll,fopen,0x4070b8
MSVCRT.dll,strcpy,0x4070bc
MSVCRT.dll,memset,0x4070c0
MSVCRT.dll,fread,0x4070c4
MSVCRT.dll,memcpy,0x4070c8
MSVCRT.dll,free,0x4070cc
MSVCRT.dll,realloc,0x4070d0
MSVCRT.dll,malloc,0x4070d4
MSVCRT.dll,printf,0x4070d8
MSVCRT.dll,strlen,0x4070dc
MSVCRT.dll,wprintf,0x4070e0
MSVCRT.dll,??3@YAXPAX@Z,0x4070e4
MSVCRT.dll,??2@YAPAXI@Z,0x4070e8
MSVCRT.dll,_except_handler3,0x4070ec
MSVCRT.dll,__dllonexit,0x4070f0
MSVCRT.dll,_onexit,0x4070f4
MSVCRT.dll,_exit,0x4070f8
MSVCRT.dll,_XcptFilter,0x4070fc
MSVCRT.dll,exit,0x407100
MSVCRT.dll,_acmdln,0x407104
MSVCRT.dll,__getmainargs,0x407108
MSVCRT.dll,_initterm,0x40710c
MSVCRT.dll,__setusermatherr,0x407110
MSVCRT.dll,_adjust_fdiv,0x407114
MSVCRT.dll,__p__commode,0x407118
MSVCRT.dll,__p__fmode,0x40711c
MSVCRT.dll,__set_app_type,0x407120
MSVCRT.dll,_controlfp,0x407124
MSVCRT.dll,fclose,0x407128
MSVCRT.dll,_wcsnicmp,0x40712c
SHELL32.dll,ShellExecuteExA,0x407134
