dll,name,address
kernel32.dll,DeleteCriticalSection,0x46a17c
kernel32.dll,LeaveCriticalSection,0x46a180
kernel32.dll,EnterCriticalSection,0x46a184
kernel32.dll,InitializeCriticalSection,0x46a188
kernel32.dll,VirtualFree,0x46a18c
kernel32.dll,VirtualAlloc,0x46a190
kernel32.dll,LocalFree,0x46a194
kernel32.dll,LocalAlloc,0x46a198
kernel32.dll,GetVersion,0x46a19c
kernel32.dll,GetCurrentThreadId,0x46a1a0
kernel32.dll,InterlockedDecrement,0x46a1a4
kernel32.dll,InterlockedIncrement,0x46a1a8
kernel32.dll,VirtualQuery,0x46a1ac
kernel32.dll,WideCharToMultiByte,0x46a1b0
kernel32.dll,MultiByteToWideChar,0x46a1b4
kernel32.dll,lstrlenA,0x46a1b8
kernel32.dll,lstrcpynA,0x46a1bc
kernel32.dll,LoadLibraryExA,0x46a1c0
kernel32.dll,GetThreadLocale,0x46a1c4
kernel32.dll,GetStartupInfoA,0x46a1c8
kernel32.dll,GetProcAddress,0x46a1cc
kernel32.dll,GetModuleHandleA,0x46a1d0
kernel32.dll,GetModuleFileNameA,0x46a1d4
kernel32.dll,GetLocaleInfoA,0x46a1d8
kernel32.dll,GetLastError,0x46a1dc
kernel32.dll,GetCommandLineA,0x46a1e0
kernel32.dll,FreeLibrary,0x46a1e4
kernel32.dll,FindFirstFileA,0x46a1e8
kernel32.dll,FindClose,0x46a1ec
kernel32.dll,ExitProcess,0x46a1f0
kernel32.dll,WriteFile,0x46a1f4
kernel32.dll,UnhandledExceptionFilter,0x46a1f8
kernel32.dll,SetFilePointer,0x46a1fc
kernel32.dll,SetEndOfFile,0x46a200
kernel32.dll,RtlUnwind,0x46a204
kernel32.dll,ReadFile,0x46a208
kernel32.dll,RaiseException,0x46a20c
kernel32.dll,GetStdHandle,0x46a210
kernel32.dll,GetFileSize,0x46a214
kernel32.dll,GetFileType,0x46a218
kernel32.dll,CreateFileA,0x46a21c
kernel32.dll,CloseHandle,0x46a220
user32.dll,GetKeyboardType,0x46a228
user32.dll,LoadStringA,0x46a22c
user32.dll,MessageBoxA,0x46a230
user32.dll,CharNextA,0x46a234
advapi32.dll,RegQueryValueExA,0x46a23c
advapi32.dll,RegOpenKeyExA,0x46a240
advapi32.dll,RegCloseKey,0x46a244
oleaut32.dll,SysFreeString,0x46a24c
oleaut32.dll,SysReAllocStringLen,0x46a250
oleaut32.dll,SysAllocStringLen,0x46a254
kernel32.dll,TlsSetValue,0x46a25c
kernel32.dll,TlsGetValue,0x46a260
kernel32.dll,LocalAlloc,0x46a264
kernel32.dll,GetModuleHandleA,0x46a268
advapi32.dll,RegQueryValueExA,0x46a270
advapi32.dll,RegOpenKeyExA,0x46a274
advapi32.dll,RegCloseKey,0x46a278
kernel32.dll,lstrcpyA,0x46a280
kernel32.dll,WriteFile,0x46a284
kernel32.dll,WaitForSingleObject,0x46a288
kernel32.dll,VirtualQuery,0x46a28c
kernel32.dll,VirtualAlloc,0x46a290
kernel32.dll,Sleep,0x46a294
kernel32.dll,SizeofResource,0x46a298
kernel32.dll,SetThreadLocale,0x46a29c
kernel32.dll,SetFilePointer,0x46a2a0
kernel32.dll,SetEvent,0x46a2a4
kernel32.dll,SetErrorMode,0x46a2a8
kernel32.dll,SetEndOfFile,0x46a2ac
kernel32.dll,ResetEvent,0x46a2b0
kernel32.dll,ReadFile,0x46a2b4
kernel32.dll,MulDiv,0x46a2b8
kernel32.dll,LockResource,0x46a2bc
kernel32.dll,LoadResource,0x46a2c0
kernel32.dll,LoadLibraryA,0x46a2c4
kernel32.dll,LeaveCriticalSection,0x46a2c8
kernel32.dll,InitializeCriticalSection,0x46a2cc
kernel32.dll,GlobalUnlock,0x46a2d0
kernel32.dll,GlobalReAlloc,0x46a2d4
kernel32.dll,GlobalHandle,0x46a2d8
kernel32.dll,GlobalLock,0x46a2dc
kernel32.dll,GlobalFree,0x46a2e0
kernel32.dll,GlobalFindAtomA,0x46a2e4
kernel32.dll,GlobalDeleteAtom,0x46a2e8
kernel32.dll,GlobalAlloc,0x46a2ec
kernel32.dll,GlobalAddAtomA,0x46a2f0
kernel32.dll,GetVersionExA,0x46a2f4
kernel32.dll,GetVersion,0x46a2f8
kernel32.dll,GetTickCount,0x46a2fc
kernel32.dll,GetThreadLocale,0x46a300
kernel32.dll,GetTempPathA,0x46a304
kernel32.dll,GetSystemInfo,0x46a308
kernel32.dll,GetStringTypeExA,0x46a30c
kernel32.dll,GetStdHandle,0x46a310
kernel32.dll,GetProfileStringA,0x46a314
kernel32.dll,GetProcAddress,0x46a318
kernel32.dll,GetModuleHandleA,0x46a31c
kernel32.dll,GetModuleFileNameA,0x46a320
kernel32.dll,GetLocaleInfoA,0x46a324
kernel32.dll,GetLocalTime,0x46a328
kernel32.dll,GetLastError,0x46a32c
kernel32.dll,GetFullPathNameA,0x46a330
kernel32.dll,GetFileAttributesA,0x46a334
kernel32.dll,GetDiskFreeSpaceA,0x46a338
kernel32.dll,GetDateFormatA,0x46a33c
kernel32.dll,GetCurrentThreadId,0x46a340
kernel32.dll,GetCurrentProcessId,0x46a344
kernel32.dll,GetCPInfo,0x46a348
kernel32.dll,GetACP,0x46a34c
kernel32.dll,FreeResource,0x46a350
kernel32.dll,InterlockedExchange,0x46a354
kernel32.dll,FreeLibrary,0x46a358
kernel32.dll,FormatMessageA,0x46a35c
kernel32.dll,FindResourceA,0x46a360
kernel32.dll,FindFirstFileA,0x46a364
kernel32.dll,FindClose,0x46a368
kernel32.dll,FileTimeToLocalFileTime,0x46a36c
kernel32.dll,FileTimeToDosDateTime,0x46a370
kernel32.dll,ExitThread,0x46a374
kernel32.dll,ExitProcess,0x46a378
kernel32.dll,EnumCalendarInfoA,0x46a37c
kernel32.dll,EnterCriticalSection,0x46a380
kernel32.dll,DeleteCriticalSection,0x46a384
kernel32.dll,CreateThread,0x46a388
kernel32.dll,CreateFileA,0x46a38c
kernel32.dll,CreateEventA,0x46a390
kernel32.dll,CopyFileA,0x46a394
kernel32.dll,CompareStringA,0x46a398
kernel32.dll,CloseHandle,0x46a39c
version.dll,VerQueryValueA,0x46a3a4
version.dll,GetFileVersionInfoSizeA,0x46a3a8
version.dll,GetFileVersionInfoA,0x46a3ac
gdi32.dll,UnrealizeObject,0x46a3b4
gdi32.dll,StretchBlt,0x46a3b8
gdi32.dll,StartPage,0x46a3bc
gdi32.dll,StartDocA,0x46a3c0
gdi32.dll,SetWindowOrgEx,0x46a3c4
gdi32.dll,SetWinMetaFileBits,0x46a3c8
gdi32.dll,SetViewportOrgEx,0x46a3cc
gdi32.dll,SetTextColor,0x46a3d0
gdi32.dll,SetStretchBltMode,0x46a3d4
gdi32.dll,SetROP2,0x46a3d8
gdi32.dll,SetPixel,0x46a3dc
gdi32.dll,SetMapMode,0x46a3e0
gdi32.dll,SetEnhMetaFileBits,0x46a3e4
gdi32.dll,SetDIBColorTable,0x46a3e8
gdi32.dll,SetBrushOrgEx,0x46a3ec
