dll,name,address
KERNEL32.dll,GetVersionExA,0x1011f000
KERNEL32.dll,MultiByteToWideChar,0x1011f004
USER32.dll,MapVirtualKeyA,0x1011f00c
GDI32.dll,RealizePalette,0x1011f014
ADVAPI32.dll,CreateProcessAsUserA,0x1011f01c
SHELL32.dll,SHGetFolderPathA,0x1011f024
ole32.dll,CoCreateInstance,0x1011f02c
WS2_32.dll,ntohs,0x1011f034
SHLWAPI.dll,PathFileExistsA,0x1011f03c
DNSAPI.dll,DnsFlushResolverCache,0x1011f044
Secur32.dll,LsaFreeReturnBuffer,0x1011f04c
PSAPI.DLL,EnumProcessModules,0x1011f054
WTSAPI32.dll,WTSFreeMemory,0x1011f05c
USERENV.dll,DestroyEnvironmentBlock,0x1011f064
VERSION.dll,VerQueryValueA,0x1011f06c
KERNEL32.dll,GetModuleFileNameW,0x1011f074
KERNEL32.dll,GetModuleHandleA,0x1011f07c
KERNEL32.dll,LoadLibraryA,0x1011f080
KERNEL32.dll,LocalAlloc,0x1011f084
KERNEL32.dll,LocalFree,0x1011f088
KERNEL32.dll,GetModuleFileNameA,0x1011f08c
KERNEL32.dll,ExitProcess,0x1011f090
