dll,name,address
MSVCRT.dll,_controlfp,0x40408c
MSVCRT.dll,_except_handler3,0x404090
MSVCRT.dll,__set_app_type,0x404094
MSVCRT.dll,__p__fmode,0x404098
MSVCRT.dll,__p__commode,0x40409c
MSVCRT.dll,_adjust_fdiv,0x4040a0
MSVCRT.dll,??3@YAXPAX@Z,0x4040a4
MSVCRT.dll,__setusermatherr,0x4040a8
MSVCRT.dll,_initterm,0x4040ac
MSVCRT.dll,__getmainargs,0x4040b0
MSVCRT.dll,_acmdln,0x4040b4
MSVCRT.dll,exit,0x4040b8
MSVCRT.dll,_XcptFilter,0x4040bc
MSVCRT.dll,_exit,0x4040c0
MSVCRT.dll,strncat,0x4040c4
MSVCRT.dll,rand,0x4040c8
MSVCRT.dll,fseek,0x4040cc
MSVCRT.dll,fread,0x4040d0
MSVCRT.dll,ftell,0x4040d4
MSVCRT.dll,fopen,0x4040d8
MSVCRT.dll,fwrite,0x4040dc
MSVCRT.dll,fflush,0x4040e0
MSVCRT.dll,fclose,0x4040e4
MSVCRT.dll,sprintf,0x4040e8
MSVCRT.dll,sscanf,0x4040ec
MSVCRT.dll,_strnicmp,0x4040f0
MSVCRT.dll,strrchr,0x4040f4
MSVCRT.dll,time,0x4040f8
MSVCRT.dll,srand,0x4040fc
MSVCRT.dll,strncmp,0x404100
MSVCRT.dll,_snprintf,0x404104
MSVCRT.dll,malloc,0x404108
MSVCRT.dll,free,0x40410c
MSVCRT.dll,strstr,0x404110
MSVCRT.dll,strchr,0x404114
MSVCRT.dll,??2@YAPAXI@Z,0x404118
KERNEL32.dll,GetExitCodeThread,0x404000
KERNEL32.dll,GetModuleHandleA,0x404004
KERNEL32.dll,GetShortPathNameA,0x404008
KERNEL32.dll,GetEnvironmentVariableA,0x40400c
KERNEL32.dll,lstrcpyA,0x404010
KERNEL32.dll,lstrcatA,0x404014
KERNEL32.dll,GetCurrentProcess,0x404018
KERNEL32.dll,SetPriorityClass,0x40401c
KERNEL32.dll,GetCurrentThread,0x404020
KERNEL32.dll,SetThreadPriority,0x404024
KERNEL32.dll,SetProcessPriorityBoost,0x404028
KERNEL32.dll,GetCurrentDirectoryA,0x40402c
KERNEL32.dll,CopyFileA,0x404030
KERNEL32.dll,DeleteFileA,0x404034
KERNEL32.dll,GetModuleFileNameA,0x404038
KERNEL32.dll,FreeLibrary,0x40403c
KERNEL32.dll,WriteFile,0x404040
KERNEL32.dll,GetTempPathA,0x404044
KERNEL32.dll,PeekNamedPipe,0x404048
KERNEL32.dll,ReadFile,0x40404c
KERNEL32.dll,LoadLibraryA,0x404050
KERNEL32.dll,GetProcAddress,0x404054
KERNEL32.dll,GetSystemDirectoryA,0x404058
KERNEL32.dll,Sleep,0x40405c
KERNEL32.dll,CreatePipe,0x404060
KERNEL32.dll,GetStartupInfoA,0x404064
KERNEL32.dll,CreateProcessA,0x404068
KERNEL32.dll,GetLastError,0x40406c
KERNEL32.dll,CreateThread,0x404070
KERNEL32.dll,WaitForMultipleObjects,0x404074
KERNEL32.dll,TerminateThread,0x404078
KERNEL32.dll,GetExitCodeProcess,0x40407c
KERNEL32.dll,TerminateProcess,0x404080
KERNEL32.dll,CloseHandle,0x404084
USER32.dll,LoadStringA,0x40412c
SHELL32.dll,ShellExecuteExA,0x404120
SHELL32.dll,SHChangeNotify,0x404124
WININET.dll,HttpSendRequestA,0x404134
WININET.dll,HttpOpenRequestA,0x404138
WININET.dll,InternetCloseHandle,0x40413c
WININET.dll,InternetConnectA,0x404140
WININET.dll,InternetOpenA,0x404144
WININET.dll,InternetOpenUrlA,0x404148
