dll,name,address
KERNEL32.dll,lstrcpyA,0x10004038
KERNEL32.dll,GetModuleFileNameA,0x1000403c
KERNEL32.dll,TerminateThread,0x10004040
KERNEL32.dll,HeapReAlloc,0x10004044
KERNEL32.dll,FreeLibrary,0x10004048
KERNEL32.dll,GetCurrentProcess,0x1000404c
KERNEL32.dll,GetLastError,0x10004050
KERNEL32.dll,FreeConsole,0x10004054
KERNEL32.dll,GetCurrentThreadId,0x10004058
KERNEL32.dll,HeapFree,0x1000405c
KERNEL32.dll,IsBadReadPtr,0x10004060
KERNEL32.dll,LoadLibraryA,0x10004064
KERNEL32.dll,GetProcAddress,0x10004068
KERNEL32.dll,VirtualProtect,0x1000406c
KERNEL32.dll,GetProcessHeap,0x10004070
KERNEL32.dll,HeapAlloc,0x10004074
KERNEL32.dll,Sleep,0x10004078
KERNEL32.dll,CancelIo,0x1000407c
KERNEL32.dll,InterlockedExchange,0x10004080
KERNEL32.dll,SetEvent,0x10004084
KERNEL32.dll,ResetEvent,0x10004088
KERNEL32.dll,WaitForSingleObject,0x1000408c
KERNEL32.dll,InitializeCriticalSection,0x10004090
KERNEL32.dll,CloseHandle,0x10004094
KERNEL32.dll,CreateEventA,0x10004098
KERNEL32.dll,VirtualAlloc,0x1000409c
KERNEL32.dll,EnterCriticalSection,0x100040a0
KERNEL32.dll,LeaveCriticalSection,0x100040a4
KERNEL32.dll,VirtualFree,0x100040a8
KERNEL32.dll,DeleteCriticalSection,0x100040ac
KERNEL32.dll,GetVersionExA,0x100040b0
USER32.dll,wsprintfA,0x100040f0
USER32.dll,SetProcessWindowStation,0x100040f4
USER32.dll,OpenWindowStationA,0x100040f8
USER32.dll,GetProcessWindowStation,0x100040fc
USER32.dll,CloseDesktop,0x10004100
USER32.dll,SetThreadDesktop,0x10004104
USER32.dll,OpenInputDesktop,0x10004108
USER32.dll,GetUserObjectInformationA,0x1000410c
USER32.dll,GetThreadDesktop,0x10004110
USER32.dll,OpenDesktopA,0x10004114
ADVAPI32.dll,OpenProcessToken,0x10004000
ADVAPI32.dll,LookupPrivilegeValueA,0x10004004
ADVAPI32.dll,AdjustTokenPrivileges,0x10004008
ADVAPI32.dll,RegCloseKey,0x1000400c
ADVAPI32.dll,RegSetValueExA,0x10004010
ADVAPI32.dll,RegOpenKeyExA,0x10004014
ADVAPI32.dll,RegQueryValueExA,0x10004018
ADVAPI32.dll,CreateProcessAsUserA,0x1000401c
ADVAPI32.dll,SetTokenInformation,0x10004020
ADVAPI32.dll,DuplicateTokenEx,0x10004024
ADVAPI32.dll,SetServiceStatus,0x10004028
ADVAPI32.dll,RegOpenKeyA,0x1000402c
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10004030
MSVCRT.dll,??1type_info@@UAE@XZ,0x100040b8
MSVCRT.dll,_adjust_fdiv,0x100040bc
MSVCRT.dll,malloc,0x100040c0
MSVCRT.dll,_initterm,0x100040c4
MSVCRT.dll,free,0x100040c8
MSVCRT.dll,_beginthreadex,0x100040cc
MSVCRT.dll,atoi,0x100040d0
MSVCRT.dll,strncpy,0x100040d4
MSVCRT.dll,memmove,0x100040d8
MSVCRT.dll,ceil,0x100040dc
MSVCRT.dll,_ftol,0x100040e0
MSVCRT.dll,__CxxFrameHandler,0x100040e4
MSVCRT.dll,_CxxThrowException,0x100040e8
WS2_32.dll,WSAStartup,0x10004124
WS2_32.dll,connect,0x10004128
WS2_32.dll,htons,0x1000412c
WS2_32.dll,gethostbyname,0x10004130
WS2_32.dll,WSAIoctl,0x10004134
WS2_32.dll,select,0x10004138
WS2_32.dll,recv,0x1000413c
WS2_32.dll,closesocket,0x10004140
WS2_32.dll,send,0x10004144
WS2_32.dll,socket,0x10004148
WS2_32.dll,WSACleanup,0x1000414c
WS2_32.dll,setsockopt,0x10004150
WTSAPI32.dll,WTSQueryUserToken,0x10004158
USERENV.dll,CreateEnvironmentBlock,0x1000411c
