dll,name,address
SHLWAPI.dll,StrStrIW,0x10085304
SHLWAPI.dll,StrToIntExA,0x10085308
SHLWAPI.dll,StrToIntA,0x1008530c
SHLWAPI.dll,PathFileExistsW,0x10085310
SHLWAPI.dll,StrCpyW,0x10085314
SHLWAPI.dll,StrToIntW,0x10085318
SHLWAPI.dll,PathStripPathW,0x1008531c
SHLWAPI.dll,PathQuoteSpacesW,0x10085320
SHLWAPI.dll,StrCmpW,0x10085324
SHLWAPI.dll,PathAddBackslashW,0x10085328
SHLWAPI.dll,StrStrW,0x1008532c
SHLWAPI.dll,PathRemoveFileSpecW,0x10085330
PSAPI.DLL,GetProcessImageFileNameW,0x100852e8
PSAPI.DLL,GetModuleFileNameExW,0x100852ec
KERNEL32.dll,CreateToolhelp32Snapshot,0x1008509c
KERNEL32.dll,SetFilePointer,0x100850a0
KERNEL32.dll,GetModuleHandleW,0x100850a4
KERNEL32.dll,ReadFile,0x100850a8
KERNEL32.dll,GetLastError,0x100850ac
KERNEL32.dll,FindFirstFileW,0x100850b0
KERNEL32.dll,GetTickCount,0x100850b4
KERNEL32.dll,VirtualFree,0x100850b8
KERNEL32.dll,InitializeCriticalSection,0x100850bc
KERNEL32.dll,TerminateThread,0x100850c0
KERNEL32.dll,LeaveCriticalSection,0x100850c4
KERNEL32.dll,GetExitCodeProcess,0x100850c8
KERNEL32.dll,VirtualAlloc,0x100850cc
KERNEL32.dll,EnterCriticalSection,0x100850d0
KERNEL32.dll,FindClose,0x100850d4
KERNEL32.dll,DeleteCriticalSection,0x100850d8
KERNEL32.dll,CreateThread,0x100850dc
KERNEL32.dll,SetEnvironmentVariableA,0x100850e0
KERNEL32.dll,GetTimeZoneInformation,0x100850e4
KERNEL32.dll,CompareStringW,0x100850e8
KERNEL32.dll,GetDateFormatA,0x100850ec
KERNEL32.dll,GetTimeFormatA,0x100850f0
KERNEL32.dll,HeapAlloc,0x100850f4
KERNEL32.dll,HeapFree,0x100850f8
KERNEL32.dll,GetProcessHeap,0x100850fc
KERNEL32.dll,Sleep,0x10085100
KERNEL32.dll,lstrlenA,0x10085104
KERNEL32.dll,DeleteFileW,0x10085108
KERNEL32.dll,LocalAlloc,0x1008510c
KERNEL32.dll,lstrlenW,0x10085110
KERNEL32.dll,lstrcmpW,0x10085114
KERNEL32.dll,WideCharToMultiByte,0x10085118
KERNEL32.dll,LoadLibraryA,0x1008511c
KERNEL32.dll,HeapReAlloc,0x10085120
KERNEL32.dll,GetTempPathA,0x10085124
KERNEL32.dll,FileTimeToLocalFileTime,0x10085128
KERNEL32.dll,GetCurrentThreadId,0x1008512c
KERNEL32.dll,GetCurrentDirectoryA,0x10085130
KERNEL32.dll,GetTempFileNameA,0x10085134
KERNEL32.dll,InterlockedIncrement,0x10085138
KERNEL32.dll,lstrcmpA,0x1008513c
KERNEL32.dll,FreeLibrary,0x10085140
KERNEL32.dll,CreateProcessW,0x10085144
KERNEL32.dll,InterlockedCompareExchange,0x10085148
KERNEL32.dll,FlushFileBuffers,0x1008514c
KERNEL32.dll,IsValidLocale,0x10085150
KERNEL32.dll,EnumSystemLocalesA,0x10085154
KERNEL32.dll,GetLocaleInfoA,0x10085158
KERNEL32.dll,GetUserDefaultLCID,0x1008515c
KERNEL32.dll,QueryPerformanceCounter,0x10085160
KERNEL32.dll,GetFileSize,0x10085164
KERNEL32.dll,SetUnhandledExceptionFilter,0x10085168
KERNEL32.dll,SetErrorMode,0x1008516c
KERNEL32.dll,CreateMutexW,0x10085170
KERNEL32.dll,CloseHandle,0x10085174
KERNEL32.dll,FileTimeToDosDateTime,0x10085178
KERNEL32.dll,CreateEventW,0x1008517c
KERNEL32.dll,CreateFileW,0x10085180
KERNEL32.dll,TerminateProcess,0x10085184
KERNEL32.dll,WriteFile,0x10085188
KERNEL32.dll,GetEnvironmentStringsW,0x1008518c
KERNEL32.dll,FreeEnvironmentStringsW,0x10085190
KERNEL32.dll,GetModuleFileNameA,0x10085194
KERNEL32.dll,ExpandEnvironmentStringsW,0x10085198
KERNEL32.dll,ReleaseMutex,0x1008519c
KERNEL32.dll,SetCurrentDirectoryW,0x100851a0
KERNEL32.dll,GetProcAddress,0x100851a4
KERNEL32.dll,GetCurrentDirectoryW,0x100851a8
KERNEL32.dll,MultiByteToWideChar,0x100851ac
KERNEL32.dll,LCMapStringW,0x100851b0
KERNEL32.dll,GetLocaleInfoW,0x100851b4
KERNEL32.dll,GetStringTypeW,0x100851b8
KERNEL32.dll,SetEvent,0x100851bc
KERNEL32.dll,ExitProcess,0x100851c0
KERNEL32.dll,GetModuleFileNameW,0x100851c4
KERNEL32.dll,LoadLibraryW,0x100851c8
KERNEL32.dll,OpenProcess,0x100851cc
KERNEL32.dll,GetSystemTimeAsFileTime,0x100851d0
KERNEL32.dll,WaitForSingleObject,0x100851d4
KERNEL32.dll,GetFileAttributesW,0x100851d8
KERNEL32.dll,Process32FirstW,0x100851dc
KERNEL32.dll,Process32NextW,0x100851e0
KERNEL32.dll,GetModuleHandleA,0x100851e4
KERNEL32.dll,lstrcmpiW,0x100851e8
KERNEL32.dll,GetEnvironmentVariableW,0x100851ec
KERNEL32.dll,GetCurrentProcessId,0x100851f0
KERNEL32.dll,InterlockedDecrement,0x100851f4
KERNEL32.dll,SetHandleInformation,0x100851f8
KERNEL32.dll,GetVersionExW,0x100851fc
KERNEL32.dll,CreatePipe,0x10085200
KERNEL32.dll,GetCurrentProcess,0x10085204
KERNEL32.dll,GetComputerNameW,0x10085208
KERNEL32.dll,IsWow64Process,0x1008520c
KERNEL32.dll,MapViewOfFile,0x10085210
KERNEL32.dll,UnmapViewOfFile,0x10085214
KERNEL32.dll,CreateFileMappingW,0x10085218
KERNEL32.dll,CreateSemaphoreW,0x1008521c
KERNEL32.dll,GetTempFileNameW,0x10085220
KERNEL32.dll,GetTempPathW,0x10085224
KERNEL32.dll,GetFullPathNameW,0x10085228
KERNEL32.dll,GetLocalTime,0x1008522c
KERNEL32.dll,GetACP,0x10085230
KERNEL32.dll,SetEndOfFile,0x10085234
KERNEL32.dll,lstrcatW,0x10085238
