dll,name,address
kernel32.dll,DeleteCriticalSection,0x481154
kernel32.dll,LeaveCriticalSection,0x481158
kernel32.dll,EnterCriticalSection,0x48115c
kernel32.dll,InitializeCriticalSection,0x481160
kernel32.dll,VirtualFree,0x481164
kernel32.dll,VirtualAlloc,0x481168
kernel32.dll,LocalFree,0x48116c
kernel32.dll,LocalAlloc,0x481170
kernel32.dll,GetVersion,0x481174
kernel32.dll,GetCurrentThreadId,0x481178
kernel32.dll,InterlockedDecrement,0x48117c
kernel32.dll,InterlockedIncrement,0x481180
kernel32.dll,VirtualQuery,0x481184
kernel32.dll,WideCharToMultiByte,0x481188
kernel32.dll,MultiByteToWideChar,0x48118c
kernel32.dll,lstrlenA,0x481190
kernel32.dll,lstrcpynA,0x481194
kernel32.dll,LoadLibraryExA,0x481198
kernel32.dll,GetThreadLocale,0x48119c
kernel32.dll,GetStartupInfoA,0x4811a0
kernel32.dll,GetProcAddress,0x4811a4
kernel32.dll,GetModuleHandleA,0x4811a8
kernel32.dll,GetModuleFileNameA,0x4811ac
kernel32.dll,GetLocaleInfoA,0x4811b0
kernel32.dll,GetCommandLineA,0x4811b4
kernel32.dll,FreeLibrary,0x4811b8
kernel32.dll,FindFirstFileA,0x4811bc
kernel32.dll,FindClose,0x4811c0
kernel32.dll,ExitProcess,0x4811c4
kernel32.dll,ExitThread,0x4811c8
kernel32.dll,CreateThread,0x4811cc
kernel32.dll,WriteFile,0x4811d0
kernel32.dll,UnhandledExceptionFilter,0x4811d4
kernel32.dll,RtlUnwind,0x4811d8
kernel32.dll,RaiseException,0x4811dc
kernel32.dll,GetStdHandle,0x4811e0
user32.dll,GetKeyboardType,0x4811e8
user32.dll,LoadStringA,0x4811ec
user32.dll,MessageBoxA,0x4811f0
user32.dll,CharNextA,0x4811f4
advapi32.dll,RegQueryValueExA,0x4811fc
advapi32.dll,RegOpenKeyExA,0x481200
advapi32.dll,RegCloseKey,0x481204
oleaut32.dll,SysFreeString,0x48120c
oleaut32.dll,SysReAllocStringLen,0x481210
oleaut32.dll,SysAllocStringLen,0x481214
kernel32.dll,TlsSetValue,0x48121c
kernel32.dll,TlsGetValue,0x481220
kernel32.dll,LocalAlloc,0x481224
kernel32.dll,GetModuleHandleA,0x481228
advapi32.dll,RegQueryValueExA,0x481230
advapi32.dll,RegOpenKeyExA,0x481234
advapi32.dll,RegCloseKey,0x481238
kernel32.dll,lstrcpyA,0x481240
kernel32.dll,WriteFile,0x481244
kernel32.dll,WaitForSingleObject,0x481248
kernel32.dll,VirtualQuery,0x48124c
kernel32.dll,VirtualProtectEx,0x481250
kernel32.dll,VirtualFree,0x481254
kernel32.dll,VirtualAlloc,0x481258
kernel32.dll,SleepEx,0x48125c
kernel32.dll,Sleep,0x481260
kernel32.dll,SizeofResource,0x481264
kernel32.dll,SetThreadLocale,0x481268
kernel32.dll,SetFilePointer,0x48126c
kernel32.dll,SetEvent,0x481270
kernel32.dll,SetErrorMode,0x481274
kernel32.dll,SetEndOfFile,0x481278
kernel32.dll,ResumeThread,0x48127c
kernel32.dll,ResetEvent,0x481280
kernel32.dll,ReadFile,0x481284
kernel32.dll,MultiByteToWideChar,0x481288
kernel32.dll,MulDiv,0x48128c
kernel32.dll,LockResource,0x481290
kernel32.dll,LoadResource,0x481294
kernel32.dll,LoadLibraryA,0x481298
kernel32.dll,LeaveCriticalSection,0x48129c
kernel32.dll,InitializeCriticalSection,0x4812a0
kernel32.dll,GlobalUnlock,0x4812a4
kernel32.dll,GlobalSize,0x4812a8
kernel32.dll,GlobalReAlloc,0x4812ac
kernel32.dll,GlobalHandle,0x4812b0
kernel32.dll,GlobalLock,0x4812b4
kernel32.dll,GlobalFree,0x4812b8
kernel32.dll,GlobalFindAtomA,0x4812bc
kernel32.dll,GlobalDeleteAtom,0x4812c0
kernel32.dll,GlobalAlloc,0x4812c4
kernel32.dll,GlobalAddAtomA,0x4812c8
kernel32.dll,GetVersionExA,0x4812cc
kernel32.dll,GetVersion,0x4812d0
kernel32.dll,GetUserDefaultLCID,0x4812d4
kernel32.dll,GetTickCount,0x4812d8
kernel32.dll,GetThreadLocale,0x4812dc
kernel32.dll,GetTempPathA,0x4812e0
kernel32.dll,GetSystemInfo,0x4812e4
kernel32.dll,GetStringTypeExA,0x4812e8
kernel32.dll,GetStdHandle,0x4812ec
kernel32.dll,GetProcAddress,0x4812f0
kernel32.dll,GetModuleHandleA,0x4812f4
kernel32.dll,GetModuleFileNameA,0x4812f8
kernel32.dll,GetLocaleInfoA,0x4812fc
kernel32.dll,GetLocalTime,0x481300
kernel32.dll,GetLastError,0x481304
kernel32.dll,GetFullPathNameA,0x481308
kernel32.dll,GetFileSize,0x48130c
kernel32.dll,GetExitCodeThread,0x481310
kernel32.dll,GetDiskFreeSpaceA,0x481314
kernel32.dll,GetDateFormatA,0x481318
kernel32.dll,GetCurrentThreadId,0x48131c
kernel32.dll,GetCurrentProcessId,0x481320
kernel32.dll,GetComputerNameA,0x481324
kernel32.dll,GetCPInfo,0x481328
kernel32.dll,GetACP,0x48132c
kernel32.dll,FreeResource,0x481330
kernel32.dll,InterlockedIncrement,0x481334
kernel32.dll,InterlockedExchange,0x481338
kernel32.dll,InterlockedDecrement,0x48133c
kernel32.dll,FreeLibrary,0x481340
kernel32.dll,FormatMessageA,0x481344
kernel32.dll,FindResourceA,0x481348
kernel32.dll,EnumCalendarInfoA,0x48134c
kernel32.dll,EnterCriticalSection,0x481350
kernel32.dll,DeleteCriticalSection,0x481354
kernel32.dll,CreateThread,0x481358
kernel32.dll,CreateFileA,0x48135c
kernel32.dll,CreateEventA,0x481360
kernel32.dll,CompareStringA,0x481364
kernel32.dll,CloseHandle,0x481368
version.dll,VerQueryValueA,0x481370
version.dll,GetFileVersionInfoSizeA,0x481374
version.dll,GetFileVersionInfoA,0x481378
gdi32.dll,UnrealizeObject,0x481380
gdi32.dll,StretchBlt,0x481384
gdi32.dll,SetWindowOrgEx,0x481388
gdi32.dll,SetWinMetaFileBits,0x48138c
gdi32.dll,SetViewportOrgEx,0x481390
gdi32.dll,SetTextColor,0x481394
gdi32.dll,SetStretchBltMode,0x481398
gdi32.dll,SetROP2,0x48139c
gdi32.dll,SetPixel,0x4813a0
gdi32.dll,SetMapMode,0x4813a4
gdi32.dll,SetEnhMetaFileBits,0x4813a8
gdi32.dll,SetDIBColorTable,0x4813ac
gdi32.dll,SetBrushOrgEx,0x4813b0
gdi32.dll,SetBkMode,0x4813b4
gdi32.dll,SetBkColor,0x4813b8
gdi32.dll,SelectPalette,0x4813bc
gdi32.dll,SelectObject,0x4813c0
gdi32.dll,SelectClipRgn,0x4813c4
gdi32.dll,SaveDC,0x4813c8
gdi32.dll,RestoreDC,0x4813cc
gdi32.dll,Rectangle,0x4813d0
gdi32.dll,RectVisible,0x4813d4
gdi32.dll,RealizePalette,0x4813d8
gdi32.dll,Polyline,0x4813dc
gdi32.dll,PlayEnhMetaFile,0x4813e0
gdi32.dll,PatBlt,0x4813e4
gdi32.dll,MoveToEx,0x4813e8
gdi32.dll,MaskBlt,0x4813ec
gdi32.dll,LineTo,0x4813f0
gdi32.dll,LPtoDP,0x4813f4
gdi32.dll,IntersectClipRect,0x4813f8
gdi32.dll,GetWindowOrgEx,0x4813fc
gdi32.dll,GetWinMetaFileBits,0x481400
gdi32.dll,GetTextMetricsA,0x481404
gdi32.dll,GetTextExtentPoint32A,0x481408
gdi32.dll,GetSystemPaletteEntries,0x48140c
gdi32.dll,GetStockObject,0x481410
gdi32.dll,GetPixel,0x481414
gdi32.dll,GetPaletteEntries,0x481418
gdi32.dll,GetObjectA,0x48141c
gdi32.dll,GetEnhMetaFilePaletteEntries,0x481420
gdi32.dll,GetEnhMetaFileHeader,0x481424
gdi32.dll,GetEnhMetaFileDescriptionA,0x481428
gdi32.dll,GetEnhMetaFileBits,0x48142c
gdi32.dll,GetDeviceCaps,0x481430
gdi32.dll,GetDIBits,0x481434
gdi32.dll,GetDIBColorTable,0x481438
