dll,name,address
VERSION.dll,GetFileVersionInfoA,0x1001a188
VERSION.dll,VerQueryValueA,0x1001a18c
NETAPI32.dll,NetUserGetLocalGroups,0x1001a144
NETAPI32.dll,NetUserEnum,0x1001a148
NETAPI32.dll,NetApiBufferFree,0x1001a14c
SHLWAPI.dll,wnsprintfA,0x1001a164
SHLWAPI.dll,StrToIntA,0x1001a168
SHLWAPI.dll,StrToIntExA,0x1001a16c
SHLWAPI.dll,wvnsprintfA,0x1001a170
SHLWAPI.dll,SHDeleteKeyA,0x1001a174
KERNEL32.dll,lstrcpyA,0x1001a034
KERNEL32.dll,InterlockedIncrement,0x1001a038
KERNEL32.dll,InterlockedDecrement,0x1001a03c
KERNEL32.dll,CreateThread,0x1001a040
KERNEL32.dll,CreateFileA,0x1001a044
KERNEL32.dll,GetFileSize,0x1001a048
KERNEL32.dll,SetFilePointer,0x1001a04c
KERNEL32.dll,HeapAlloc,0x1001a050
KERNEL32.dll,HeapFree,0x1001a054
KERNEL32.dll,GetProcessHeap,0x1001a058
KERNEL32.dll,WriteFile,0x1001a05c
KERNEL32.dll,ReadFile,0x1001a060
KERNEL32.dll,CloseHandle,0x1001a064
KERNEL32.dll,ExitProcess,0x1001a068
KERNEL32.dll,SetErrorMode,0x1001a06c
KERNEL32.dll,WaitForSingleObject,0x1001a070
KERNEL32.dll,SetEvent,0x1001a074
KERNEL32.dll,Sleep,0x1001a078
KERNEL32.dll,CreateEventA,0x1001a07c
KERNEL32.dll,lstrcatA,0x1001a080
KERNEL32.dll,GetLongPathNameA,0x1001a084
KERNEL32.dll,GetTempFileNameA,0x1001a088
KERNEL32.dll,CreateMutexA,0x1001a08c
KERNEL32.dll,ReleaseMutex,0x1001a090
KERNEL32.dll,GetTempPathA,0x1001a094
KERNEL32.dll,DeleteFileA,0x1001a098
KERNEL32.dll,GlobalMemoryStatus,0x1001a09c
KERNEL32.dll,RtlUnwind,0x1001a0a0
KERNEL32.dll,GetTickCount,0x1001a0a4
KERNEL32.dll,GetCurrentProcessId,0x1001a0a8
KERNEL32.dll,GetModuleFileNameA,0x1001a0ac
KERNEL32.dll,FileTimeToSystemTime,0x1001a0b0
KERNEL32.dll,lstrcmpA,0x1001a0b4
KERNEL32.dll,lstrlenA,0x1001a0b8
KERNEL32.dll,MapViewOfFile,0x1001a0bc
KERNEL32.dll,UnmapViewOfFile,0x1001a0c0
KERNEL32.dll,CompareFileTime,0x1001a0c4
KERNEL32.dll,CreateFileMappingA,0x1001a0c8
KERNEL32.dll,WideCharToMultiByte,0x1001a0cc
KERNEL32.dll,IsDebuggerPresent,0x1001a0d0
KERNEL32.dll,GetLastError,0x1001a0d4
KERNEL32.dll,lstrcmpiA,0x1001a0d8
KERNEL32.dll,GetProcAddress,0x1001a0dc
KERNEL32.dll,GlobalFree,0x1001a0e0
KERNEL32.dll,LoadLibraryA,0x1001a0e4
KERNEL32.dll,GetComputerNameA,0x1001a0e8
KERNEL32.dll,FreeLibrary,0x1001a0ec
KERNEL32.dll,GetWindowsDirectoryA,0x1001a0f0
KERNEL32.dll,GetDriveTypeA,0x1001a0f4
KERNEL32.dll,GetEnvironmentStrings,0x1001a0f8
KERNEL32.dll,OpenProcess,0x1001a0fc
KERNEL32.dll,GetSystemDirectoryA,0x1001a100
KERNEL32.dll,FindFirstFileA,0x1001a104
KERNEL32.dll,GetLogicalDriveStringsA,0x1001a108
KERNEL32.dll,FindClose,0x1001a10c
KERNEL32.dll,GetLocalTime,0x1001a110
KERNEL32.dll,FindNextFileA,0x1001a114
KERNEL32.dll,GetVersionExA,0x1001a118
KERNEL32.dll,WinExec,0x1001a11c
KERNEL32.dll,GetSystemTimeAsFileTime,0x1001a120
KERNEL32.dll,VirtualQuery,0x1001a124
KERNEL32.dll,TerminateProcess,0x1001a128
KERNEL32.dll,GetCurrentProcess,0x1001a12c
KERNEL32.dll,UnhandledExceptionFilter,0x1001a130
KERNEL32.dll,SetUnhandledExceptionFilter,0x1001a134
KERNEL32.dll,QueryPerformanceCounter,0x1001a138
KERNEL32.dll,MultiByteToWideChar,0x1001a13c
USER32.dll,OpenInputDesktop,0x1001a17c
USER32.dll,CloseDesktop,0x1001a180
ADVAPI32.dll,RegSetValueExA,0x1001a000
ADVAPI32.dll,SetServiceStatus,0x1001a004
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x1001a008
ADVAPI32.dll,RegCreateKeyExA,0x1001a00c
ADVAPI32.dll,RegOpenKeyExA,0x1001a010
ADVAPI32.dll,RegCloseKey,0x1001a014
ADVAPI32.dll,GetUserNameA,0x1001a018
ADVAPI32.dll,RegEnumValueA,0x1001a01c
ADVAPI32.dll,RegQueryValueA,0x1001a020
ADVAPI32.dll,RegDeleteValueA,0x1001a024
ADVAPI32.dll,RegCreateKeyA,0x1001a028
ADVAPI32.dll,RegQueryValueExA,0x1001a02c
SHELL32.dll,SHGetPathFromIDListA,0x1001a154
SHELL32.dll,SHGetFolderPathA,0x1001a158
SHELL32.dll,SHGetDesktopFolder,0x1001a15c
ole32.dll,CoCreateInstance,0x1001a194
ole32.dll,CoUninitialize,0x1001a198
ole32.dll,CoInitialize,0x1001a19c
