dll,name,address
SHELL32.dll,SHGetPathFromIDListA,0x14000d240
SHELL32.dll,SHGetSpecialFolderLocation,0x14000d248
USER32.dll,GetInputState,0x14000d258
USER32.dll,PostThreadMessageA,0x14000d260
USER32.dll,GetMessageA,0x14000d268
KERNEL32.dll,SetFilePointer,0x14000d000
KERNEL32.dll,CreateFileA,0x14000d008
KERNEL32.dll,GetCurrentProcessId,0x14000d010
KERNEL32.dll,GetModuleFileNameW,0x14000d018
KERNEL32.dll,ReadFile,0x14000d020
KERNEL32.dll,Sleep,0x14000d028
KERNEL32.dll,SetEndOfFile,0x14000d030
KERNEL32.dll,GetLastError,0x14000d038
KERNEL32.dll,SetLastError,0x14000d040
KERNEL32.dll,GetCommandLineA,0x14000d048
KERNEL32.dll,GetStartupInfoW,0x14000d050
KERNEL32.dll,RtlUnwindEx,0x14000d058
KERNEL32.dll,RaiseException,0x14000d060
KERNEL32.dll,RtlPcToFileHeader,0x14000d068
KERNEL32.dll,RtlLookupFunctionEntry,0x14000d070
KERNEL32.dll,HeapAlloc,0x14000d078
KERNEL32.dll,HeapFree,0x14000d080
KERNEL32.dll,TerminateProcess,0x14000d088
KERNEL32.dll,GetCurrentProcess,0x14000d090
KERNEL32.dll,UnhandledExceptionFilter,0x14000d098
KERNEL32.dll,SetUnhandledExceptionFilter,0x14000d0a0
KERNEL32.dll,IsDebuggerPresent,0x14000d0a8
KERNEL32.dll,RtlVirtualUnwind,0x14000d0b0
KERNEL32.dll,WriteFile,0x14000d0b8
KERNEL32.dll,DecodePointer,0x14000d0c0
KERNEL32.dll,EncodePointer,0x14000d0c8
KERNEL32.dll,GetModuleHandleW,0x14000d0d0
KERNEL32.dll,GetStdHandle,0x14000d0d8
KERNEL32.dll,FreeEnvironmentStringsW,0x14000d0e0
KERNEL32.dll,GetEnvironmentStringsW,0x14000d0e8
KERNEL32.dll,SetHandleCount,0x14000d0f0
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x14000d0f8
KERNEL32.dll,GetFileType,0x14000d100
KERNEL32.dll,DeleteCriticalSection,0x14000d108
KERNEL32.dll,FlsGetValue,0x14000d110
KERNEL32.dll,FlsSetValue,0x14000d118
KERNEL32.dll,FlsFree,0x14000d120
KERNEL32.dll,FlsAlloc,0x14000d128
KERNEL32.dll,HeapSetInformation,0x14000d130
KERNEL32.dll,GetVersion,0x14000d138
KERNEL32.dll,HeapCreate,0x14000d140
KERNEL32.dll,QueryPerformanceCounter,0x14000d148
KERNEL32.dll,GetTickCount,0x14000d150
KERNEL32.dll,GetSystemTimeAsFileTime,0x14000d158
KERNEL32.dll,GetCPInfo,0x14000d160
KERNEL32.dll,GetACP,0x14000d168
KERNEL32.dll,GetOEMCP,0x14000d170
KERNEL32.dll,IsValidCodePage,0x14000d178
KERNEL32.dll,LCMapStringW,0x14000d180
KERNEL32.dll,GetConsoleCP,0x14000d188
KERNEL32.dll,GetConsoleMode,0x14000d190
KERNEL32.dll,EnterCriticalSection,0x14000d198
KERNEL32.dll,LeaveCriticalSection,0x14000d1a0
KERNEL32.dll,LoadLibraryW,0x14000d1a8
KERNEL32.dll,HeapSize,0x14000d1b0
KERNEL32.dll,GetStringTypeW,0x14000d1b8
KERNEL32.dll,SetStdHandle,0x14000d1c0
KERNEL32.dll,WriteConsoleW,0x14000d1c8
KERNEL32.dll,HeapReAlloc,0x14000d1d0
KERNEL32.dll,CreateFileW,0x14000d1d8
KERNEL32.dll,FlushFileBuffers,0x14000d1e0
KERNEL32.dll,CloseHandle,0x14000d1e8
KERNEL32.dll,WideCharToMultiByte,0x14000d1f0
KERNEL32.dll,MultiByteToWideChar,0x14000d1f8
KERNEL32.dll,ExitProcess,0x14000d200
KERNEL32.dll,GetModuleFileNameA,0x14000d208
KERNEL32.dll,GetCurrentThreadId,0x14000d210
KERNEL32.dll,GetTempFileNameA,0x14000d218
KERNEL32.dll,GetProcAddress,0x14000d220
KERNEL32.dll,GetModuleHandleA,0x14000d228
KERNEL32.dll,RtlCaptureContext,0x14000d230
